此段落最初的2-5句話,此段落最末的2-5句話,段落大意
巴天石和朱丹臣等過來和木婉清相見，又為她引見蕭峰、虛竹等人。,那少女正是他朝思暮想、無時或忘的王語嫣。,段譽等眾人同行，走了數里，聽到喊叫聲前去相助，其中一人正是段譽朝思暮想的王語嫣。
段譽一定神間，眼見懸崖奇險，沒法縱馬上去，當即躍下馬背，搶著奔去。,虛竹道：「甚好！」便要奔將過去。,段譽要去救人，卻見一胖子正在砍樹，急忙請救兵。
突見一人撐著兩根木杖，疾從眾人身旁掠過， ,眾人想像這矮胖子腦裂肚破的慘狀，都是身上一寒。,游坦之突然出現擋住去路，要段譽答應讓他帶走阿紫，才幫忙制住胖子。
虛竹飛身躍上松樹枝幹，只見段延慶的鋼杖深深嵌入樹枝，全憑一股內力黏勁，掛住了下麵四人,唉，他本來是個窮凶極惡的傢伙，突然改做好事，不免有點不自量力……」,虛竹將四人拉上，段譽認為王語嫣會如此是雲中鶴害的，便要殺他，南海鱷神為雲中鶴解釋。
雲中鶴怒道：「你奶奶的，我幾時大發善心，改做好事了？,一行人齊向靈州進發。傍晚時分，到了靈州城內。,南海鱷神誤解雲中鶴目的，眾人詢問為何胖子要砍樹，才有了些頭緒，但還是不知道王語嫣自尋短見的原因。
其時西夏國勢方張，擁有二十二州。,世上如必須有人自盡，自然是他段譽，而決計不是眼前這位王姑娘。,一行人來到靈州，旅店已經住完，只得到廟宇借宿，夜晚段譽睡不著，出外散步看到王語嫣，卻不敢妄然上前。
只見那碧玉般的池水面上，忽然起了漣漪，幾個小小的水圈慢慢向外擴展開去，,不，不！皇天在上，我段譽若有半分對你幸災樂禍之心，叫我天雷劈頂，萬箭攢身！,段譽阻止王語嫣自殺，並問明原因。
王語嫣道：「你沒壞心，也就是了，誰要你發誓？那麼你為什麼高興？」,你豈可做那薄幸郎君，為天下有情人齊聲唾駡，為江湖英雄好漢鄙視恥笑？」,王語嫣覺得段譽不安好心，段譽急忙道歉，並決定幫王語嫣勸慕容復。
王語嫣聽了他這番話，甚是感動，幽幽地道：,王語嫣又驚又喜，問道：「什麼？」段譽道：「我去搶這個駙馬都尉來做。」,王與眼很感動，段譽也很開心，但王語嫣還是很擔心，段譽說他也去搶作西夏公主的駙馬。
王語嫣在少室山上，親眼見到他以六脈神劍打得慕容復無法還手,不由得暗暗好笑，卻也不便多問。段譽要待解釋，卻也不知說什麼好。,王語嫣心下感動，段譽狂喜之下，熱血上湧，跌入池中，王語嫣大叫，眾人出來看。
次日是八月十二，離中秋尚有三日。,但聽得劈啪、哎唷幾聲，幾名吐蕃武士漸逃漸遠，罵聲漸漸遠去。,西夏人員迎接段譽等人至賓館，忽聽吐番部下罵人，巴朱風包四人將其趕走。
王語嫣坐在房中，聽到包風二人和吐蕃武士的聲音，愁眉深鎖，珠淚悄垂,把招婿、比試的諸般規矩打聽明白，再作計較。」當下二人自去。,包不同與巴朱二人聊天，知道金殿比試，決定去了解清楚規則。
蕭峰、虛竹、段譽三人圍坐飲酒，你一碗，我一碗,又說我若辜負了我表妹的美意，便為天下有情人齊聲唾駡，為江湖上的英雄好漢鄙視恥笑，是也不是？」,蕭峯兄弟三人喝酒。段譽夜深酒醒，想去找王語嫣，卻被慕容復抓住，談論昨晚之事。
他說一句，段譽吃一驚，待他說完，結結巴巴地道：「王……王姑娘都跟你說了？」,見到一口枯井，舉手一擲，將他投了下去。段譽大叫：「啊喲！」已摔入井底。,段譽驚訝為何慕容復知道昨晚對話，原來他在一旁偷聽。慕容復騙段譽王語嫣在後面，趁其不注意將他點穴，丟入井中。
慕容複正待找幾塊大石壓在井口之上，讓他在裡面活活餓死，忽聽得一個女子聲音道：,說到後來，只是一片大笑之聲。,王語嫣解釋，慕容復不領情，他認為王語嫣的心是向著段譽的。
王語嫣驚得呆了，顫聲道：「太湖畔的碾房中……那個……那個蒙面的……蒙面的西夏武士……」,當日我胡言亂語，你總要念著昔日的情份，原諒我一次。」,王語嫣驚訝當時的蒙面西夏武士是表哥，向他解釋，慕容復全沒聽進去，甚至改口叫他王姑娘，王語嫣上前求原諒。
那日王語嫣在碾坊中說這番話，慕容複自來心高氣傲，聽了自是耿耿於懷，大為不快。,你二人雖生不能成為夫婦，但死而同穴，也總算得遂了你的心願。」,慕容復心軟原諒，王語嫣開心，並問他是否不去做駙馬了，慕容復驚覺自己險些誤了大事，王語嫣心寒，縱身躍下井中。
忽聽得背後有人說道：「假惺惺，偽君子！」,忌憚他武功了得，不敢貿然和他動手，低頭尋思，如何對付。,鳩摩智現身，說吐番王子有必勝把握，因他會替其清除障礙，兩人對話多有嘲諷之意。
月光下忽見腳邊有一物蠕蠕而動，凝神看去，卻是鳩摩智右手的影子，,說著左手一探，向慕容復面門抓來。,慕容復想起之前少林寺長老說鳩摩智練的「次序顛倒，大難已在旦夕之間」，便想試試，鳩摩智大怒，伸手抓慕容復。
慕容複見他五指微顫，但這一抓法度謹嚴，沉穩老辣,四下張望，不見有大岩石，當即快步奔向山后去尋覓大石。,鳩摩智念及與慕容復父親之情，讓他十招，十招後點其穴，也將其投入井中，並叫屬下尋大石頭來。
鳩摩智站在井畔，不住喘氣，煩惡難當。,似是要突體而出，卻無一個宣洩的口子，當真難過無比。,因之前的事情，鳩摩智已種下病根，在與慕容復的一場爭鬥後，使其內息如潮，難過無比。
他伸手亂抓胸口，內息不住膨脹，似乎腦袋、胸膛、肚皮都在向外脹大,似要從全身十萬八千個毛孔中沖將出來，偏生處處碰壁，衝突不出。,鳩摩智了解當時為何慕容博會將七十二門絕技贈送於他，不由得怒發如狂。
正自又驚又怒，突然間胸口一動，衣襟中有物掉下,片刻之間，將井口牢牢封死，百來斤的大石足足堆了十二三塊。,驚怒之間，胸口的「易筋經」落入井中，縱身跳入撿，卻上不來，屬下來沒看到國師，便把井口封住離開。
耳聽得那四名武士堆好了大石，呼嘯而去。,此刻我內力不能運使，他若趁機報復，那便如何是好？」,井口封住，鳩摩智就算有易筋經也出不去，不禁傷心，卻聽到王語嫣和段譽的聲音。
說話之人正是段譽。他給慕容複摔入井中時已昏暈過去，手足不動,直到此刻，方始領會到兩情相悅的滋味。,王語嫣和段譽在井中終於兩情相悅。
段譽結結巴巴地問道：「王姑娘，,四唇正欲相接，突然間頭頂呼呼風響，什麼東西落將下來。,段譽和王語嫣兩人開心說話，要親吻時，忽覺頭頂忽忽作響，像是有什麼要落下來。
兩人吃了一驚，忙向井欄邊靠去，砰的一聲響，有人落入井中。,王語嫣輕輕倚在他身旁，喜樂無限,兩人急忙靠邊，發現是慕容復落入井中，兩人覺得他是前來干預的，慕容復卻釋出善意，兩人十分歡喜。
慕容複暗暗運氣，要衝開給鳩摩智點中的穴道,鳩摩智又氣喘，又大笑，使力扼緊段譽的咽喉。,四人都在井中，鳩摩智突然大小，好像是瘋了！他扣住段譽的咽喉，王語嫣請慕容復幫忙，他卻默不作聲。
