此段落最初的2-5句話,此段落最末的2-5句話,段落大意
虛竹次日醒轉，發覺睡在一張溫軟的床上，睜眼向帳外看去，見是處身於一間極大的房中，,虛竹「啊」的一聲大叫，險些暈倒，重行臥倒，連呼：「糟糕，糟糕！」,虛竹酒醒後得知醉酒時所發生的事。
蘭劍、菊劍給他嚇了一跳，齊問：「主人，什麼事不對啦？」,虛竹嚇得不敢做聲，臉色慘白，心中亂跳，只好任由她四姊妹擺佈，再也不敢提一句不要她們服侍的話。,虛竹向部屬解釋沒有要責罰他們。
他料想段譽已經去遠，追趕不上，又想洞島群豪身上生死符未除，不能就此猝然離去，用過早點後，便到廳上和群豪相見，為兩個痛得最厲害之人拔除了生死符。,虛竹心想：「她們說石窟中有數百年前舊主人遺下的圖像，這些地道、石窟建構宏偉，少說也是數十年之功，且耗費人力物力極巨，當非靈鷲宮中這些婆婆姊姊們所能為，多半也是舊主人所遺下的了。」,虛竹與部屬為了更加了解生死符，前往靈鷲宮後殿石窟。
竹劍道：「這些奴才攻進宮來，鈞天部的姊姊們都給擒獲，我們四姊妹眼見抵敵不住，便逃到這裡躲避，只盼到得天黑，再設法去救人。」,看甲二時，果真是天山折梅手的第二招，依次看下去，天山折梅手圖解完後，便是天山六陽掌的圖解，童姥在西夏皇宮中所傳的各種歌訣奧秘，盡皆注在圓圈之中。,虛竹與部屬探索後殿石窟。
石壁上天山六陽掌之後的武功招數，虛竹就沒學過。,蘭劍道：「姥姥對我們期許很切，盼望我姊妹到了四十歲後，便能習練這上乘武功，可是……可是婢子們資質庸劣，便算再練二十三年，也未必敢再進這石室。」,虛竹部屬因功力不足無法練得石窟記載功法。
虛竹道：「原來如此，那卻是我的不是了，我不該要你們進去。」,五人從地道中出來，虛竹回入大廳，拔除了三人的生死符。,虛竹從石窟中返回大廳。
此後虛竹每日為群豪拔除生死符，一感精神疲乏，便到石室中去修習上乘武功。,虛竹拿起剃刀，將頭髮剃個清光，四姝無奈，只得與九部諸女一齊送到山下，灑淚而別。,虛竹治好群豪身上的生死符後，欲回少林寺。
虛竹換上了舊僧衣，邁開大步，東去嵩山。,慧輪起身擦了擦眼淚，說道：「你犯戒太多，我也沒法回護於你。你……你……自行到戒律院去領罪吧！這一下連我也有大大的不是。唉，這……」說著匆匆奔出。,虛竹向師父坦誠說明破戒情形。
虛竹來到戒律院前，躬身稟道：「弟子虛竹，違犯佛門戒律，恭懇掌律長老賜罰。」,虛竹恭恭敬敬地道：「是，多謝慈悲。」合十行禮，這才站起，心想：「不將我立即逐出寺門，看來事情還有指望。」心下甚慰。,虛竹至戒律院等候處罰。
他走到菜園子中，向管菜園的僧人道：「師兄，小僧虛竹犯了本門戒律，戒律院的師叔罰我來挑糞澆菜。」,虛竹低頭道：「小僧殺過人，而且殺了不止一人。」,虛竹向管菜園的緣根坦誠說明破戒情形。
緣根大吃一驚，臉色大變，退了三步，聽虛竹說殺過人，而且所殺的不止一人，登時心驚膽戰，生怕他狂性發作動粗，自己多半不是敵手，,如此一連數日，日間劈柴，晚上澆糞，苦受折磨，全身傷痕累累，也不知已吃了幾百鞭。,緣根對虛竹施加私刑。
這日早晨，虛竹正在劈柴，緣根走近身來，笑嘻嘻地道：「師兄你辛苦啦！」,緣根都說不是，並道：「師兄，我是不敢說的，只求你饒恕了我。他們說，我想要保全這雙眼珠子，只有求你親口答允饒恕。」說著偷眼向旁一瞥，滿臉都是懼色。,緣根向虛竹請求原諒。
虛竹順著他眼光瞧去，只見廊下坐著四名僧人，一色灰布僧袍、灰布僧帽，臉孔朝裡，瞧不見相貌。,虛竹道：「小僧是待罪之身，師兄如此客氣，叫小僧如何敢當？」站起身來，雙手去接茶壺。,緣根欲討好虛竹。
