此段落最初的2-5句話,此段落最末的2-5句話,段落大意
小船越劃越近，阿朱忽然低聲道：「阿碧，你瞧，有點兒不對。」阿碧道：「嗯，怎麼點了這許多燈？」,阿朱木槳一扳，便向東邊劃去，想到喬裝改扮，便即精神大振，於家中來了敵人之事也不再如何著惱了。,靠近阿朱的聽香水榭時，阿朱聞到他珍藏的花露氣味飄過來，定是有敵人闖進他的聽香水榭，阿朱便提議到附近漁家借點衣服喬裝成漁夫、漁婆，探探敵人虛實。
阿朱先和王語嫣、阿碧到漁家借過衣衫換了。,一批是北方蠻子，瞧來都是強盜。另一批是四川人，個個都穿白袍，也不知是啥路數。」,眾人從後門進入，先到廚房，從廚師老顧口中得知先後來了兩批人馬，一波
阿朱道：「他們來找誰？有沒傷人？」老顧道：「第一批強盜來找老爺，第二批怪人來找公子爺。,大聲叫道：「廚子，廚子！拿去做醒酒湯喝。」另一個大漢去接段譽手中的鮮魚。,所幸聽香水榭裡的僕人們並沒有被殺害，原來兩批人一批要找慕容博，另一則是找慕容複，四人以漁夫的身分到前廳去探敵人動靜。
那兩個四川人見是賣魚的，不再理會，轉身便回入廳中。,阿朱道：「久仰，久仰。」姚伯當笑道：「你一個小小姑娘，久仰我什麼？」,阿碧聞到惡人身上的體臭，忍不住舉手摀鼻，露出白皙的手臂，被人發現破綻。
王語嫣道：「雲州秦家寨，拿手的武功是五虎斷門刀，當年秦公望前輩自創這斷門刀六十四招後，後人忘了五招，,他們想折辱於我，便編了一套鬼話出來，命一個少女來大言炎炎。」當下也不發作，只道：「多謝姑娘指教，令在下茅塞頓開。,王語嫣一聽，便道出秦家的五虎斷門刀原有六十四招，而後人忘了五招。
微一沉吟間，向他左首的副手道：「諸師弟，你不妨向這位姑娘領教領教。」,便似一個做姊姊的，看到小兄弟忙得滿頭大汗要做一件力所不勝之事，因此出言規勸一般，語調也甚親切。,司馬林的師弟諸保昆要王語嫣猜猜，他在入了青城派之前是哪路門派？然一旁姚伯出言嘲笑諸保昆的麻子臉，雙方出手，王語嫣從中調節。
諸保昆聽她說武林中人身上有何損傷乃家常便飯，又說男子漢大丈夫當以品格功業為先，心中甚是舒暢，,又想到她适才為己辯解，心存感激，喝道：「姑娘，你別多嘴，自取其禍！」,此時，王語嫣說諸保昆的天王補心針的奧妙，是諸保昆不想被司馬林所知之事，殺氣展現想要滅口，但看在王語嫣曾為他辯解的份上，下不去手。
就在此時，一人斜身搶過擋在王語嫣之前，卻是段譽。,司馬林先前要王語嫣猜他的師承來歷，只不過出個題目難難這小姑娘，全無懷疑諸保昆之意，哪知竟得了這樣一個驚心動魄的答案。,王語嫣繼續說道青城派與蓬萊派的宿怨，青城派的人聽得不由心驚，原來青城派非四川人不收，而這諸保昆竟然全無破綻。
這其中吃驚最甚的，自然是諸保昆了。原來他師父都靈道人是蓬萊派高手，年輕時吃了青城派大虧，,司馬衛礙著他父親的面子，也不過分追究，心想這等富家子弟，能學到這般身手，已算十分難得了。,原來是蓬萊派的都靈子使計讓根骨奇佳的諸保昆跟他習武，且十年來完全沒有交談，只用筆寫，加上諸保昆本身是四川大家族，在加入青城派以後完全沒有露出破綻。
諸保昆投入青城之後，得都靈子詳加指點，哪幾門青城派的武學須得加意鑽研。,當下青城派傾巢而出，盡集派中高手，到姑蘇來尋慕容氏算帳。,多年以來，諸保昆和青城派的感情不可謂不深，因此報仇之事又拖了許久，本想等青城派司馬衛（師父）先去再動手，沒想到師父卻先遭到襲擊，以為是姑蘇慕容所為，才到此處。
諸保昆臨行之前，暗中曾向都靈子詢問，是否蓬萊派作的手腳。,他父親死時，諸保昆雖確在成都，但蓬萊派既學到了這手法，那就誰都可以用來害他父親。,諸保昆試探下，此事也不是靈都子所做，但被王語嫣道破他是臥底一事，諸保昆一臉尷尬。
諸保昆臉色鐵青，心想師父都靈子派他混入青城派，原是有此用意，,諸保昆在電光石火之間權衡輕重，舉錘擋格司馬林的小錘，左腿硬生生地受了姜老者的一擊。,雖然這的確是諸保昆原本的目的，但他根本什麼都還沒做，卻已經解釋不清。
錘子雖小，敲擊的勁力卻著實厲害，諸保昆但覺痛入骨髓，一時也不知左腿是否已經折斷，,小錘斜著出去，否則正擊而出，便差了數寸，打他不中。,三人齊上，諸保昆自然得不到好。王語嫣看阿朱心疼自己的小屋，便要眾人停手，青城派哪肯？王語嫣只好出口，讓諸保昆結合青城和蓬萊的武功，不料威力驚人。
司馬林尋思：「要殺諸保昆這龜兒子，須得先阻止這女娃子，不許她指點武功。」,說道：「此書可否借與在下一觀，且看與本派所學，有何不同之處？」,司馬林心想，要殺諸保昆必要先阻止王語嫣，便想對王語嫣出手，遭到阻止。
王語嫣尚未回答，姚伯當已哈哈大笑，說道：「姑娘別上這小子的當。他青城派武功簡陋得緊，,早就還了，就算沒欠，你向他討些金銀使用，他也決不推託，豈有怕了你而躲避之理？」,一旁的姚伯見狀便出言戳破司馬林的心機，另一方面，姚伯想直接帶走王語嫣，那豈不是能知天下武林的招數？同樣的心思也在司馬林心中揚起。
姚伯當眉頭一皺，說道：「這樣吧，這種事情一時也辯不明白。,姚伯當怒道：「你說我麼？」司馬林道：「不敢！我說狗臭屁果然很臭。」,見王語嫣不信欠錢之說，但見提到慕容複可以一同到北方，秦家必定熱情招待時，王語嫣心動的模樣，便再接再厲。
姚伯當刷地撥出單刀，叫道：「司馬林，我秦家寨對付你青城派，大概半斤八兩。,四下裡寂然無聲，顯然那姓包之人已然遠去。王語嫣微感失望，問阿朱道：「他到哪裡去啦？」,雙方便決定決一生死，勝者便是王語嫣的主人。此時司馬林以對姚伯擲出暗器，卻被只聞其聲不見其人的「包叔叔」阻止。
阿朱微笑道：「包三爺自來便是這脾氣，姑娘你說‘你還不出來？’他本來是要出來的， ,不料正主兒沒見，險些便喪生於青城派的毒釘之下，反是慕容複的朋友救了自己性命。,姚伯恨司馬林出陰招，雙方繼續纏鬥，卻又被王語嫣看出「五虎斷門刀」又少了兩招！
