此段落最初的2-5句話,此段落最末的2-5句話,段落大意
到得王府，耶律洪基不命蕭峰相見，下令御營都指揮使扣押。,大劫無可挽回，除了長歎一聲、痛飲十碗之外，也就不去多想了。,蕭峰被遼帝監禁，日夜派人看守、遊說。
又過一月有餘，只聽那四名說客兀自絮絮不已，蕭峰突然問道：「咱們契丹大軍，已渡過黃河了嗎？」四名說客愕然相顧，默然半晌。,蕭峰歎了口氣，道：「你們一番好意，我也甚是感激，不過敵人防守嚴密，攻城掠地，殊無把握……」,阿紫等人喬裝四名遼國說客潛入，喬峰一眼認出阿紫，阿紫示意今晚助蕭峰逃出。蕭峰又是感激、又是無奈。
話猶未了，忽聽得幾名親兵大叫：「毒蛇！毒蛇！哪裡來的這許多蛇！」,范驊、巴天石等眼見街上沒遼兵，便到處縱火，霎時間燒起了七八個火頭。,丐幫眾人放蛇引起混亂，大理段氏一族挖通地道將蕭峰救出，並在城內到處縱火。
九人徑向西奔。段譽等早已換上契丹人裝束，這時城中已亂成一團，倒沒人注目。,蕭峰道：「我是個一勇之夫，不忍兩國攻戰，多傷人命，豈敢自居什麼功勞？」,眾人喬裝契丹服裝，躲避追兵。四處傳出遼帝被擄的假消息，混淆敵軍，亦得知虛竹率眾前來救援，及段譽登基大理。
正說之間，忽見南城火光沖天而起，一群群百姓拖男帶女，夾在兵馬間湧了過來，都道：「南朝少林寺的和尚連同無數好漢，攻破南門。」,段譽叫道：「吳長老，咱們快走，遼兵勢大，一結成了陣勢，可抵擋不住。」,江湖眾人聽聞蕭峰為了千萬百姓，被遼帝所囚禁，皆受其仁義之心所感召，不分門派紛紛來救援。
蕭峰也知丐幫和中原群雄所以一時占得上風，只不過攻了個對方個措手不及。 ,旁人不過說一聲「蕭峰不忠」，可是反戈攻遼，卻變成極大的罪人了。,眾人從西邊逃出匯合，但少林派等豪傑被截殺城中，段、虛二人率眾搶攻西門，群豪雖然武功高強，但不敵眾人，蕭峰想要出手卻左右為難。
蕭峰行事向來乾脆爽淨，決斷極快，這時卻當真進退維谷,見兩名靈鷲宮的女將倒在血泊中呻吟滾動，蕭峰回進城門，抓著二女的背心提出。,蕭峰不忍中原眾人為他而死，終於出手攻擊自己的同胞契丹武士。坐鎮城門使群豪一一逃脫。
猛聽得鼓聲如雷，兩隊騎兵從南北殺來，蕭峰登時氣沮，,其餘遼兵只嚇得心膽俱裂，緊閉城門，再也不敢出來。,中原眾人傷亡慘重，蕭峰指揮眾人逃脫，丐幫結陣殿後。完顏阿骨打率女真部落趕至，以精湛箭術阻擋遼兵攻勢。
完顏阿骨打率領族人，在城下耀武揚威，高聲叫駡。,不管你們要奉誰做幫主，這‘打狗棒法’和‘降龍二十八掌’，我非傳他不可。,蕭峰深怕遼帝對女真族復仇
他沉吟半晌，叫道：「二弟！」虛竹應道：「是。」,威力非但不弱於原來的二十八掌，反而有所勝過，成為武林中威震天下的高明武學。,蕭峰為不使丐幫兩大絕技失傳，當下傳降龍二十八掌、打狗棍法於虛竹，並託虛竹日後傳給新任丐幫幫主。
次晨蕭峰與虛竹也不休息，與大夥偕行。蕭峰問阿紫道：「那位游君還在靈鷲宮中麼？」,我遠沒妹子好看，你才是花容月貌呢。」阿紫扁扁嘴道：「假的！」,次日蕭峰問起游坦之，阿紫漠不關心。
李清露轉頭向段譽道：「三弟，你二哥說道，他曾答允過令尊大人，幫你來西夏求親，,段譽身邊胡說八道，又將曉蕾拉了過來，曉蕾紅著臉，只微笑不語。,李清露替婢女及梅蘭竹菊作媒，贈與段譽納妾。段譽則將他們封為郡主，作為義妹對待。
段譽見虛竹雖得美滿姻緣，神色間總有鬱鬱之意，走近身去。,當下李清露和蕭峰、段譽告別，登車退回，與靈鷲宮九天九部諸女相聚。曉蕾與四劍在車子旁護送。,虛竹面有鬱色，段譽得知虛竹不能出家之苦，以維摩結經開導他，只要有心向佛，在家也可以修行。
這一日過了蔚州靈丘，埋鍋造飯。范驊沿途伏下一批批豪士，扼守險要的所在，,蕭峰道：「可不知何年何月，才有這等太平世界。」,遼兵三路追至，順道放火殺民。蕭峰與玄渡辯答胡漢之爭，段譽李白之詩作感慨。三人感慨征戰何時方休。
一行人續向西行，這一日過了代州的繁峙，眼見東南北三方都有火光，晝夜不息，遼軍一路燒殺而來。,但身後轟隆隆、轟隆隆的萬馬奔騰之聲，卻也更加響了。,遼兵一路燒殺，火光四色，使群豪憤慨。雖殺了一隊遼兵提振士氣，但數萬大軍源源不斷追趕。范驊提議先退回雁門關。
蕭峰下嶺到山側，猛然間看到一塊大岩，心中一凜,玄渡長歎一聲，不知如何是好。,眾人趕至雁門關前，蕭峰想起過往恩怨以及阿朱。守關將領認為這群人龍蛇混雜，堅不放行，雙方起了爭執。
雁門關兩側雙峰夾峙，高聳入雲，這關所以名為「雁門」，意思說鴻雁南飛之時，也須從雙峰之間通過，以喻地勢之險。,四下裡遼將遼兵見皇帝落入敵手，大驚狂呼。幾十名親兵奮不顧身地撲上來想救皇帝，都給虛竹飛足踢開。,遼兵趕至，雁門不開，蕭峰請遼帝出陣答話。遼帝做好萬全準備，以防蕭峰故技重施，卻未料到段譽、虛竹兩人，各顯神功，萬軍叢中擄獲遼帝。
二人擒住遼帝，心中大喜，突見蕭峰飛身趕來，齊聲叫道：「大哥！」,當即從箭壺中抽出一枝雕翎狼牙箭，雙手一彎，啪的一聲，折為兩段，投在地下，說道：「答允你了。」,蕭峰脅持遼帝，兩邊人馬都欲上前，被蕭峰喝止。
耶律洪基轉過身來，舉步欲行，卻見虛竹和段譽四目炯炯地瞧著自己，並無讓路之意。,軍中皮鼓號角響起，傳下禦旨，但聽得歡呼之聲，從近處越傳越遠。,遼帝向遼軍宣布撤退，蕭峰以渾厚內力復述。中原各人歡聲雷動，遼軍將士在高呼萬歲時也暗暗欣喜。遼帝恍然大悟，遼兵亦不好戰。
耶律洪基回過頭來，見蕭峰仍一動不動地站在當地。耶律洪基冷笑一聲，朗聲道：「蕭大王，你為大宋立下如此大功，高官厚祿，指日可待！」,虛竹、段譽等一干人站在蕭峰的遺體之旁，有的放聲號哭，有的默默垂淚。,遼帝臨別前以言語相激蕭峰，蕭峰有感自身罪於契丹民族，無顏面對天地之間，將兩隻折箭刺向心臟自盡。
忽聽得一個少女的聲音尖聲叫道：「走開，走開！大家都走開。你們害死了我姊夫，在這裡假惺惺地灑幾點眼淚，有什麼用？」,和她淵源極深，或可勸得她明白，便又退開了幾步，不打擾他二人說話。,阿紫推開眾人，抱著蕭峰的屍體，神智失常的她，對著蕭峰的屍體說話，並喝退一切想靠近他們的人。
遊坦之道：「阿紫姑娘，你很好吧？沒人欺侮姑娘吧？」一張醜臉之上，現出了又是喜悅、又是關切的神色。,玄渡等年長之人，知道當年玄慈、汪幫主等在雁門關外伏擊契丹武士的故事，知蕭峰之母的屍身便葬在這深谷之中。,游坦之上前搭話，阿紫表示自己被所有人欺負，要他殺了所有人，以及再也不要看到他。阿紫不想虧欠游坦之，於是挖下雙眼，抱著蕭峰的屍體，縱身躍入谷中。
忽聽關上鼓聲響起，那傳令軍官叫道：「奉鎮守雁門關都指揮張將軍將令：爾等既非遼國奸細，特准爾等入關，唯須安份守已，聽由安排，不得擅自行動。」,一行人徑向南行，段譽不欲驚動百姓，命眾人不換百官服色，仍作原來的行商打扮。,眾人逐漸歸去，宋兵呈報朝廷取得大捷，宋帝自覺英明神武大賞群臣。段譽虛竹分手，段譽一行人微服返往大理。
段譽向王語嫣說了曉蕾及梅蘭竹菊四女的情狀來歷，王語嫣笑笑不語，過了一會，,巴天石獨行趕先，在前探道，傍晚時分回報，查得「不老長春谷」便在前面數百里外，但澗深林密、高峰擋道，外人萬難入谷。,段譽向王語嫣介紹曉蕾及四姝，王語嫣羨慕五女的年輕貌美，深怕自己老去。
一行人沿著山道，越行越高，道路也越來越險峻陡峭，到後來馬匹已不能走。,王語嫣大喜，仰望遠處的「不老長春谷」，想像自己得保玉容，永遠駐顏不老。,谷路險峻難行，眾人巧遇怒族人，探訪得知「神書」被逍遙子拿走，只剩下長春泉，並再三勸告不要入谷，而回無量玉洞可能找不老神書。
段譽先派巴天石率同梅蘭竹菊四姝，向無量洞洞主辛雙清商酌。,段譽道：「我是第一個看到你面貌的男子，果然花容月貌，全沒大麻子。我倆從此永不分開，那也很好！」,四姝向洞主辛雙清表明來意，辛雙清本就受靈鷲宮所管，欣然引領眾人翻山越嶺前往玉洞，湖畔處勾起段譽與木婉清過往情事。
次晨段譽剛起身，四姝即來向他稟報，說王語嫣已迫不及待，一早便搶進石洞中去了。,只摸到一把玉石碎片，還有些零碎頭髮，當是無崖子制像時所遺留。,王語嫣搶入洞中，眾人魚貫入洞，都對玉像和王語嫣非常相似而感到驚訝。
段譽勸道：「只怕當真並沒不老長春功。即使是不老長春功中的人，也不過壽命較長、身體較健朗而已。,還有餘鹽輸到吐蕃，換取牛羊奶油。全國百姓大悅，都說段譽是個為民造福的好皇帝。,段譽勸解，佛道皆勸解人的執著，身色無常，連玉像也不一定能永保形骸，何況是人？王語嫣不聽離去。
這日春光駘蕩，大理通國正在慶祝「三月街」節日，大理各族百姓，擺夷（當時名稱。,眾小兒拍手歡呼而去，都道：「明天又來！」,某日大理慶祝「三月街」節日，段譽率眾人出去野餐，巧遇慕容復等人，一群孩童稱他為萬歲，阿碧與王語嫣在一旁陪伴。
段譽知慕容復神志已亂，富貴夢越做越深，不禁淒然。,史無記載，是木婉清、鐘靈、曉蕾，還是別位嬪妃所生，便不得而知。,慕容復已經發瘋，兩女在旁陪伴，段譽起惻隱之心，暗中派人資助。
