此段落的最初2-5句話,此段落的最末2-5句話,段落大意
兩人共騎，奔跑一陣，放眼盡是杏樹，不多時便已將西夏眾武士拋得影蹤不見。,又想：「我只管救王姑娘，卻沒去搭救我那阿碧小妹子。我這麼偏心，可見我內心對兩人確然大有分別！」,段譽和王語嫣騎著馬成功脫逃了，但王語嫣中毒了，全身沒力氣。
眼看雨越下越大，段譽脫下長袍，罩在王語嫣身上，,這時大雨刷刷聲音，四下裡水汽濛濛。,段譽自己猜想，他救了王語嫣之後，語嫣往後將視他為恩人。
他躍下馬來，見王語嫣臉色蒼白，,還是在溪水中洗去了手上污泥，這才扶王語嫣下馬，走進碾坊。,段譽要扶王語嫣下馬，但在小鹿亂撞的心情之下，他不慎跌入泥濘之中。他連忙把手洗乾淨，再扶王語嫣下馬避雨。
兩人跨進門去，只見舂米的石杵提上落下，,她乍然見到那一男一女的神態，早就飛走了臉，不敢多看。,碾坊裡有一對農家男女
段譽卻全心全意貫注在王語嫣身上，於這對農家青年全沒在意。,段譽道：「嗯，是金二哥」。,王語嫣用一支金釵，向農女換一套乾淨衣物。
剛說到這裡，忽聽得馬蹄聲響，十餘騎向著碾坊急奔而來，,打在她胸口，只打得她肋骨齊斷，立時斃命。,西夏武士追到了碾坊，並殺死了農家男女。段譽爲了保護王語嫣，沖到二樓。王語嫣衣服還沒換好，勉強用濕衣服遮蔽身體。
段譽聽得樓下慘呼之聲，探頭看去，見這對農家青年霎時間死於非命，心下難過，,段譽于頃刻間連斃兩人，其餘的武士便不敢再上樓來，聚在樓下商議。,段譽覺得自己害死了兩位農家男女，覺得內疚。
王語嫣道：「段公子，你先將肩頭的袖箭拔掉。」,段譽又殺了一人，不由得心中發毛，越想越害怕，大叫：「我不想再殺人了！要我再殺人，可下不了手啦，你們快快走吧！」用力一推，將這摔交好手的屍身拋了下去。,王語嫣叫段譽拔掉左肩的箭，段譽內心覺得語嫣關心他，因此很開心，甚至忘記傷口的疼痛。
追尋到碾坊來的西夏武士共十五人，此刻尚餘十二人，其中四個是一品堂的好手，兩個漢人，兩個西夏人。,段譽見三人緊跟攻來，心慌意亂，喝一聲：「著！」發力點出，嗤嗤聲響，正中那人「至陽穴」。那人哼也不哼，撲地即死。,敵人們恐嚇將放火燒屋，逼段譽和王語嫣投降。
段譽不知此人死活，心中歉然，想再攀水輪升到王語嫣身旁，卻來不及了，一名西夏武士攔住了他退路，舉刀劈來。,王語嫣尋思：「段公子性命暫可無礙，卻如何方能脫此困境？我上身不穿衣衫，真羞也羞死了。唯有設法指點段公子，讓他將十一個敵人一一擊斃。」當下不再去看段譽的步法，轉目端詳十一人的武功家數。,段譽被西夏武士們包圍了，無法脫困。段譽使用「淩波微步」，不斷閃避敵人們的攻擊。王語嫣覺得「淩波微步」很驚奇，於是段譽不斷使出步法讓王語嫣觀賞。王語嫣為了讓段譽脫困，想辦法指導他攻擊敵人。
忽聽得喀的一聲響，有人將木梯擱到了樓頭，一名西夏武士又要登樓，十一人久戰段譽不下，領頭的西夏人便吩咐下屬，先將王語嫣擒住了再說。,腳下仍踏著淩波微步，在大堂中快步疾走，雙手不住地抱拳作揖，向餘下的六人道：「各位英雄好漢，在下段譽跟你們往日無怨，近日無仇，請你們網開一面，這就出去吧。我……我……實在不敢再殺人了。這……這……弄死這許多人，有失慈悲之道，實在大大不對。你們快快退去吧，算我段譽輸了，求……求你們高抬貴手。」,敵人準備到二樓抓下王語嫣。段譽在王語嫣的指揮之下，透過攻擊穴道的方式，陸續殺死了好幾位敵人。
一轉身間，忽見門邊站著一個西夏武士，也不知是什麼時候進來的，這人中等身材，服色和其餘西夏武士無異，只臉色蠟黃，木無表情，就如死人一般。,這西夏人一撞到段譽身子，左手疾翻，已使擒拿手扭住了段譽右臂。他眼見對方之所長全在腳法，這一扭正是取勝良機，右手拋去單刀，回過來又抓住了段譽的左腕。段譽大叫：「苦也！」用力掙扎。但那西夏人兩手便如鐵箍相似，卻哪裡掙扎得脫？,段譽被一個目無表情的敵人嚇到了，以為他是自己殺死的人化成的鬼魂，殺死這敵人之後才松一口氣。
