此段落的最初2-5句話,此段落的最末2-5句話,段落大意
大理皇宮之中，段正明將帝位傳給侄兒段譽，誡以愛民、納諫、節欲三事，叮囑於國事不可妄作更張，不可擅動刀兵。,他便要大發脾氣，罷官的罷官，放逐的放逐，這樣一來，還有誰敢向他直言進諫呢？」,大理國段正明傳位給侄兒段譽，叮囑他要愛民、納諫、節欲，國事不妄作更張、不可擅動刀兵。而大宋京城汴梁皇宮中，太皇太后高氏病情轉危，叮嚀孫子趙煦別像他的父皇行事躁進，又不聽逆耳忠言。
趙煦道：「奶奶，只可惜父皇的遺志沒能完成，他的良法美意，都讓小人敗壞了。」,太皇太后道：「只不過怎樣？你想說什麼，儘管說出來，又何必吞吞吐吐？」,趙煦卻稱頌著父皇曾推動的新法。太皇太后問趙煦是不是恨她掌握實權九年，趙煦酸言酸語道，只敢對祖母言聽計從，不敢有半點忤逆。
趙煦道：「孩兒曾聽人說，奶奶所以要立孩兒，只不過貪圖孩兒年幼，奶奶自己可以親臨朝政。」,太皇太后失聲道：「果真如此，他們便要出兵南下？」,趙煦借他人之口，指控祖母貪圖他年幼，以便把持朝政。而太皇太后反問趙煦，她將國家治理得如何？趙煦取出安插在遼國的細作，抄來的遼國宰相奏章，祖母的施政，得到遼國宰相的讚許，但契丹的君臣也商議著，等到太皇太后歸天，大宋有甚麼輕舉妄動，遼國也跟著輕舉妄動。太皇太后驚愕失聲。
趙煦道：「不錯！」他轉過身來走到窗邊，只見北斗七星閃耀天空，他眼光順著鬥杓，凝視北極星,為君者胸中時時刻刻要存著一個‘仁’字，別說勝敗之數難料，就算真有必勝把握，這仗嘛，也還是不打的好。」,趙煦一心想與契丹較量，太皇太后則力茜趙煦不要輕易發動戰爭，造成生靈塗炭，並勉勵他為君者心中要長存「仁」字。
趙煦道：「咱們燕雲十六州給遼人占了去，每年還要向他進貢金帛，既像藩屬，又似臣邦，孩子身為大宋天子，這口氣如何咽得下去？,他們自稱君子，其實都是貪生怕死、自私自利的小人，我……我非將他們重重懲辦不可。」,趙煦對於遼人的欺壓感到不平，並肯定當年王安石的變法，滿心想著要破陣殺敵，收復燕雲十六州，帶著百萬雄兵攻打上京，逼遼主耶律洪基投降，並要重懲大宋朝中腐儒。
太皇太后驀地清醒過來，心道：「這孩子是當今皇帝，他有他自己的主意，我再也不能叫他聽我話了。,他其實已做了九年皇帝，只不過九年來這皇帝有名無實，大權全在太皇太后之手，直到此刻，他才是真正的皇帝。,太皇太后意識到年輕力壯的皇帝，已有自己的主意，不再聽她這瀕死的老太婆的話了，但仍提醒他與民休息，頒行仁政，就能不戰而屈人之兵，並要他多讀司馬光的《資治通鑑》看看千年來歷朝歷代之所以興衰敗亡的原因。趙煦卻念念不忘要與遼國開戰，太皇太后在大怒中辭世，趙煦卻大喜於自己擺脫掌控，此刻終於是個真正的皇帝。
趙煦親理政務，每一件事便是將禮部尚書蘇軾貶去做定州知府。蘇軾文名滿天下，負當時重望。,趙煦冷笑一聲，大聲道：「那是太皇太后斥逐的，跟我又有什麼干係？」拂袖退朝。,趙煦親理政務，第一件事便是把禮部尚書蘇軾貶為定州知府。對於趙煦親政，有人憂愁，有人竊喜。范祖禹上奏勸諫皇帝維持舊政，並指昔日推行新政的臣子是小人，趙煦因而拂袖退朝。
趙煦厭見群臣，但親政之初，又不便將一群大臣盡數斥逐，當即親下敕書，升內侍樂士宣、劉惟簡、梁從政等人的官，獎賞他們親附自己之功，連日託病不朝。,他話是說得婉轉，意思還不是一樣？說我倘若急功近利，躁進大幹，不但天下有恨，我自己亦當有悔。」一怒之下，登時將奏章撕得粉碎。,趙煦討厭群臣，但因剛剛親政，不便將群臣盡數斥逐，於是生了內室的官職，獎賞他們親附自己，又連日稱病不上朝。蘇軾上了一封奏章勸趙煦先靜觀朝政的利害關係以及群臣誰正誰邪，三年之後再有所作為，言下之意是知道趙煦有意復行新政，要他延緩三年，趙煦又是一陣大怒，撕碎了奏章。
數日後視朝，范祖禹又上奏章：「煦甯之初，王安石、呂惠卿造立三新法，悉變祖宗之政，多引小人以誤國。,朕紹述先帝遺志，有何不妥？你們卻嘮嘮叨叨地聒噪不休，反來說先帝變法的不是！」,數日後，范祖禹又上奏章，指責昔日王安石、呂惠卿推行新法的不是，趙煦認為那是拐著彎在罵先帝，再次發怒，群臣驚駭，他心裡得意，臉上卻仍裝著一副凶相。
群臣班中閃出一名大臣，貌相清臒，凜然有威，正是宰相蘇轍。,次日詔書下來，降蘇轍為端明殿學士，為汝州知府，派宰相去做一個小小的州官。,蘇轍也提出諫言，勸皇帝效法漢代皇帝「子匡父失」，以為「聖人之大孝」，舉了漢武帝搶奪百姓財源，致使民亂，而漢昭帝接位後，廢除繁苛，漢室乃定；以及漢明帝相信邪說，造成朝堂上下恐懼，漢章帝接位改行寬厚愷悌之政，天下大治等兩個例子。趙煦指責他把先帝比為窮兵黷武的漢武帝，蘇轍連忙磕頭，下殿跪在庭中待罪，群臣不敢為蘇轍辯解，素有布衣宰相之稱的范純仁為蘇轍緩頰，次日蘇轍被降為端明殿學士，為汝洲知府，而布衣宰相被貶為州官。
