此段落的最初2-5句話,此段落的最末2-5句話,段落大意
折騰了這許久，月亮已漸到中天。段譽徑向西行。他雖不會武功，但年輕力壯，腳下也甚迅捷。,那女子道：「這‘無量玉壁’到底有什麼希奇古怪，你們在這裡已住了十年，難道當真連半點端倪也瞧不出嗎？」,段譽離開無量山主峰，路上遇到干光豪和葛師妹背叛師門、私奔逃走。
干光豪道：「咱們是一家人了，我怎麼還會瞞你？師父說，許多年之前，那時是我太師父當東宗掌門。,她頓了一頓，問道：「干師哥，你說世上當真有仙人？還是你我兩位太師父都說來騙人的？」,藉由干光豪和葛師妹的對話，說明無量玉璧上武劍仙影的神奇之處。
干光豪道：「要說你我兩位太師父都編造這樣一套話來欺騙弟子，想來不會，騙信了人也沒什麼好處啊。,子登時直墮了下去。他大叫：「啊喲！」身離崖邊失足之處已有數十丈了。,段譽偷聽二人說話，不自覺噗哧發笑，被干光傑追趕，情急之下跳入無量劍禁地。
他身在半空，雙手亂揮，只盼能抓到什麼東西。,到得後來他伏在坡上，半滾半爬，慢慢溜下，便已無兇險。,段譽墜崖途中被古松所救，緩緩爬向谷底。
耳聽得轟隆轟隆的聲音越來越響，不禁又吃驚起來：「這下面若是怒濤洶湧的激流，可糟糕之極了。」,料想千萬年前瀑布比今日更大，不知經過多少年的衝激磨洗，將這半面石壁磨得如此平整，後來瀑布水量減少，才露了這片如琉璃、如明鏡的石壁出來。,段譽在谷底湖邊閒遊，兀自發愁，突然發現了無量玉壁。
突然之間，干光豪與他葛師妹的一番說話在心頭湧起，尋思：「看來這便是他們所說的‘無量玉壁’了。,心中一動：「莫非這才是真正的‘無量玉壁’？」當即拉去石壁上的藤蔓。但見這石壁也只平整光滑而已，別無他異。,段譽在谷中吃了野果、睡了一覺，想起鍾靈。百般聊賴之中，又發現另一個石壁。
忽然動念：「我死在這深谷之中，永遠無人得知，不妨在這片石壁上刻下幾個字，嗯，就刻‘大理段譽斃命於斯’八字，倒也好玩。」,想像佳人失侶，獨處幽谷，鬱鬱而終，不禁黯然。,月夜中，段譽悟出了無量玉壁上仙人投影的原理。
既明白了這個道理，心中先前的狂喜自即無影無蹤。,伯父武功這樣高強，他性子仁慈，只怕從來沒出手殺過一個人。只不過他要殺人，又怎用得著親自動手？」,段譽思考自己對事物的癡迷，卻偏偏不愛練武功。
坐在湖邊，思如走馬，不覺時光之過。,出了一會神，便又睡去。,段譽又從月下石壁的光影中，悟出峭壁中懸有一劍，而劍上鑲有寶石。
睡夢之中，突然間一跳醒轉，心道：「要將這寶劍懸上峭壁，可也大大的費事，縱有極高強的武功，也不易辦到。如此費力的安排，其中定有深意。多半這峭壁的洞孔之中，還藏著什麼武學秘笈之類。」,突然之間，右手碰到一件涼冰冰的圓物，碰觸之下，那圓物當的一下，發出響聲，聲音清亮，伸手再摸，原來是個門環。,段譽在谷中第三日夜裡發現一塊巨嚴，隔日天明再探究竟，發現巨嚴可轉動，後面藏著一個洞穴，洞穴中有一門。
既有門環，必有大門，他雙手摸索，當即摸到十餘枚碗大的門釘，心中驚喜交集：「這門裡倘若住得有人，那可奇怪之極了。」,定神凝思，暗暗叫苦：「糟糕，糟糕。我這可走到劍湖的湖底來啦！一路上在黑暗之中摸索，已不知轉了幾個彎，既深入湖底，那還是逃不出去。」,段譽打開門，發現竟是無量山劍湖的湖底石室。
回過身來，見室中放著一隻石桌，桌前有凳，桌上豎著一面銅鏡，鏡旁放著些梳子釵釧之屬，看來竟是閨閣所居。,石級向下十餘級後，面前隱隱約約的似有一門，伸手推門，眼前陡然一亮，失聲驚呼：「啊喲！」,段譽於石室中又發現端倪，繼續深入石室，發現一宮裝美女玉像。
眼前一個宮裝美女，手持長劍，劍尖對準了他胸膛。,走到玉像面前，癡癡呆看，瞧著她那有若冰雪的肌膚，說什麼也不敢伸出一根小指頭去輕輕觸摸一下，心中著魔，鼻端竟似隱隱聞到蘭麝般馥鬱馨香，由愛生敬，由敬成癡。,段譽看得呆了，不斷對著玉像喃喃自語，並發現一行題字中提及「無崖子」、「秋水妹」。
過了良久，禁不住大聲說道：「神仙姊姊，你若能活過來跟我說一句話，我便為你死一千遍，一萬遍，也如身登極樂，歡喜無限。」,他也不加理會，仍畢恭畢敬地磕足一千個頭，待要站起，驀覺腰間酸軟，仰天一跤摔倒。,段譽遵從指引，磕了一千個頭，得到一個綢包。
他就此躺著休息，只覺已遵玉像之命而做成了一件事，全身越疲累酸疼，心中越感快慰。過了好一會，慢慢爬起，伸手到小蒲團的破裂處去掏摸，觸手柔滑，裡面是個綢包，,又想：「神仙姊姊仙去多年，世上也不知還有沒有逍遙派之人。常言道：惡有惡報，最好他們早已個個惡貫滿盈，再不用我動手去殺。世上既已沒了逍遙派弟子，神仙姊姊的心願已償，她在天上地下，也不用耿耿長恨了。」,段譽打開綢包，原來是
言念及此，登時心下坦然，默默禱祝：「神仙姊姊，你吩咐下來的事，段譽自當遵行不誤，但願你法力無邊，逍遙派弟子早已個個無疾而終。」,他平時常聽爹爹與媽媽談論武功，雖不留意，但聽得多了，知道「雲門」、「中府」等等都是人身穴道名稱。,打開綢包內的帛卷，寫著北冥神功，帛卷中畫有裸女，看得段譽心動不已。
當下將帛卷又展開少些，見下面的字是：,心道：「壞人惡人來冒犯神仙姊姊，神仙姊姊才引他們的內力而為己用，那是除去壞人惡人的為禍之力，猶似搶下屠夫手中的屠刀，又不是殺了屠夫。」,段譽發現原來北冥神功的精義乃在吸納他人的內力。
再展帛卷，長卷上源源皆是裸女畫像，或立或臥，或現前胸，或見後背。,至於「殺盡我逍遙派弟子」一節，卻想也不敢去想。,卷末寫著凌波微步，與段譽熱衷的《易經》有關，段譽承諾認真練功。
見左側有個月洞門，緩步走了進去，裡面又是一間石室，有張石床，床前擺著一張小小的木制搖籃。,突然一陣狂喜：「是了，這局棋如此繁複艱深，定是神仙姊姊獨自布下的‘珍瓏’，決不是兩個人下成的！」,段譽發現珍瓏棋局，棋局繁複，推算不出結果。
一抬頭，只見石床床尾又有一個月洞門，門旁壁上鑿著四字：「琅嬛福地」。,一揖到地，說道：「神仙姊姊，今日我身有要事，只得暫且別過，救出鐘家姑娘之後，再來和姊姊相聚。」,發現瑯嬛福地，曾經藏滿各派武功圖籍，可惜已被人搬走一空。
狠一狠心，拿著燭臺，大踏步走出石室，待欲另尋出路。,打算救人之事一了，再來此處陪伴神仙姊姊。,段譽離開石室，走道瀾滄江邊。
江岸盡是山石，小路也沒一條，七高八低地走出七八裡地，見到一株野生桃樹，樹上結實累累，雖仍青酸，還是采來吃了個飽，又走了十餘裡，才見到一條小徑。,心想：「這‘萬劫谷’的所在當真隱蔽，若不是鐘姑娘告知，又有誰能知道谷口竟是在一株大松樹中。」,段譽經過善人渡，來到萬劫谷。
鑽進樹洞，左手拔開枯草，右手摸到一個大鐵環，用力提起，木板掀開，下面是一道石級。,才知「段」字之下鑲有鐵板，板後中空，因外面漆了白漆，一時瞧不出來。他又敲擊了兩下，掛回鐵錘。,段譽走到萬劫谷口，依照鍾靈的指示，在段字之上敲三下。
過了一會，聽得松樹後一個少女聲音叫道：「小姐回來了！」語音中充滿了喜悅。,暗叫：「啊喲，怎地我把自己姓名叫了出來？我只管打量她跟鍾姑娘的相貌像不像，竟忘了捏造個假姓名。」,段譽入谷後，與鍾夫人見面，不小心說出自己的姓名。
鍾夫人一怔，斂衽回禮，說道：「公子萬福！」隨即說道：「你……你姓段。」,段譽道：「此事全由晚生身上而起，須怪不得鐘姑娘。」,鍾夫人聽段譽說明鍾靈遇劫的原委，鍾夫人卻面有難色起來。
鍾夫人怔怔地瞧著他，低低地道：「是啊，這原也難怪，當年……當年我也是這樣……」,鍾夫人轉身出房，帶上了房門，回到堂中。,鍾夫人趁鍾谷主到來前，將段譽藏了起來。
跟著便聽得兩人走進堂來，一個男子叫了聲：「夫人。」,鐘夫人哼了一聲，道：「為了我，這可謝謝你啦。你要是真的為我，乖乖的快把這‘四大惡人’送走了吧！」,鍾谷主引來四大惡人，沒想到四大惡人在谷內鬧事，殺了進喜兒。
段譽在隔房聽得好生奇怪：「那嶽老三毫沒來由的便出手殺人，實是惡之透頂，難道另外還有三個跟他一般惡的惡人？」,鍾萬仇提起右掌，怒喝：「你這小子也姓段？又是姓段的，又……又是姓段的！」說到後來，憤怒之意竟爾變為淒涼，圓圓的眼眶中湧上了淚水。,段譽躲在一旁，看到鍾萬仇其貌不揚，不自覺又笑了出來，被逮個正著。
突然之間，段譽對這條大漢不自禁地心生悲憫，料想此人自知才貌與妻子不配，以致動不動地就喝無名醋，其實也甚可憐。,段譽順手將鐘靈那對花鞋揣入懷中。鐘夫人黯然搖頭，想說什麼話，終於忍住不說。,段譽自報家門，才知道鍾谷主及鍾夫人都認識段正淳。鍾夫人隨段譽前往搭救鍾靈。
兩人一走出樹洞，鐘夫人便加快腳步，別瞧她嬌怯怯的模樣，腳下卻比段譽快速得多。段譽終不放心，說道：「伯母既不會治療貂毒，只怕神農幫不肯便放了令愛。」,雖殊無娶妻之意，但想到鐘靈明媚可喜，不禁心中一動。,鍾夫人隨段譽前往救女兒時，鍾萬仇因誤會而加以攔阻，鍾萬仇受了傷，鍾夫人交給段譽一個信物，回去請段正淳前去搭救鍾靈。
