此段落最初的2-5句話,此段落最末的2-5句話,段落大意
段譽被鳩摩智點了穴道，全身動彈不得，給幾名大漢橫架在一匹馬的鞍上，臉孔朝下，但見地面不住倒退，,香澤微聞，俏叱時聆，比之給個強凶霸道、裝聾作啞的番僧懸空而提，苦樂自是大不相同。,段譽遭鳩摩智點穴擄走，已過數日，只知是向北方前進，目的未明。
這般走了十餘天，料想已出了大理國境，段譽察覺他行走的方向改為東北，仍避開大路，始終取道於荒山野嶺。,但這二十餘日來，對此事早已深思熟慮，想明白了其中關竅，說道：「鳩摩智大師，你這番話是騙不倒我的」。,過了十餘日段譽已被帶出大理境內，大穴仍被封住逃脫不得，此時鳩摩智提出讓段譽畫下《六脈神劍》經的要求，段譽認為此人不可信任。
鳩摩智合十道：「阿彌陀佛，小僧對慕容先生當年一諾，尚且如此信守，豈肯為了守此一諾，另毀一諾？」,淩空一招「火焰刀」，將段譽頭上的書生巾削去了一片，喝道：「你當真不寫？我這一刀只消低得半尺，你的腦袋便怎樣了？」,鳩摩智見段譽並不相信自己，便將內力注入段譽胸口，卻發現自己的內力竟被段譽的化工大法吸入。更對大理段氏武功心神嚮往，便改以物理攻擊手段逼段譽屈服。
段譽害怕之極，心想他當真惱將起來，戳瞎我一隻眼睛，又或削斷我一條臂膀，那便怎麼辦？,鳩摩智聽得他亂背《金剛經》，怒目瞪視，眼中似乎也有火焰刀要噴將出來，恨不得手掌一揮，「火焰刀」的無形氣勁就從這小子的頭頸中一劃而過。,遭受逼迫的段譽並不屈服，也轉而威脅鳩摩智或是傷害自己，也得不到好。鳩摩智雖氣得半死卻也無可奈何。
自此一路向東，又行了二十余日，段譽聽著途人的口音，漸覺清雅綿軟，菜肴中也沒了辣椒。,兩人登覺報仇多了幾分指望，趕到湖邊，剛好和鳩摩智、段譽二人遇上。,一路向東之後，逐漸接近慕蓉博的墓地所在。多番打探不得下，巧遇來到蘇州尋仇的金算盤崔百泉、追魂手過彥之二人。
崔百泉突然聽到段譽的叫聲，一愕之下，快步奔將過來，只見一個和尚騎在馬上，左手拉住段譽坐騎的韁繩,柳枝柔軟，一升一沉，不住搖動。金算盤款款拍著水面，點成一圈圈漣漪。,段譽心知崔、過二人打不過鳩摩智，便央求二人快逃並通知他的父親前來相救。豈料二人不願丟下他一人，出手相救，果然不敵鳩摩智，
鳩摩智雙手合十，說道：「有勞兩位大駕，便請引路。」崔過二人面面相覷，不知如何是好。,那少女微笑道：「參合莊的名字，外邊人勿會曉得，大師父從啥地方聽來？」,雙方僵持之間，一名清婉少女唱著小曲划舟靠近，聽得他們的目的，便詢問鳩摩智如何得知「參合莊」之名。
鳩摩智道：「小僧是慕容先生方外至交，特來老友墓前一祭，以踐昔日之約。並盼得識慕容公子清范。」,段譽見她天真爛漫，和藹可親，笑道：「我可不會彈算盤。」轉頭向崔百泉道：「霍先生，人家把你的算盤打得這麼好聽。」,原來少女是慕蓉家大少爺撫琴的小丫頭阿碧，阿碧見眾人皆要到參合莊去，便邀請眾人至莊裡小歇，等待過幾日大少爺歸來。
崔百泉澀然一笑，道：「不錯，不錯。姑娘真是雅人，我這件最俗氣的家生，到了姑娘手裡，就變成了一件樂器。」,這個小姑娘柔和溫雅，看來不假，但焉知不是慕容氏驕敵之計？先叫咱們去了防範之心，他便可趁機下手。」,眾人便上了小舟隨阿碧前去，崔、過二人心中警惕，擔心阿碧並非眼前所見的和善，且見周遭景色單憑他們二人是難以進入莊中，但又難以對天真爛漫的阿碧發作。
舟行湖上，幾個轉折，便轉入了一座大湖之中，,阿碧臉上微微一紅，笑道：「拿我的歌兒來比糖藕，今朝倒是第一趟聽到，多謝公子啦！」,到了太湖中央，崔、過二人開始擔心他二人皆不會水，若是阿碧有其他心思則無法招架。時間一久，連鳩摩智也起了戒心，唯有段譽仍醉於景色和阿碧的巧笑中。
