此段落的最初2-5句話,此段落的最末2-5句話,段落大意
奔出數裡，黑玫瑰走上了一條長嶺。山嶺漸見崎嶇，黑玫瑰行得更加慢了，背後呐喊聲隱隱傳來。,突然間一陣眩暈，只覺天旋地轉，腳下一軟，登時昏倒在地。,騎馬奔逃之中，越過深澗，段譽和木婉清逃過一劫，但黑玫瑰卻跌落山澗。
段譽大驚，生怕她摔入穀中，忙上前扶住，見她雙目緊閉，已暈了過去。,他不知閃避，一股鮮血噴得滿頭滿臉都是。,兩人暫脫為難，段譽才發現木婉清受了重傷。
木婉清痛得大叫一聲，醒了轉來，跟著又即暈去。,段譽自言自語：「金創藥也做得像胭脂一般，搽在雪白的皮肉上也真好看。」,段譽用木婉清隨身的傷藥為木婉清治傷。
他累了半天，到這時心神才略為寧定，聽得對崖上叫駡喧嘩聲已然止息，尋思：「莫非他們真的從谷中攻上來麼？」,一時心意難決，要想起個卦來決疑，卻越來越倦，竟爾朦朦朧朧地睡去了。,木婉清昏迷不醒，段譽也累得矇矓睡去。
也不知睡了多少時候，突然間聽到喀喇聲響，一驚而醒，忙奔到崖邊，只見五六名漢子正悄沒聲地從這邊山崖攀將上來。,段譽道：「是啊，你的胭脂膏真靈，我萬萬料想不到這居然是金創妙藥。」,兩人醒來，木婉清質疑段於是否曾趁機揭開面紗偷看她臉龐。
木婉清道：「你過來，扶我一扶。」段譽道：「好！你原不該說這許多話，多歇一會，再想法子逃生。」,段譽道：「我……我不能見死不救。」木婉清不住喘氣，沒力氣說話。,木婉清因段譽見到她背脊，打了段譽一個耳光，於是傷口再度破裂。段譽再次為她敷藥。
段譽聽到左首淙淙水聲，走將過去，見是一條清澈山溪。,木婉清冷笑道：「你倒說得稀鬆平常，我這傷幾天之內怎好得了？對方好手著實不少……」,段譽服下了斷腸散的解藥，並解釋如何在劍湖宮中遇見鍾靈。
猛聽得對面崖上一聲厲嘯，只震得群山鳴響。,段譽心下駭然，叫道：「喂，你再上來，我要用石頭擲你了！」那人哈哈大笑，反而縱躍得更加快了。,段譽與木婉清說話的同時，有個高手正快速撲上山來。
段譽見他在這一笑之間，便又上升了丈許，無論如何不能讓他上山，但又不願再殺傷人命，便拾起一塊石頭在那人身旁幾丈外投了下去。,那人哈哈大笑，說道：「逃不了啦。老子是南海鱷神，武功天下第……第……嘿嘿，兩個小娃娃一定聽到過我的名頭，是不是？」,南海鱷神躲過段譽的石頭攻擊，來到木婉清的面前。
段譽心中怦怦亂跳，強自鎮定，向那人瞧去。,段譽心想：「這種江湖人物說得出，做得到，我還是站著不動的為妙。」,段譽不停誇獎南海鱷神，希望南海鱷神能放果兩人一馬。
只見南海鱷神圓睜一雙小眼，不住向木婉清打量，問道：「‘小煞神’孫三霸是你殺的，是不是？」,大家又說，南海鱷神連單身男人也不打，對手越多，他打起來越高興，這才顯得他老人家武功高強！」,從南海鱷神與木婉清的對話中，段譽知道南海鱷神原來是四大惡人之一。
南海鱷神眯著一對圓眼，笑吟吟地聽著，不住點頭，問道：「這話倒也有理。你聽誰說的？」,說道：「是啊，你是惡得不能再惡的大惡人，有人說你是岳老二，我說該當叫岳老大才是。你岳老大扭斷人脖子，哪裡還能讓他活命？」,段譽想起四大惡人的事蹟，不斷誇獎南海鱷神岳老二。
南海鱷神大喜，抓住了他雙肩連連搖晃，笑道：「對，對！你這小子真聰明，知道我是惡得不能再惡的大惡人。岳老大不成，老二是不錯的。」,木婉清傲然道：「我敬重你是前輩，尊你一聲老人家。你出言不遜，辱我師父，卻是不該。」,南海鱷神問起木婉清不露面容的規矩，惹得木婉清不悅。
南海鱷神手起一掌，擊在身旁一塊大石之上，登時石屑紛飛，幾粒石屑濺到段譽臉上，彈得他甚是疼痛。,南海鱷神道：「好！三霸這小子死不瞑目，讓我來瞧瞧你的相貌。看你到底是個醜八怪，還是個天仙般的美女。」,南海鱷神想起徒弟被木婉清所殺之恨，再度怒從中來，想揭木婉清面紗。
木婉清這一驚當真非同小可。,第三枝箭將到面門，南海鱷神伸出中指，輕輕在箭杆上一彈，那箭飛得無影無蹤。,木婉清用毒箭暗算南海鱷神，六箭接失敗。
木婉清抽出長劍，便往自己頸中抹去，但重傷之後，出手不快，南海鱷神一把搶過，擲在地下，嘿嘿兩聲冷笑，說道：「我的規矩，乃是不殺無力還手之人，你射我六箭，那是向我先動手了。,鑽研得一清二楚，當此緊急關頭，抓住了南海鱷神一句話，便跟他辯駁起來。,段譽見木婉清性命有危，跳出來與南海鱷神辯駁。
南海鱷神狂吼一聲，抓住了他雙臂，喝道：「你膽敢罵我是烏龜兒子王八蛋！」,低聲道：「你是世上第一個見到我容貌的男子！」緩緩拉開了面幕。,情急之下，木婉清拉了段譽，讓段譽成為第一個見到自己面容的男子。
段譽登時全身一震。眼前所見，如新月清暉，如花樹堆雪，一張臉秀麗絕俗。,南海鱷神又道：「妙極，妙極！你很像我，你很像我！」,木婉清宣稱段譽是自己丈夫，沒想到南海鱷神反而對段譽產生興趣。
不管他說什麼話，都不及「你很像我」這四字令段譽與木婉清如此詫異，均想：「這話莫名其妙之至，你武功高強，容貌醜陋，像你什麼啊？,我那死了的徒兒‘小煞神’孫三霸，後腦骨遠沒你生得好，他學不到我一成本事，死得很好，一乾二淨，免得我親手殺他，以便收你這個徒兒。」,南海鱷神見段譽資質甚佳，想要收段譽為徒。
段譽不禁打了個寒噤。心想這人如此殘忍毒辣，只要見到有人資質較好，便要殺了自己徒兒，以便另換弟子。,奔到崖邊看時，只見他正一縱一躍地往崖下直落，一墮數丈，便伸手在崖邊一按，身子躍起，又墮數丈，過不多時，已在谷口的白雲中隱沒。,段譽推說自己已經有了師父，南海鱷神當場秀了幾招，嚇得瑞婆婆等人紛紛攀援而下。南海鱷神聽到號令先行離去。
段譽伸了伸舌頭，回到木婉清身邊，笑道：「幸虧姑娘有急智，將這大惡人騙倒了。」。,想到此處，不禁暗暗好笑，便柔聲慰道：「你休息一會，我去找些什麼吃的。」,兩人歷劫餘生，稍獲喘息。木婉清認了段譽為丈夫。
木婉清道：「這高崖光禿禿的，有什麼可吃的？好在那些人都給嚇走了。待我歇一歇，養足力氣，背你下山。」,這情形司空玄自然知曉，當時卻不敢明言，生怕惹惱了靈鷲宮的聖使。,斷腸散突然發作，段譽肚痛難耐，木婉清見狀溫柔了許多。
木婉清聽他不再呻吟，問道：「痛得好些了麼？」段譽道：「好一些了。不過……不過……」木婉清道：「不過怎樣？」段譽道：「如果你離開了我，只怕又要痛起來。」,說道：「你是世間第一個瞧見我面貌的男子，你死之後，我便劃破臉面，再也不讓第二個男子瞧見我本來面目。」,兩人一陣甜言，段譽吻了木婉清。
段譽本想出言阻止，但不知如何，心中竟然感到一陣妒意，實不願別的男子再看到她這等容光豔色，,我如不遵此言，師父得知後便即自刎。我師父說得出，做得到，可不是隨口嚇我。」,木婉清對段譽說明毒誓的原委。
