此段落最初的2-5句話,此段落最末的2-5句話,段落大意
 虛竹出了木屋，不禁呆了，只見曠地上燒著一個大火柱，, 蘇星河神色緊張，雙掌不住猛推，連衣服中都鼓足了氣，直如吃飽了風的船帆一般。, 出了木屋，外頭已經是不一樣的景象了，丁春秋和蘇星河二人正催運掌力，推動火柱向對方燒去，丁春秋佔上風。
 丁春秋卻談笑自若，衣袖輕揮，似乎漫不經心。, 鑼鼓和頌揚聲中，火柱更旺，又向前推進了半尺。, 丁春秋應對從容，門下弟子在旁叫好助陣，蘇星河處於弱勢，鬍鬚還被傷掉了，星宿弟子的稱頌讓丁春秋內力更增。
突然間腳步聲響，二十余名漢子從屋後奔出來，擋在蘇星河身前，便是适才抬玄難等人上山的一干聾啞漢子， , 他身上受火柱煎迫，內心更為難過。, 聾啞漢子為了救蘇星河，被火焚身非死即傷，薛慕華為了保護師父也挺身而出，但都不敵丁春秋的武功。
 虛竹見蘇星河處境危殆萬分，但一直挺立當地，不肯後退半步，便即搶上前去，搭住他後心，,不知哪一個徒弟出言相慰，拍馬屁拍上了馬腳，給他發掌擊斃。 ,虛竹出手給蘇星河內功，原本以為勝券在握的丁春秋被火柱燒到，也燒到許多弟子，急忙叫游坦之出來幫忙，星宿老怪狼狽逃跑。
玄難、段延慶、鳩摩智等都以為蘇星河施出苦肉計誘敵，讓丁春秋耗費功力來燒一群聾啞漢子， , 身上不禁感到一陣涼意，要想站起，卻又不敢。,其他人以為這是蘇星河安排的苦肉計，不以為異，蘇星河卻看到虛竹手上的寶石戒指，他帶虛竹進去小木屋，到老人的屍身嗑頭哭泣。 他叫虛竹和老人屍體並肩而坐。
 蘇星河一整身上燒爛了的衣衫，忽向虛竹跪倒，磕下頭去，說道：「逍遙派不肖弟子蘇星河，, 虛竹道：「正是。但小僧功行淺薄，怎能當此重任？」, 蘇星河跪下拜虛竹為逍遙派的掌門人，說明擁有寶石指環者便能成為派系的掌門人。可是虛竹卻推託此責任。
 蘇星河歎了口氣，將寶石指環套回虛竹指上，說道：, 這一次他又想來問我，眼見無望，而我又破了誓言，他便想殺我洩憤。」, 蘇星河透漏當年丁春秋留他活口的原因就是想要知道聖功秘笈，以便逼供。沒有問到就想殺他洩憤。
 虛竹道：「幸虧前輩……」蘇星河道：, 於是將師伯祖玄難如何傳音入密、暗中指點之情說了。, 虛竹不知自己幫忙蘇星河趕走丁春秋，不斷退讓不願接受他現在有深厚內功的事實，也說出棋不是他自己下的。
 蘇星河將信將疑，道：「瞧玄難大師的神情，他已遭了丁春秋的毒手，, 虛竹道：「原來便是外面那個王姑娘。」, 蘇星河懷疑玄難的棋藝，後與虛竹討論起今天到場的公子，最後問出師父遺留下的捲軸，打開竟是仕女圖。
 但這卷軸絹質黃舊，少說也有三四十年之久，圖中丹青墨色也頗有脫落，, 不論蘇星河痛哭哀求也好，設喻開導也好，甚至威嚇強逼也好，虛竹總之不肯答允。, 那畫中之人，與王語嫣的相貌一樣，不過兩人都不知道為什麼逍遙派的師父要給這幅卷軸，虛竹還是想回林寺。
蘇星河無法可施，傷心絕望之余，向著師父的屍身說道： , 虛竹將他身子放好，搔搔光頭，無言可說。, 蘇星河本想與師父同歸於盡被虛竹阻止。
 蘇星河號稱「聰辯先生」，這外號倒不是白叫的，他本來能言善辯，, 那個方臉的師父是給那鐵面人以「冰蠶掌」打傷，那高高瘦瘦的師父是給丁春秋一足踢在左脅下三寸之處，傷了經脈……」, 蘇星河使出自己聰便的本領，逐漸說服虛竹。
蘇星河滔滔不絕，將各人的傷勢和源由都說了出來。 , 轉而向師伯祖說了起來，待得省覺不對，急忙住口，但已說了好幾句。, 蘇星河將現場人的傷勢都說出來，還教虛竹醫治人的各種手法。
玄難微微一笑，歎道：「話是不錯，但你師伯祖內力既失，禪定之力也沒有了。」, 失敬之處，還請原諒。」說著摸摸包不同胸口。, 虛竹用慧方和尚，實驗所學會的方法，治療效果很好，他就聽玄難的話先幫其他人療傷。
