此段落的最初2-5句話,此段落的最末2-5句話,段落大意
保定帝下旨免了鹽稅，大理國萬民感恩。雲南產鹽不多，通國只白井、黑井、雲龍等九井產鹽,保定帝道：「非到最後關頭，咱們仍當按照江湖規矩行事。段氏數百年來的祖訓，不可違背了。」,保定帝下旨免除鹽稅，斷定黃眉僧必定感念皇恩，設法營救段譽，以為報答。但過了一日一夜，終究沒等到好消息，連巴司空、華司徒、范司馬也不見蹤影，遂率領皇太弟段正淳夫婦、善闡侯高升泰、褚萬里等四大護衛，再往萬劫谷去。
一行人來到萬劫穀口，雲中鶴笑吟吟地迎了上來，深深一揖,他不說「大理國皇帝陛下」，卻以武林中名號相稱，點明一切要以江湖規矩行事。,雲中鶴在谷口迎接保定帝，雙方按江湖規矩以武會友。大廳中坐滿江湖豪傑。
段正明別說是一國之尊，單以他在武林中的聲望地位而論，也是人人敬仰的高手宗師，群雄一聽，都即站起。,這些江湖群豪與保定帝一一見禮。有些加倍恭謹，有些故意的特別傲慢，有些則以武林後輩的身份相見。,段正明以江湖身分：天南段家掌門人與江湖群豪見面。
鍾萬仇道：「老師難得來此，不妨多盤桓幾日，也好令眾位兄弟多多請益。」,段公子這次去到普洱捨下，和兄弟同去無量山遊覽，在下照顧不周，以致生出許多事來。在下也要加求一份情。」,段正明放下「大理段皇爺」身段，好言相求鍾萬仇釋放段譽，群豪按按欽佩，馬五德也出言求情。
南海鱷神突然大聲喝道：「我徒兒的事，誰要你來囉裡囉唆？」,「妙極，妙極！我早就想殺其夫而占其妻，謀其財而居其穀。」群豪盡皆失色。,南海鱷神不認拜段譽為師的事，揚言殺死段譽。刀白鳳要求鍾萬仇放人，雲中鶴出言不遜，調戲甘寶寶，鍾萬仇大怒，預言事後算帳。
無量洞洞主辛雙清道：「江湖上英雄好漢並未死絕，你‘天下四惡’身手再高，終究要難逃公道。」,‘四惡’之首的延慶太子雖為段門中人，我不便親自下手，但他終究有當真‘惡貫滿盈’之日。」,保定帝從群豪與南海鱷神、葉二娘的對話，判斷群豪並非「天下四惡」的幫手，暗中思忖救出段譽後界群豪之手除惡。
刀白鳳聽眾人言語雜亂，將話題岔了開去，霍地站起，說道：「鍾穀主既答允歸還小兒，便請喚他出來，好讓我母子相見。」,「大理段氏今日要大大地出醜，這些小事，我也不來跟你計較。」當即從空缺處走了進去。,鍾萬仇應允釋放段譽，帶一行人來到樹牆之前；段正淳為了立威，命令古篤誠、傅思歸砍斷五株大樹，鍾萬仇為了讓段室門風敗壞的醜聞公諸於世，姑且不為砍樹一事發作。
只見樹牆之後，黃眉僧和青袍客的左手均抵住一根鐵杖，頭頂白氣蒸騰，正在比拼內力。,段正淳上前解開了二人穴道，喝道：「萬里，你們去推開大石，放譽兒出來。」褚萬里等四人齊聲答應，並肩上前。,樹牆之後，黃眉僧與青袍客鬥內力、拚智力，破疑、破嗔為解黃眉僧之危，被青袍客點倒在地。段正淳為二人解開穴道，命令褚萬里四人推開大石，放出段譽。
鍾萬仇喝道：「且慢！你們可知這石屋之中，還有什麼人在內？」,但見大石滾開，露出一道門戶，望進去黑黝黝的，瞧不清屋內情景。,鍾萬仇告訴群俠，段正淳的一雙兒女，在石屋之中亂倫，並命葉二娘、雲中鶴二人推開大石；段正純因此遲疑，與高升泰加以阻擋。鍾萬仇等四人便合力推開大石。
鍾萬仇笑道：「孤男寡女，赤身露體地躲在一間黑屋子裡，還能有什麼好事做出來？哈哈，哈哈，大家瞧明白了！」,罵道：「不要臉！誰叫你跟這小畜生在一起？」鍾靈滿腹含冤，哭了起來，一時哪裡能夠分辯？,石屋打開，段譽赤裸上身，抱著衣衫不整的鍾靈走出，鍾萬仇的表情由得意轉為惱怒。
鍾萬仇忽想：「那木婉清必定還在屋內，我叫她出來，讓她分擔靈兒的羞辱。」,鍾萬仇身在大理，卻無端端地去跟段家作對，那不是自討苦吃嗎？」,鍾萬仇不解木婉清為何憑空消失，將怒氣發在鍾靈身上，作勢毆打；段正淳出手阻攔，並出言相激。
原來這正是華赫艮等三人做下的手腳。華赫艮將鍾靈擒入地道，本意是不令她洩漏了地道秘密，後來聽到鍾萬仇夫婦的對話，三人在地道中低聲商議,段譽迷迷糊糊地接過。華赫艮等三人拉著木婉清進了地道，合上石板，哪裡還有半點蹤跡可尋？,原來是華賀艮等三人，在地道中聽見鍾氏夫婦的對話，為了不讓鍾萬仇詭計得逞，加緊挖掘到石屋下，將鍾靈與木婉清對調，大大開了鍾萬仇一個玩笑。
保定帝見侄兒無恙，想不到事情竟演變成這樣，既感欣慰，又覺好笑，一時也推想不出其中原由,均想：「這人不像人、鬼不像鬼，活屍一般的青袍客，武功竟這等厲害。」,段譽初石屋後，神智一清，立即觀看棋局，伸手抓住延慶太子鐵杖，不讓他在關鍵處落子，不料兩人內力相互干擾，段譽半身痠麻，延慶太子落偏棋位，棋差一著，滿盤皆輸；但延慶太子礙於身分，不肯因此與黃眉僧爭執，於是不發一語離開，青石棋局不堪內力催殘崩裂在地，群豪驚愕。
黃眉僧僥倖勝了這局棋，雙手據膝，怔怔出神，回思适才種種驚險情狀，心情始終難以寧定,保定帝等日前見過他和巴天石繞圈追逐的身手，這時見他雖然抱著鍾靈，仍是一飄一晃的手中輕如無物，也都奈何他不得。,黃眉僧僥倖得勝，心有餘悸。保定帝、段正淳、高升泰對變故大惑不解，但因此役大獲全勝，不再追查細節。段正淳調侃鍾萬仇要迎娶鍾靈為兒媳，雲中鶴突然奪走鍾靈。
段譽靈機一動，叫道：「岳老三，你師父有命，快將這個小姑娘奪下來。」,鍾萬仇狂怒中刀砍女兒，但這時見女兒為惡徒所擒，畢竟父女情深，又想到妻子問起時無法交代，情急之下，也提刀追了下去。,段譽靈機一動，蠱惑南海鱷神岳老三奪回鍾靈；鍾萬仇念及父女情深，也提刀追趕。
保定帝當下和群豪作別，一行離了萬劫穀，徑回大理城，一齊來到鎮南王府。,說道：「這條地道夫人的居室，若不堵死，就怕咱們這裡有一位仁兄，從此天天晚上要去鑽地道。」眾人哈哈大笑。,保定帝一行人回到鎮南王府，設宴慶祝。眾人將此役大勝歸功於黃眉僧與華赫艮。刀白鳳則要求華赫艮將地道堵死，以免段正淳與甘寶寶再度私通。
木婉清隔不多久，便向段譽偷眼瞧去，每當與他目光相接，兩人立即轉頭避開。,廳上眾人俱感尷尬。保定帝微笑道：「既是如此，這事也只好作罷了……」,木婉清於席間，將甘寶寶要求段正淳相救鍾靈的信物，交給父親。段正淳依金盒中，甘寶寶寫在紅紙上的文字與鍾靈的生辰八字，得知她也是自己的親生女兒……
