此段落的最初2-5句話,此段落的最末2-5句話,段落大意
段正淳等恭送御駕後，高升泰告辭，褚萬里等四大護衛不負責在王府守夜,玉虛散人嗤的一笑，斜眼向丈夫瞧去。段正淳笑道：「正該如此！」,段正淳家宴，木婉清竊喜於自己被段家視為一家人。
玉虛散人伸左手去接木婉清手中的酒杯。燭光之下，木婉清見她素手纖纖，晶瑩如玉，手背上近腕處有塊殷紅如血的紅記，,木婉清同時背心一麻，伏在桌上，再也不能動彈。,木婉清看到玉虛散人手上的紅記，知曉她就是刀白鳳，欲殺之。段譽護母中毒箭，木婉清被段正淳拿下。
段正淳應變奇速，飛指而出，連點段譽中箭處周圍八處穴道，使得毒血暫時不能歸心，,殊無半分虛弱跡象，心下喜慰，卻又不禁詫異，回到暖閣來。,段譽因服過「莽牯朱蛤」已百毒不侵，胸口皮肉之傷無礙。
段正淳問道：「不礙吧？」刀白鳳不答，向木婉清道,，回歸途中發覺敵蹤，似是來偷襲鎮南王府，於是重行折回，暗中守禦。,木婉清交代事件始末，似是段正淳過去風流帳所致，刀白鳳離去。
段正淳悄立半晌，歎了口氣，回入暖閣，見木婉清臉色慘白，卻並不逃走。,段正淳道：「好！」站起身來，又道：「你有什麼心願，說給我聽吧！」,段正淳揭露幽谷客的真實身分，原來幽谷客就是修羅刀秦紅棉，她與段正淳是舊識。
木婉清突然滿臉紅暈，臉色頗為忸怩，低下了頭道：「只怕……只怕我射過你夫人，她……她惱了我。」,木婉清又驚恐，又憤怒，臉上已無半分血色，頓足叫道：「我不信！我不信！我……我不要！」,木婉清想請段正純主持她與段譽的婚事，但段正淳不允，且說出段譽、木婉清是兄妹的驚人事實。
突然間窗外幽幽一聲長歎，一個女子聲音說道：「婉兒，咱們回家去吧！」,秦紅棉大喜，伸出右手，等他來握。,秦紅棉、段正淳相見，柔情萬分，秦紅棉要段正淳放棄大理的一切隨她離去，段正淳應允。
背後一個女子的聲音冷冷地道：「師姊，你……你又上他當了。,她腳下絲毫不停，頃刻間沒入了黑暗之中。,「俏藥叉」甘寶寶偕南海鱷神與孫二娘，挾了段譽，段譽知道木婉清是自己的妹妹，不能再踰矩，婚事自然作罷。木婉清傷心之餘，縱身離去。
段正淳見兒子為南海鱷神所擄，顧不得女兒到了何處，伸指便向南海鱷神點去。,段正淳乍與兩個舊情人重聚，而妻子又湊巧不在，真是得其所哉之至，挾著二女回入暖閣，命廚子、侍婢重開筵席，再整杯盤,段譽被南海鱷神、孫二娘擄走，段正淳與甘寶寶、秦紅棉交手，用一陽指制伏兩人，帶入暖閣敘舊。
待眾人退下，段正淳點了二女腿上「環跳」、「曲泉」兩穴，使她們無法走動，然後笑吟吟地拍開二女腰間「章門穴」。,秦紅棉道：「不錯，不錯！我再也不信你的鬼話。」這句話卻是對著段正淳說的。,段正淳輕薄秦紅棉，芹紅棉仍有情誼，嬌羞不已。
