此段落的最初2-5句話,此段落的最末2-5句話,段落大意
段譽將木婉清摟在懷裡，又歡喜，又關心，,想到自己與木婉清言行親密，都給他瞧見聽見了，不禁面紅過耳。,逃脫混戰以後，段譽跟蹤左子穆，找到木婉清，兩人親密對話，互訴情意。朱丹臣交代來處，且也將段譽和木婉清親密的言行都看在眼裡，段譽覺得不好意思。
朱丹臣道：「适才我坐在岩石之後，誦讀王昌齡詩集，,卻偏要冒充文士，酸溜溜的積習難除，姑娘莫怪。」,朱丹臣故意岔開話題讓段譽有台階下，段譽也有意會到。木婉清領會不到朱丹臣的好意，誤會了，之後又在朱丹臣的進退得宜中解除誤會，朱丹臣請段譽和木婉清一起回家，卻又因為說話的習慣被木婉清誤會。
段譽不願就此回家，但既給朱丹臣找到了，料想不回去也是不行，,低聲道：「馬蹄聲一響，你朱四哥便知道了。」段譽低聲笑道：「多虧你想得周到。」,段譽假裝配合朱丹臣回家，三人投訴客棧，夜晚，段譽找木婉清一起偷跑。
只見前面柳蔭下系著三匹馬，一人坐在石上，手中拿著一卷書，正自搖頭晃腦地吟哦，卻不是朱丹臣是誰？,不久上了大路，行到午牌時分，三人在道旁一家小店中吃面。,兩人以為逃脫成功，但其實朱丹臣知道二人逃跑，早一步在前處等著，又引魏徵《述懷》來提醒段譽。一番周折，三人總算踏上返回大理之路。
忽然人影一閃，門外走進個又高又瘦的人來，一坐下，便伸掌在桌上一拍，叫道：「打兩角酒，切兩斤熟牛肉，快，快！」,朱丹臣大叫：「竹篙子逃走啦，快追，這一次可不能再讓他溜掉！」奔到門外，翻身上馬，追趕段譽去了。,麵店與雲中鶴狹路相逢，朱丹臣斷後，周旋數回後知自己武功不敵，用計逃脫，趕忙策馬追趕先行而去的段譽與木婉清。
段譽和木婉清馳出數裡，便收韁緩行，過不多時，聽得馬蹄聲響，朱丹臣騎馬追來。,段譽道：「你聽我的話便不錯。」拉韁撥過馬頭，向綠柳叢中馳去。,雲中鶴識破朱丹臣之技，追上三人，在馬匹已疲，無法逃脫的狀況下，朱丹臣欲一己斷後，木婉清想裝死偷襲，危急之時，段譽心生一計。
奔到近處，木婉清見那黃牆原來是所寺觀，匾額上寫的似乎是「玉虛觀」三字，,兒子這幾日連遇兇險，很受惡人的欺侮，虧得木姑娘幾次救了兒子性命。」,玉虛觀的美道姑和段譽狀甚親暱，木婉清醋勁大發，轉而用毒箭攻擊道姑，道姑看到毒箭，怒問木婉清與秦紅棉的關係，段譽出聲喊媽，緊繃的氣氛才稍稍和緩。
忽聽得柳樹叢外有人大叫：「玉虛散人！千萬小心了，這是四大惡人之一！」,短箭釘上了柳樹，雲中鶴卻已不知所蹤。跟著噹啷啷一聲響，拂塵和鋼抓同時落地。,朱丹臣趕到，與玉虛散人、木婉清聯手擊退雲中鶴。
朱丹臣躬身向玉虛散人拜倒，恭恭敬敬行禮，說道：,以致他母親著惱出家。」登時對她大生同情，說道：「玉虛散人，我幫你禦敵。」,在朱丹臣、段譽和玉虛散人的對話中，得知玉虛散人與大理皇宮似有一段糾葛的過去，因此獨自出家在外，木婉清出聲要幫玉虛散人。
玉虛散人細細打量她相貌，突然厲聲道：「你給我說實話，到底‘修羅刀’秦紅棉是你什麼人？」,。這‘幽谷客’前輩，想必是位隱逸山林的高士。」這幾句話，便是說從來沒聽見過「幽谷客」的名字。,玉虛散人又質問木婉清與秦紅棉的關係，木婉清自陳師承自「幽谷客」，但沒人知曉他的來歷。
說話之間，忽聽得柳林外馬蹄聲響，遠處有人呼叫：「四弟，公子爺無恙麼？」,娘兒倆一齊走出柳林，木婉清也跟著出去。褚萬里等將坐騎系上柳樹，跟隨在後。,四大家臣趕至，原來玉虛散人的身分是大理王妃。眾人一起走出探望高侯爺的傷勢。
