此段落的最初2-5句話,此段落的最末2-5句話,段落大意
鎮南王府內堂之中，善闡侯高升泰還報，鍾萬仇夫婦及秦紅棉已離府遠去。,保定帝更為人慈和，只消不是在朝廷廟堂之間，一向不喜拘禮，因此段正淳夫婦與高升泰三人便入座下首相陪。,鎮南王世子段譽遭人脅持至萬劫谷，鎮南王妃刀白鳳掛念愛子，急問保定帝段正明萬劫谷所在；保定帝氣定神閒，命人設席共飲。
飲食之間，保定帝絕口不提适才事情。刀白鳳雙眉深蹙，食而不知其味。,出得鎮南王府，見褚古傅朱四大護衛已牽了馬匹在門外侍候，另有數十名從人捧了保定帝等的兵刃站在其後。,黎明時分，司空巴天石探得萬劫谷所在，回到鎮南王府，保定帝先命其飲食。食畢，由巴天石引路，保定帝率眾赴萬劫谷。
段氏祖先是涼州人氏，以中原武林世家在大理得國，數百年來不失祖宗遺風。,四名漢子提著大斧搶上，片刻間便將那株數人合抱的大樹砍倒了。,保定帝段正明穿常服御駕親征，赴萬劫谷營救侄兒段譽。隨從抵達萬劫谷，鋸樹拆屋，毀壞谷門。
褚、古、傅、朱四大護衛當先而行，其後是巴天石與高升泰，又其後是鎮南王夫婦，保定帝走在最後。,倘若巴天石追到了雲中鶴背後，這場輕功比試自然是他勝了，但雲中鶴猛地發勁，又將巴天石拋落數丈。,巴天石持段正明、段正淳明帖拜會，雲中鶴現身挑釁。
只聽得呀的一聲，正屋大門打開，鍾萬仇走了出來。巴天石足下不停，暗運內勁，右手送出，名帖平平向鍾萬仇飛了過去。,喝道：「且慢動手！」斜身欺近，拔出長劍，要格開兩人兵刃。,萬劫谷谷主鍾萬仇與秦紅棉隨即亦現身。刀白鳳、秦紅棉皆與段正淳有感情糾葛，愛恨情仇交織，兩女展開生死搏鬥，段正淳極力勸阻。
鍾萬仇一見到段正淳便滿肚子怒火，嗆啷啷大環刀出手，向他迎頭砍去。,秦紅棉叫道：「看刀！」刀白鳳叫道：「打他！」這一次二女卻是聯手向段正淳進攻。,鍾萬仇出手攻擊段正淳，打鬥之中，段正淳時而維護刀白鳳，秦紅棉妒恨，四人糾纏不清。
保定帝見兄弟跟兩個女人糾纏不清，搖頭暗笑，向褚萬里道：「你們進去搜搜！」,古篤誠起初這一驚著實厲害，略一定神，大聲呼喝，揮起板斧，便往她薄刀上砍去。,段正明趁雙方惡鬥，命褚萬里、古篤誠、傅思歸、朱丹臣等四人進屋搜尋段譽下落。
葉二娘的薄刀不住旋轉，不敢和板斧這等沉重的兵刃相碰。古篤誠使出七十二路亂披風斧法，雙斧直上直下地砍去。,保定帝眼看戰局，己方各人均無危險，對高升泰道：「你在這兒掠陣。」,萬劫谷中，「無惡不作」葉二娘、「窮凶惡極」雲中鶴、「南海神鱷」岳老三現身迎敵，雙方人馬大打出手、互相叫囂，保定帝命高升泰掠陣待命。
保定帝走進屋中，叫道：「譽兒，你在這裡麼？」不聽有人回答。,段譽既在此穀中，總不難尋到，於是從屋中回出，要另行覓人帶路。,保定帝單獨一人再進屋尋找段譽，巧遇鍾萬仇的女兒鍾靈。鍾靈告訴保定帝段譽被關進石屋。保定帝決定不為難鍾靈，另外找人帶路。
段譽和木婉清在石屋之中，聽說門外那青袍客竟是天下第一惡人「惡貫滿盈」，大驚之下，撲向對方，摟在一起。,說道：「你兄妹二人快些成其好事，早一日生下孩兒，早一日得脫牢籠。我去也！」說罷，越過樹牆而去。,段譽、木婉清受困在石屋中，身中天下第一惡人「惡貫滿盈」所施「陰陽和合散」春藥之毒。青袍客「惡貫滿盈」意欲讓段譽、木婉清兄妹亂倫，敗壞段氏門風。
段譽大叫：「岳老三，嶽老二！你師父有難，快快前來相救。」,正不知如何是好，聽得有人進來，出去一看，便遇到了保定帝。,段譽呼喊徒弟「南海鱷神」岳老三搭救，無人回應。其後鍾靈於石屋外承諾尋找解藥來救段、木二人。恰巧保定帝一干人等，攻進萬劫谷，鍾靈於是遇見保定帝。
保定帝想尋人帶路，一時卻不見有人，忽聽得身後腳步聲響，回頭見是鍾靈奔來，當即停步等候。,說道：「小姑娘，多謝你帶路，日後當有報答。」循著原路，來到正屋之前。,鍾靈找不到解藥，回頭找保定帝要一同到石屋推開大石，救出段、木二人，但見青袍客守在石屋前。青袍客與保定帝相鬥起來，並以對譽性命要脅保定王歸還王位。雙方僵持不下，其後保定帝先行離開，將另尋他法解救段譽。
只見褚萬里和傅思歸雙戰南海鱷神，仍然勝敗難分。朱丹臣和古篤誠那一對卻給葉二娘的方刀逼得漸漸支援不住。,回過頭來，見妻子正冷冷第瞧著自己，心頭一凜，當即加快腳步，出穀而去。,段正明率領眾人離開萬劫谷，段正淳因聽聞甘寶寶誓言不再相見，心中黯然。
一行人回到大理。保定帝道：「大夥到宮中商議。」,只當他是天下四大惡人之首，人人得而誅之。他武功雖高，終究好漢敵不過人多。」,保定帝依青袍客身負段氏家傳武功一陽指，推論其真實身分為大理國延慶太子。
原來十多年前的上德五年，大理國上德帝段廉義在位，朝中忽生大變，上德帝為奸臣楊義貞所弑,眾人齊聲接旨，躬身告退。巴天石去向翰林學士宣詔，草制冊封。,保定帝有意歸還皇位給延慶太子，以保段譽平安，眾人勸其打消念頭；其後，保定帝冊封鎮南王為皇太帝，作為皇嗣，欲打消延慶太子奪位的念頭。
保定帝用過禦膳，小睡片刻，醒來時隱隱聽得宮外鼓樂聲喧，爆竹連天。,保定帝心下暗祝：「但願我大理眾百姓世世代代，皆能如此歡樂。」,保定帝冊封鎮南王為皇太弟後，就穿便裝出宮，見百姓歡騰，暗祝百姓世代歡樂。
他出城後快步前行，行得二十餘裡後上山，越走越荒僻，轉過四個山坳，來到一座小小古廟前,「宮中用度，儘量裁減撙節。你去跟華司徒、范司馬二人商議，瞧政費國用有什麼可省的。」巴天石答應了。,保定帝赴「拈花寺」尋黃眉和尚，商討如何援救段譽。其後，保定帝承諾履行廢除鹽稅，欲以德政積福，換取段譽平安歸來。
巴天石辭出宮後，即去約了司徒華赫艮，一齊來到司馬範驊府中，告以廢除鹽稅。,華司徒紫膛色的臉上微微一紅，笑道：「二弟又來取笑了。」,司空巴天石奉保定帝之命，與司徒華赫艮、司馬范驊商議廢除鹽稅事宜。三人身為臣子，為替君王分憂，商談營救段譽的計策。
這華司徒華赫艮本名阿根，出身貧賤，現今大理國位列三公，未發跡時，幹的卻是盜墓掘墳的勾當,至於如何避人耳目，如何運出地道中所挖的泥土等等，原是他的無雙絕技。華赫艮又去傳了一批昔日熟手的下屬前來相助。,華司徒提議重拾盜墓掘墳的本領，進入萬劫谷，挖通地道通往石室，救出鎮南王世子段譽。巴司空、范司馬認為此計可行，隨即著手進行。
這一日一晚之間，段譽每覺炎熱煩躁，便展開「淩波微步」身法，在斗室中快步行走,顯是段正明邀來的幫手。這和尚跟我纏上了，段正明便乘虛而入去救段譽，我可沒法分身抵擋。」,黃眉和尚赴石屋教段譽，邀青袍客對弈下棋。兩人各自以金剛指與一陽指，合力在青石上刻劃出棋盤。
黃眉僧道：「段施主功力高深，佩服、佩服，棋力想必也勝老僧十倍，老僧要請施主饒上四子。」,不料延慶太子既不讓人佔便宜，也不占人便宜，一絲不苟，嚴謹之極。,黃眉僧沒有勝局保握，故要求青袍客讓子，不料青袍客延慶太子堅持平下，一絲不苟，十分嚴謹。
黃眉僧道：「好，你是主人，我是客人，我先下了。」,黃眉僧笑道：「老僧今年六十九歲，到得七十歲時，我的足趾是奇數。」,黃眉僧與青袍客爭先下子，黃眉僧出詭計，不惜斬下自己的腳趾，取得先下子的機會
青袍客道：「不錯。大師先下。」他號稱「天下第一惡人」，什麼兇殘毒辣的事沒幹過見過，於斬下一個小腳趾的事哪會放在心上？,青袍客道：「無恥，無恥！」凝思片刻，在「去位」捺了個凹洞。,青袍客、黃眉僧陷入棋局酣戰，段譽從小擅長下棋，從石屋中出言獻計，青袍客怒罵無恥。
兵交數合，黃眉僧又遇險著。破嗔和尚看得心急，段譽卻又不做一聲,到得黃眉僧下了第六步棋，青袍客出神半晌，突然在「入位」下了一子。,段譽為避免棋招被青袍客聽見，在黃眉僧的二弟子破嗔手上，寫下七步棋，再由破嗔傳寫在黃眉僧背上。黃眉僧依順序下了六子後，青袍客突出奇招，出乎段譽意料之外。
這一子奇峰突起，與段譽所設想的毫不相關，黃眉僧一愕,兩人各挺左手比拼內力，固絲毫鬆懈不得，而右手下棋，步步緊逼，亦著著針鋒相對。,段譽再想六步棋，應付青袍客的「不應之應」奇招。青袍客因此怒擊傳遞棋招的破嗔，黃眉僧出手相護，兩人左手比內力，右手拚棋力，步步緊逼，針鋒相對。
黃眉僧五年前為大理通國百姓請命，求保定帝免了鹽稅，保定帝直到此時方允，雙方心照不宣，那是務必為他救出段譽。,古人言道：「哀兵必勝」，黃眉僧這時哀則哀矣，「必勝」卻不見得。,黃眉僧為酬謝保定帝兌現免除鹽稅的承諾，前來營救段譽，下定決心全力以赴，甚至願意不惜一死以報知己。
大理國三公司徒華赫艮、司馬范驊、司空巴天石，率領三十多名力大手巧的下屬，帶了木材、鐵鏟、孔明燈等物，進入萬劫谷後森林,華赫艮低聲道：「木姑娘別叫，是朋友，救你們來啦！」踴身從洞中跳了上去。,大理國三公率領三十名手下，進萬劫谷挖掘地道，第二天申時挖抵目的地，一名女子撞見，驚聲尖叫。
放眼看時，這一驚大是不小。這哪裡是囚人的石屋了？但見窗明几淨，櫥中、架上，到處放滿了瓶瓶罐罐,不等我掘到石屋，這地道便讓人發現了。只有暫且將她帶入地道，旁人尋她，定會到穀外去找。」,華赫艮計算有錯誤，誤挖進鍾萬仇夫婦臥房，受到驚嚇尖叫的女子，是潛入父母臥房尋找解藥的鍾靈。
便在此時，忽聽得房外腳步聲響，有人走近。華赫艮向鍾靈搖了搖手，示意不可聲張,說著走到藥架邊去整理藥瓶，一足踏在那塊切割下來的方板之上。華赫艮忙使勁托住，防他發覺。,華赫艮拉著鍾靈躲進地道，鍾萬仇與甘寶寶夫婦進入臥房。甘寶寶指責丈夫陷害段譽與木婉青兄妹亂倫的手段卑鄙無恥，揚言自己也做些卑鄙無恥的事來，鍾萬仇心驚意亂。
鍾夫人道：「靈兒呢？她到哪裡去了？你剛才又何必帶她到大廳上去見客？」,「她要做什麼卑鄙無恥之事給我瞧瞧？她說‘哪一天連我也瞧得厭了’，那麼現下對我還沒瞧厭，大事倒還不妨。就只怕段正淳這狗賊……」,鍾靈與華赫艮等三人躲入地道內，聽見父母的對話，心中感到痛苦。
