此段落最初的2-5句話,此段落最末的2-5句話,段落大意
巴天石、朱丹臣等次晨起身，不見了段譽，到王語嫣房門口叫了幾聲,鎮南王千叮萬囑，務必要小王子將公主娶了回去，咱兄弟倆有虧職守，實在無面目去見王爺了。」,巴天石與朱丹臣找不到段譽和王語嫣，告知蕭峯和虛竹，傍晚時西夏主事前來告知設宴，巴朱兩人發愁。
竹劍突然抿嘴一笑，說道：「巴老爺，小婢子說一句話成不成？」,木姑娘生氣，決不是為了巴兄這幾句話，那是另有原因的。唉，一言難盡！」,竹箭提出要木婉清假冒段譽赴宴，但她想到段譽和王語嫣在一起感到悲憤，難以自控。
次日眾人又分頭去尋訪段譽，但見街市之上，服飾錦繡的少年子弟穿插來去,眾人見她學得甚像，都哈哈大笑。,次日繼續尋找段譽，還是沒找到，傍晚聊天時木婉清竟扮成書生模樣出現。
原來木婉清發了一陣脾氣，回到房中哭了一場，左思右想，覺得得罪了這許多人，很是過意不去,笑道：「出到拳腳去好言相勸，人家自須聽從了。」,原來木婉清想了很久，覺得此事倒也好玩，便答應，但幾人擔心慕容復，蕭峯說慕容復也不在，眾人放心。
當下木婉清、蕭峰、虛竹、巴天石、朱丹臣五人來到皇宮門外。,我們相貌如何，他顯然一個也沒看清，這女婿卻又如何挑法？」,皇宮內有很多赴宴的少年，其中以吐番國王子及大理國王子身分最尊，西夏皇上和大家舉杯作樣一下，便離開了，眾人愕然。
那禮部尚書道：「諸君請坐，請隨意飲酒用菜。」,段延慶、南海鱷神、雲中鶴等也算是一品堂的人物，他們自有打算，不受西夏朝廷的譏糜。,禮部尚書招待各位飲酒用菜，吐蕃王子挑起爭鬥，一品堂總管出現阻止，是赫連鐵樹。
赫連鐵樹朗聲說道：「公主娘娘有諭，請諸位嘉賓用過酒飯之後，齊赴青鳳閣外書房用茶。」,忙問：「你沒受傷麼？我瞧你臉色不大好。」,眾人要移至青鳳閣外書房用茶，路上由赫連引路，經過假山時木婉清發現身旁多了一人，竟是段譽，急忙關心他。
原來當時段譽在井底給鳩摩智扼住咽喉，呼吸難通，漸欲暈去。,過不多時，段譽、王語嫣與鳩摩智三人一齊暈去。,在枯井中，王語嫣咬鳩摩智右臂，鳩摩智得到宣洩，但發覺其內力被段譽吸收，連王語嫣的內力也被吸收，三人一起暈了過去。
慕容複隔了半晌，聽下麵三人皆無聲息，叫了幾聲，不聞回答，心想：,自此之後，這口枯井之旁，終年香煙不斷。,慕容復以為三人死了，發現他一人無法離開，心下沮喪，忽聽到上面有說話聲，使計讓農人將石頭搬開，一上去便不知去向，這口井便有了各種傳說。
直到午牌時分，井底三人才先後醒轉。,經律論三藏俱散失湮沒，在西藏卻仍保全甚多，其間鳩摩智實有大功。,王語嫣第一個醒，以為段譽死了十分傷心，但他其實是假裝的，被發現後很緊張怕王語嫣生氣。鳩摩智經過此次終於大徹大悟，成為一代高僧。
