此段落最初的2-5句話,此段落最末的2-5句話,段落大意
車行轔轔，日夜不停。玄難、鄧百川、康廣陵等均是當世武林大豪，這時武功全失，成為隨人擺佈的囚徒。 , 丁春秋拆開看了，冷笑道：「很好，很好。你還沒死心，要再決生死，自當奉陪。」便做了個手勢。,玄難、鄧百川、康廣陵等人被丁春秋帶上山，在涼亭，有青年漢子遞信給丁春秋。 
 那青年漢子從懷中取出一個炮仗，打火點燃。砰的一聲，炮仗躥上天空。, 丁春秋大袖飄飄，率先而行。他奔行並不急遽，但在這陡峭的山道上宛如禦風飄浮，足不點地，頃刻間便沒入了前面竹林。, 青年漢子取出炮仗施放，馮阿三認出那是他們門下的產物。之後用附有繩網的竹子扛他們上去。
 鄧百川等中了他化功大法的劇毒，一直心中憤懣，均覺誤為妖邪所傷，非戰之罪，,, 包大同調侃星宿派愛吹捧又厚臉皮，結果他們聽了卻點點頭，包不同就趁機跟他一搭一唱起來，心裡卻是看他們笑話。
說話之間，一行人已進了一個山谷。谷中都是松樹，山風過去，松聲若濤。, 突然之間，康廣陵、範百齡等函谷八友，一個個從繩網中掙扎下地，走到離那青石棋盤丈許之處，一齊跪下。, 一行人進入滿是松樹的山谷，見到段譽和一個老人在下棋，函谷八友走到石棋盤附近，一起跪下。
 包不同吃了一驚，說道：「搗什麼鬼？」四字一說出口，立即省悟，, 「此人雜務過多，書畫琴棋，無所不好，難怪武功要不及師弟。」, 原來眼前瘦小的老人正是聰辯先生，他正專心下棋，聽到少林寺玄難來，特別起身打招呼，隨後又回去下棋。
 萬籟無聲之中，段譽忽道：「好，便如此下！」說著將一枚白子下在棋盤之上。, 他跪在地下看不清楚，便即抬起膝蓋，伸長了脖子，想看個明白。, 聰辯先生贏了段譽，卻對他的棋藝給予肯定。段譽研究著如何破解「珍瓏」。
 蘇星河道：「你們大夥都起來！百齡，這個‘珍瓏’牽涉重大，你過來好好地瞧上一瞧，倘能破解得開，那是一件大大妙事。」, 但要殺卻旁邊一塊黑棋，牽涉卻又極多，再算得幾下，突然眼前一團漆黑，喉頭一甜，噴出一大口鮮血。,範百齡精研圍棋數十年，看著珍瓏想研究，發現牽涉很多 ，想著想著就吐血了。
 蘇星河冷冷地看著他，說道：「這局棋本來極難，你天資有限，雖棋力不弱，卻也多半解不開，, 丁春秋道：「妙極！你自毀誓言，是自己要尋死，須怪我不得。」,範百齡雖吐血還是堅持要繼續思考棋局。丁春秋在旁邊和蘇星河對話，對話中充滿火藥味。 
蘇星河走到大樹邊，提起樹旁一塊大石，放在玄難身畔，說道：「大師請坐。」, ，以致讓丁春秋橫行無忌，無人能加禁制，當真可歎。」, 蘇星河向玄難大師說明此珍瓏的來歷，玄難只覺得他們師徒都沒把心思放在練武，感到可惜。
 只聽蘇星河道：「我這個師弟，」說著向丁春秋一指，說道：「當年背叛師門，, 嗤嗤嗤三聲，三枚棋子彈出，打中了他胸口穴道，這才止了他噴血。, 蘇星河說丁春秋背叛師門，本來他想要一死殉師，但是為了這個棋局他才口延殘喘的活下來。
