此段落最初的2-5句話,此段落最末的2-5句話,段落大意
當下兩人折而向南，從山嶺間繞過雁門關，來到一個小鎮，找了一家客店。阿朱不等喬峰開口，便命店小二打二十斤酒來。,阿朱道：「你身材魁梧，一站出去就引得人人注目，最好改裝成一個形貌尋常、身上沒絲毫特異之處的江湖豪士。這種人在道上一天能撞見幾百個，那就誰也不會來向你多瞧一眼。」喬峰拍腿道：「妙極，妙極！喝完了酒，咱們便來改扮吧。」,阿朱對喬峰說，他們太顯眼，容易被發現行蹤，建議易容改裝後再上路。
他二十斤酒一喝完，阿朱當即動手。麵粉、漿糊、棕膠、墨水，各種各樣物事一湊合，喬峰臉容上許多特異之處一一隱沒。阿朱再在他上唇加了淡淡一撇鬍子，喬峰一照鏡子，連自己也不認得了。阿朱跟著自己改裝，扮成個中年漢子。,阿朱笑道：「你外貌是全變了，但一說話，一喝酒，人家便知道是你。」喬峰點頭道：「嗯，話要少說，酒須少喝。」,阿朱將喬峰改裝成一個普通的江湖豪士，她自己則改裝成一個中年漢子。
這一日來到晉南三甲鎮，兩人正在一家小面店中吃面，忽聽得門外兩個乞丐交談。一個道：「徐長老可死得真慘，前胸後背，肋骨盡斷，一定又是喬峰那惡賊下的毒手。」喬峰一驚，心道：「徐長老死了？」和阿朱對望了一眼。,喬峰和阿朱吃完面後離了三甲鎮，到得郊外。喬峰道：「咱們該去衛輝瞧瞧，說不定能見到什麼端倪。」阿朱道：「是啊，衛輝是定要去的。但去弔祭徐長老的人，大都是你舊部，你的言語舉止之中，可別露出馬腳來。」喬峰點頭道：「我理會得。」兩人折而東行，往衛輝而去。,喬峰和阿朱在路上聽說徐長老被人殺死了，而殺手就是喬峰本人。
第三天來到衛輝，進得城來，滿街滿巷都是丐幫子弟。有的在酒樓中據案大嚼，有的在小巷中宰豬屠狗，更有的隨街乞討，強索硬要。喬峰心中難受，眼見號稱江湖第一大幫的丐幫幫規廢弛，無複自己主掌幫務時的森嚴興旺氣象，如此過不多時，勢將為世人所輕。雖說丐幫與他已無干係，然自己多年心血廢於一旦，總覺可惜。,有幾個武功較高的七袋弟子悄悄議論，說喬峰既已打斷了徐長老前胸肋骨，擊碎了五臟，何以又再斷他後背肋骨？下手太過毒辣，亦不合情理。喬峰生怕給人瞧出破綻，當即辭出，和阿朱並肩而行，尋思：「徐長老既死，世上知道帶頭大哥之人便少了一個。」,喬峰看到城裡的丐幫兄弟們態度惡劣、不守丐幫幫規，江湖第一大幫將會被世人看不起，覺得不勝唏噓。
忽然間小巷盡頭處人影一閃，是個身形高大的女子。喬峰眼快，認出正是譚婆，心道：「妙極，她定是為祭奠徐長老而來，我正要找她。」跟著又一人閃過，也是輕功極佳，卻是趙錢孫。,趙錢孫盡揀隱僻處而行，東邊牆角下一躲，西首屋簷下一縮，舉止詭秘，出了東門。喬峰遠遠跟隨，始終沒給他發現，遙見他奔到浚河之旁，彎身鑽入了一艘大木船中。喬峰提氣疾行，幾個起落，趕到船旁，輕輕躍上船篷，耳朵貼到蓬上傾聽。,喬峰和阿朱在小巷裡看到譚婆和趙錢孫兩人先後悄悄出現，覺得有蹊蹺，於是讓阿朱先回客店等喬峰。喬峰悄悄跟蹤他們兩個，來到一艘船上。
船艙之中，譚婆長長歎了口氣，說道：「師哥，你我都這大把年紀了，年輕時的事情，悔之已晚，再提舊事，更有何用？」趙錢孫道：「我這一生是毀了。後悔也已來不及啦。我約你出來非為別事，小娟，只求你再唱一唱從前那幾首歌兒。」譚婆道：「唉，你這人真癡得可笑。我當家的來到衛輝又見到你，已十分不快。他為人多疑，你還是少惹我的好。」,船艙中施展不開手腳，喬峰卻大有大鬥，小有小打，擒拿手和短打功夫，在不到一丈見方的船艙中使得靈動之極。鬥到第七回合，趙錢孫腰間中指，譚婆一驚，出手稍慢，背心立即中掌，委頓軟倒。,譚婆和趙錢孫是師兄妹關係，兩人在船上敘舊。
喬峰冷冷地道：「你二位且在這裡歇歇，衛輝城內廢園之中，有不少英雄好漢，正在徐老長靈前拜祭，我去請他們來評評這個道理。」,這次為了掩護恩人，不惜一死，自己決不能壞他義舉，便道：「喬幫主，今日之事，行善在你，行惡也在你。我師兄妹倆問心無愧，天日可表。你想要知道的事，恕我不能奉告。真正對不住！」她這幾句話雖說得客氣，但言辭決絕，無論如何是不肯吐露的了。,喬峰威脅趙錢孫和譚婆二人，若不誠實告知誰是帶頭大哥，就將他們兩個私下見面的事情告知江湖英雄好漢。趙錢孫不肯出賣對他有恩的帶頭大哥，譚婆在趙錢孫的請求之下，也堅決不說。
喬峰心知再逼也已無用，哼了一聲，從譚婆頭上拔下一根玉釵，躍出船艙，徑回衛輝城中，打聽譚公落腳的所在。他易容改裝，無人識得。譚公、譚婆夫婦住在衛輝城內的「如歸客店」，也不是隱秘之事，一問便知。,譚公凜然道：「譚某坐得穩，立得正，生平不做半件對不起朋友之事，怎說得上‘聲名掃地，貽羞天下’？」喬峰森然道：「譚婆可未必坐得穩，立得正，趙錢孫可未必不做一兩件對不起朋友之事。」,喬峰拿了一支譚婆的金釵去找譚公，告知他說譚婆被喬峰擒住了，但譚公頓時也沒發現眼前喬裝過的人就是喬峰。
喬峰手一松，將他放落地，轉身走出。譚公一言不發地跟隨其後，兩人一前一後地出了衛輝城。路上不少江湖好漢識得譚公，恭恭敬敬地讓路行禮。譚公只哼的一聲，便走了過去。不多時，兩人已到了那艘大木船旁。,喬峰見到這等慘狀，心下也自惻然，頗為抱憾，譚氏夫婦和趙錢孫雖非他親手所殺，但終究是因他而死。若要毀屍滅跡，只須伸足一頓，在船板上踩出一洞，那船自會沉入江底。尋思：「我掩藏三具屍體，反顯得做賊心虛，然譚氏伉儷和趙錢孫的名聲卻不可敗壞。」還是在船底踩出一洞，出了船艙，回上岸去，想在岸邊尋找足跡線索，卻全無蹤跡可尋。,喬峰和譚公回到船上找譚婆和趙錢孫，發現兩人已經死了。兩人胸口的掌痕看起來就像是喬峰下的手，這喬峰感到非常詫異。
他匆匆回到客店。阿朱一直在門口張望，見他無恙歸來，極是歡喜，但見他神色不定，情知追蹤趙錢孫和譚婆無甚結果，低聲問道：「怎麼樣？」喬峰道：「都死了！」阿朱微微一驚，道：「譚婆和趙錢孫？」喬峰道：「還有譚公，一共三個。」,喬峰目光中流露出一絲憐惜之色，道：「阿朱，這幾天累得你苦了。」阿朱大聲叫道：「店家，店家，快結帳。」喬峰奇道：「明早結帳不遲。」阿朱道：「不，今晚連夜趕路，別讓敵人步步爭先。」喬峰心中感激，點了點頭。,喬峰回到客店，告訴阿朱說譚公、譚婆、趙錢孫三人都死了，知道帶頭大哥的人就只剩下三個人了。
