此段落的最初2-5句話,此段落的最末2-5句話,段落大意
青光閃動，一柄青鋼劍倏地刺出，指向中年漢子左肩，,那龔姓中年漢子與褚姓少年相鬥，已是本次比劍中的第四場，姓龔的漢子既勝，東宗四賽三勝，第五場便不用比了。,大理國無量山無量劍派的練武廳中，舉辦了五年一次的比武鬥劍大會，由無量劍的東、北、西三宗互相比試。此次是第九次大會。
西首錦凳上所坐的則是別派人士，其中有的是東西二宗掌門人共同出面邀請的公證人，其餘則是前來觀禮的嘉賓。,左子穆聽他說話越來越狂妄，不禁氣塞胸臆，向馬五德道：「馬五哥，這位段兄是你的好朋友麼？」,無量劍比試大會上，段譽失言取笑了龔光傑，引來大家注意。
馬五德和段譽也是初交，全不知對方底細，他生性隨和，段譽要一同來無量山，他不便拒卻，便帶著來了。,段譽將頭略側，待欲閃避，對方手掌早已打過縮回，一張俊秀雪白的臉頰登時腫了起來，五個指印甚是清晰。,龔光傑因受譏笑挑戰段譽，發現段譽不擅武功，更是看他不起。
這一來眾人都吃了一驚，眼見段譽漫不在乎，滿嘴胡說八道，料想必是身負絕藝。哪知龔光傑隨手一掌，他竟不能避開，看來當真是全然不會武功。,這兩下變故古怪之極，眾人正驚奇間，忽聽得頭頂有人噗哧一笑。眾人抬起頭來，只見一個少女坐在梁上，雙手抓的都是蛇。,左子穆一名弟子想要教訓段譽，沒想到空中飛來一條毒蛇阻擋。
那少女約莫十六七歲年紀，一身青衫，圓臉大眼，笑靨如花，顯得甚為活潑，手中握著十來條尺許長小蛇。,梁上少女叫道：「喂，喂！長鬍子老頭，你幹嗎弄死了我兩條蛇兒，我可要跟你不客氣了。」,樑上少女見到段譽受辱，便丟出兩條蛇來鬧場。左子穆斬斷兩條蛇。
左子穆怒道：「你是誰家女娃娃，到這兒來幹什麼？」,左子穆以一派宗師，終不能當著許多武林好手、門人弟子之前，跟一個小女孩鬧著玩，便向辛雙清道：「辛師妹，請你派一名女弟子上去抓她下來吧。」,少女在樑上與左子穆僵持不下，左子穆請求辛雙清派女弟子上樑抓那少女。
辛雙清道：「西宗門下，沒這麼好的輕功。」,練武廳上有不少女子，龔光傑這條襯褲是無論如何不肯脫的，雙足亂跳，雙手在自己小腹、屁股上拍了一陣，大叫一聲，跌跌撞撞地往外直奔。,少女更拿出一隻小貂來鬧場，貂而反應極快，鑽入龔光傑褲襠之中。
他剛奔到廳門，忽然門外搶進一個人來，砰的一聲，兩人撞了個滿懷。這一出一入，勢道都是奇急，龔光傑踉蹌後退，門外進來那人卻仰天一跤，摔倒在地。,衣衫解開，只見他胸口赫然寫著八個黑字：「神農幫誅滅無量劍」。眾人不約而同地大聲驚呼。,混亂之餘，容子矩闖進來，胸口被毒蝕著：「神農幫誅滅無量劍」八個黑字。
這八個黑字深入肌理，既非墨筆書寫，也不是用尖利之物刻劃而致，竟是以劇毒的藥物寫就，腐蝕之下，深陷肌膚。,段譽正要相告，忽聽得腳步聲響，幹光豪、龔光傑兩人奔進大廳。,少女把段譽也拉上衡樑，觀察大廳內的狀況。
這時龔光傑已穿回長褲，上身卻仍光著膀子。兩人神色間頗顯驚惶，走到左子穆跟前。干光豪道：「師父，神農幫在對面山上聚集，把守了山道，說道誰也不許下山。咱們見敵方人多，不得師父號令，沒敢隨便動手。」,只見龔光傑臉上肌肉不住抽搐，拿信的一隻手掌霎時間便成深黑，雙足挺了幾下，便即死去。,神農幫用箭射來一封信，信上有毒，讀信的龔光傑中毒而死。
