此段落最初的2-5句話,此段落最末的2-5句話,段落大意
蕭峯行出十餘裡，見路畔有座小廟，進去在殿上倚壁小睡了兩個多時辰,酒保又向蕭峰斜睨了一眼，見他始終不加理睬，不覺暗暗好笑。,蕭峯到酒店吃肉喝酒，沒多久，阿紫進來並與他槓上，東西都點一模一樣，連酒保都看出來了。
阿紫撕了只雞腿，咬了一口，道：「呸，好臭啊！」,當下偏給她來個不理不睬，自顧自地喝酒賞雪。,阿紫把店裡的酒肉說得十分不好，還將上好的黃牛肉拿來擦鞋，酒保看了十分心痛，阿紫又叫了一堆東西給自己、蕭峯和另一人。
過了一會，白切羊羔先送上來了。,蕭峰本不喜此人的形貌舉止，但見他酒量頗佳，便覺倒也並不十分討厭。,酒保多嘴令阿紫不悅，另一人出現，是阿紫的師兄。
阿紫見他喝幹了一壺酒，對酒保道：,這酒保見了适才這一場情景，只嚇得膽戰心驚，一句話也不敢多說。,阿紫的酒有毒，酒保喝後劇痛難當，請求阿紫割舌，蕭峯覺得阿紫十分毒辣，掌櫃等人嚇得一句話也不敢說。
蕭峰大為惱怒：「那酒保只不過說了句玩笑話，你就整治得他終身殘廢，以後說話再也沒法清楚。,他喝酒之前兩隻大拇指插入酒中，端著碗半晌不飲，多半他大拇指上有解毒藥物，以之化去了酒中劇毒。」,阿紫又把酒給她師兄喝，他化解了毒。
阿紫見他飲幹毒酒，登時神色驚惶,讓她吃些苦頭、受些懲戒也是好的，便眼望窗外，不加理睬。,阿紫師兄要帶他回去，阿紫不願，請蕭峯幫忙，蕭峯不理她，想讓她吃些苦頭。
獅鼻人不願就此對阿紫痛下殺手，只想顯顯厲害，叫她心中害怕,蕭峰心想：「這人和我無怨無仇，雖然他一上來便向我痛下毒手，卻又何必殺他？」突然間內力一收。,師兄獅鼻人要動蕭峯，蕭峯只好出手，但又不想置他於死地。
獅鼻人陡覺掌心黏力已去，快要迫近心臟那股帶毒內力，立時沖回掌心,見酒店中掌櫃等又再擁出，不願多惹麻煩，閃身便出店門，徑向北行。,獅鼻人得要散毒，殺了另一個酒保便離開，蕭峯大怒，阿紫解釋原因，蕭峯心寒離去。
他耳聽得阿紫隨後跟來，當下加快腳步，幾步跨出，便已將她拋得老遠。,其實我就算沒說過這句話，只要她在我身邊，也決不會讓她吃虧。」,阿紫追於其後，一直叫喚他，蕭峯竟將她認作阿朱，又在她的話語中心軟，讓阿紫跟隨。
又行裡許，阿紫道：「姊夫，我唱支曲兒給你聽，好不好？」,拿著這樣一支晶瑩可愛的玉笛，而吹出來的聲音竟如此淒厲，愈益顯得星宿派的邪惡。,阿紫吹笛，笛聲淒厲。
蕭峰也不去理她，自行趕路，不久走上一條長長的山嶺，,懶洋洋地倚在山壁之上，雙手圍在胸前，對眼前之事似乎全不關心。,阿紫的眾師兄出現，要來帶她回去。
那矮子道：「誰是你姊夫，怎麼我看不見？」,半年之前，我只怕還沒能插得這般深。」,蕭峯出手，讓他們知道厲害。
那四人不約而同地大聲驚呼，臉露敬畏。,阿紫，將那個神木王鼎拿出來，給我瞧瞧，到底是什麼東西。」,阿紫的師兄們敬畏蕭峯，想請他交還神木王鼎。
阿紫道：「哎唷，我交了給你啦，肯不肯交出來，可全憑你了。,說著斜身一閃，搶在蕭峰身前。,阿紫與蕭峯一搭一唱，硬是不將神木王鼎交出。
蕭峰轉過身來，張臂攔住四人,議論未定，蕭峰早走得不知去向。,蕭峯逼迫出塵子說出神木王鼎的用途，要阿紫交還給他們，她不，蕭峯懶得再理他們，便先行離去。
蕭峰一口氣奔出七十餘裡，這才找到飯店，飲酒吃飯。,眾人高呼：「大師兄法力神奇，令我等大開眼界。」,蕭峯聽聞阿紫被大師兄抓到，前去一探究竟。
蕭峰瞧那「大師兄」時，微覺詫異，此人既是眾人的大師兄，該是個五六十歲的老者，豈知竟是個二十七八歲的年輕人,是，是大師哥明見萬里，料敵如神，師弟……師弟萬萬不及。,大師兄現身，令眾弟子畏，連回話都很緊張。
蕭峯日間和星宿派諸弟子相遇，覺得諸人之中倒是這出塵子爽直坦白,挫折一下中原武人的銳氣，好讓他們知道我星宿派的厲害。」,阿紫說她的姊夫是蕭峯，並說神木王鼎在蕭峯的手上，大師兄摘星子想抓住他。
摘星子問道：「那喬峰去了哪裡？」,星宿派眾弟子瞧著這五人咬牙切齒、強忍痛楚的神情，無不膽戰心驚。,摘星子對前去抓阿紫卻未成功的師弟們施以處罰。
摘星子的眼光慢慢轉向出塵子，說道：,蕭峰只覺說不出的厭憎，轉身左足彈起，已悄沒聲地落在二丈以外，摘星子竟沒察覺。,對出塵子更是致他於死地。
蕭峰正要離去，忽聽得摘星子柔聲問道,這些人相互間常常要爭奪殘殺，哪還有什麼同門之情、兄弟之義？」,蕭峯覺得憎惡，正要離去，卻聽到摘星子要對阿紫施罰。
他卻不知，這個規矩正是星宿派武功一代比一代更強的法門。,兩股勁風分襲左右，令她無法閃避，正面這道綠火卻漸漸逼近。,阿紫被摘星子逼得走投無路。
蕭峰見綠火離她臉孔已不到兩尺，近了一寸，又近一寸,輕輕擺動，顏色鮮豔詭異，光芒閃爍不定。,危急時刻，阿紫得到蕭峯幫助，出掌擊回火焰。
摘星子連催三次掌力，都給阿紫擋回,他噴出一口鮮血，功力便減弱一分，但在蕭峰雄渾的內力之前，碧焰又怎能再沖前半尺？,摘星子被蕭峯助力的阿紫弄得快要死了，他已是騎虎難下。
蕭峰從對方內勁之中，察覺他真氣越來越弱，即將油盡燈枯,你們瞎說什麼？大家別作聲。」眾弟子登時鴉雀無聲。,蕭峯叫阿紫叫摘星子認輸，不要再跟他鬥了，眾師弟見風轉舵，紛紛站到阿紫這邊來。
阿紫笑眯眯地向摘星子道：「本門規矩，,阿紫回手揮了幾下，臉上忍不住露出得意的笑容。,阿紫最終還是殺了摘星子，蕭峯心感厭惡，拔足便行，阿紫追去。
蕭峯在白雪映照之下，見到他秀麗的臉上滿是天真可愛的微笑,唉，阿朱對我柔順體貼，又怎會向我生氣？」,蕭峯與阿紫爭論，蕭峯想阿朱，阿紫不開心轉身要走。
忽聽得腳步聲響，阿紫又奔了回來，說道：,蕭峰聽到她這句話，不由得胸口一熱，豪氣登生，抬起頭來，一聲長嘯，說道：「你這話不錯！」,蕭峯不理會，阿紫回來與他勸說，蕭峯竟也有覺得有理之處。
