此段落最初的2-5句話,此段落最末的2-5句話,段落大意
蕭峰輕輕將段正淳放落站直，退開幾步。,段某行止不端，德行有虧，平生荒唐之事，實在幹得太多，思之不勝汗顏。,蕭峯質問段正淳往事。
蕭峰自在信陽聽馬夫人說出段正淳的名字後，日夕所思，便在找到他為父母報仇，決意叫他吃足零碎苦頭之後，這才取他性命。,蕭峰挽了阿朱之手，頭也不回地逕自去了。,蕭峯與段正淳約定今晚三更於青石橋見面。
蕭峰和阿朱尋到一家農家，買些麵條下了，又買了兩隻雞熬了湯，飽餐了一頓,你在這兒歇歇，睡了一覺醒來，我已取了段正淳的首級來啦。,來到農家的阿朱身體不適。
阿朱歎了口氣，道：「我好為難，大哥，我真是沒法子。我不能陪你了。,西北角上卻烏雲漸漸聚集，遠處傳來悶聲郁雷，似乎給壓住了轟不出來，看來這一晚多半會有大雷雨。,蕭峯陪阿朱聊天，並稍作休息。
蕭峰披上長袍，向青石橋走去。,打這麼大的雷，轉眼大雨便至，快三更了吧？,蕭峯提前來到青石橋等待段正淳。
打這麼大的雷，轉眼大雨便至，快三更了吧？,撞在青石橋欄杆上，軟軟地垂著，一動也不動了。,段正淳赴約，兩人要了結往事。
蕭峰一怔：「怎地他不舉掌相迎？又如此不濟？難道又是‘一空到底’麼？」,我早就是你的人了，我……我……全身都是你的。你看一看……看一看我左肩，就明白了。,蕭峯發現段正淳是阿朱所扮，傷心不已。
蕭峰眼中含淚，聽她說話時神智不亂，心中存了萬一的指望。,那天晚上在杏子林裡，我聽到人家述說你的身世，我心裡很難過，因為咱們倆都是一樣的苦命孩子。,阿朱說明自己的身世。
電光不住閃動，霹靂一個接著一個，突然之間，河邊一株大樹給雷打中，喀喇喇地倒將下來。,說到這裡，已氣若遊絲。,蕭峯與阿朱兩人感嘆命運的安排。
蕭峰掌心加運內勁，使阿朱不致脫力，垂淚道：,我爹爹害死你的父母，也確是無意中鑄成的大錯。,蕭峯十分後悔，阿朱安慰他。
蕭峰一直低頭凝望著她，電光幾下閃爍，只見她眼色中柔情無限。,蕭峰道：「她自然會去的，親姊姊、親姊夫邀她，還不去嗎？」,蕭峯明白阿朱的用意，並答應她的請求。
突然間忽喇一聲響，青石橋橋洞底下的河水中鑽出一個人來,他喃喃說道：「我找段正淳去，找段正淳，叫他殺了我，給他女兒報仇。」邁開大步，徑向小鏡湖畔奔去。,阿紫現身，阿朱死亡，蕭峯心死。
不多時便到了湖邊，蕭峰大叫：,這時早已雨過天晴，淡淡斜陽，照在他和阿朱身上。,蕭峯去找段正淳，希望他能殺了他，卻沒見著一人。
他在聚賢莊上受群雄圍攻，雖眾叛親離，情勢險惡之極，卻未有絲毫氣沮,放下了筆，站起身來，要將竹牌插在坑前，先埋好了阿朱，然後自殺。,回想過往，蕭峯為阿朱做墓，並想隨著她去。
他轉過身來，抱起阿朱身子，眼光又向壁上的條幅一瞥，驀地裡跳將起來,為什麼偏偏早不見，遲不見，在我死前片刻又見到了？,蕭峯發現信上字跡與段正淳有所出入。
夕陽即將落山，最後的一片陽光正漸漸離開他腳背，忽聽得小鏡湖畔有兩人朝著竹林走來。,當真思湧如潮，心亂如麻。,在蕭峯思考時，有兩名女子進入林中。
只聽得那年輕女子說道：「喂，你是誰？姓阮的那賤人呢？」,媽，這人到底是誰？怎麼他也不站起身來，便制住了咱娘兒倆？我瞧他啊，多半是有邪術。,兩女子一下子就被蕭峯給制住了。
那婦人不敢再凶，口氣放軟，向蕭峰道：,那婦人忽道：「噓！有人來了！」,兩女子被定住後，態度放軟，想要衝破穴道。
只聽得腳步細碎，有人推門進來，也是個女子。,你要打抱不平，該當殺段王爺，該當殺我，為什麼卻殺了我的阿朱？,阮星竹回來，看到蕭峯等人十分驚訝，問蕭峯為何要打死阿朱。
這時蕭峰的腦筋頗為遲鈍，過了片刻，才心中一凜，,只見蕭峰不住地出力毆打自己，每一掌都落手極重，片刻間雙頰便高高腫起。,蕭峯發現自己搞錯了，還害了阿朱，愧疚不已，忍不住毆打自己。
只聽得「呀」的一聲輕響，又有人推門進來，,都是我不好，都是我不好……好好的女兒，為什麼要去送給別人？」,阿紫回來拿字，與蕭峯爭論阿朱死之事，阮星竹十分自責。
那給蕭峰定住了身形的少女忽然插口道：「當然都是你不好啦！人家好好的夫妻，為什麼你要去拆散他們？」,待得知悉段正淳又有一個相好叫阮星竹，隱居在河南小鏡湖畔的方竹林中，便又帶了女兒趕來殺人。,木婉清和秦紅棉來這要殺了阮星竹。
秦紅棉聽阮星竹認出了自己，喝道：,回轉身來，走入廂房。,阮星竹討秦紅棉開心，蕭峯埋葬阿朱。
只見阮星竹和秦紅棉仍在絮絮談論。,她將「喬幫主」的稱呼改成了「喬大哥」，好令阿紫跟他的干係親密些。,蕭峯想去找段正淳，被阮星竹勸阻，蕭峯答應照顧阿紫。
阿紫卻扁了扁嘴，神色不屑，說道：,免得她小小年紀不知天高地厚，有恃無恐，小覷了天下英雄好漢，將來不免大吃苦頭。,阿紫不知天高地厚，一直頂撞蕭峯。
他走出竹林，來到小鏡湖畔，在路旁尋到一株枝葉濃密的大樹，縱身上樹。,姊姊你別傷心。待我們殺了好姓康的賤人，回來跟你做伴兒。」,阮星竹與秦紅棉告別，蕭峯藏於暗處。
蕭峰躲在樹上，對兩個女人的話聽得清清楚楚，,隨即便又想到了阿朱，胸口不由得一陣酸楚。,蕭峯躲於樹上，秦紅棉等人去而復返，都在等待阮星竹與段正淳見面。
過不多時，來路上傳來奔行迅捷的腳步聲，,一聲長嘯，大踏步便走了。,段正淳部下朱丹臣前來告知段有事無法前來，阮星竹派阿紫前去跟蹤。
此後這幾日中曉行夜宿，多喝酒而少吃飯，每到一處市鎮，總在牆腳邊見到阿紫留下的「段」字記號,我一個人回到雁門關外，在風沙大漠之中打獵牧羊，卻又如何？」是以一直並未急追。,蕭峯等人也沿著阿紫的記號探尋。
進了信陽城，見城牆腳下用炭筆寫著個「段」字，字旁的箭頭指而向西。,一雙水汪汪的眼睛便如要滴出水來，似笑非笑、似嗔非嗔地斜睨著段正淳，正是馬大元的遺孀馬夫人。,蕭峯發現段正淳在馬夫人家中覺得奇怪，在窗外偷看，竟看到二人眉來眼去！
