此段落最初的2-5句話,此段落最末的2-5句話,段落大意
小船緩緩滑前，從湖面上望過去，岸上鬱鬱蔥蔥，青翠嫩綠，枝條隨風飛舞，,段譽道：「好！」目送三個丫鬟手拉著手，親親熱熱地走入了花林。,段譽等三人往阿朱阿碧口中的舅太太家划去，只見那曼陀山莊的周遭種滿了大理的山茶花。
他走上岸去，眼看四下無人，便在一株大樹後解了手。,她對慕容公子這般關切，這般掛在心懷。慕容公子，你何幸而得此仙福？」,段譽好奇曼陀山莊裡除了山茶花並無其他花朵，好奇之下便往裏頭走，心中可惜花中並無佳品，此時聽見一聲令他心神蕩漾的嘆息。
只聽阿朱道：「公子出門之時，說是要到洛陽去會會丐幫中的好手，鄧大哥隨同公子前去。姑娘放心好啦。」,為什麼不來見我一趟？」說著輕輕頓足，顯得又煩躁，又關切，語音卻仍嬌柔動聽。,因為這聲嘆息，段譽留下來聽該名女子和阿朱的對話，明白了有關慕容公子修練丐幫武功的情形。
段譽大為奇怪：「我在大理聽人說到‘姑蘇慕容’，無不既敬且畏。,那女子聽得他走了出來，驚噫一聲，背轉了身子。,聽了女子的話，段譽有所疑惑，一時不察發出聲響。被發現之後心想或許此生再也沒有機會見到那聲嘆息的主人，便唐突地從樹叢後走出來。
段譽一轉過樹叢，只見一個身穿藕色紗衫的女郎，臉朝花樹，身形苗條， ,「此人如此無禮，待會先斬去他雙足，再挖了眼睛，割了舌頭。」一個婢女躬身應道：「是！」,冒犯了那女子之後，朱、碧二人對於不用幫女子傳信之事鬆一口氣，趕緊帶著段譽划船離開，怎料遇見了歸來的王夫人。
段譽心中一沉：「真的將我殺了，那也不過如此。,心中仰慕之極，眼前這人形貌與玉像著實相似，言行舉止，卻竟如妖魔鬼怪一般。,然，聽到那王夫人和另外二人的對話，段譽明白對方是衝著大理段家而來。並對和此相關的人，提出了要命的命令。
他低了頭呆呆出神，只見四個婢女走入船艙，捧了四盆花出來。,這四盆白茶卻是傾城之色，你這外行透頂之人要是能種得好，我就不姓段。」,愣神之際，看見婢女捧了四盆極品山茶，又聽見王夫人對如何照顧山茶的吩咐，不由嘲笑王夫人外行。
王夫人極愛茶花，不惜重資，到處收購佳種，但移植進莊後，竟沒一本名貴茶花能欣欣向榮，,阿碧和阿朱你望望我，我望望你，見段譽不但死裡逃生，王夫人反而待以上賓之禮，都不由得喜出望外。,見段譽出聲，王夫人心想大理段家的人或許真懂那蘇州花匠所不懂得知識，心中一喜，所以對段譽只是威嚇，並非真想要他的命。且看到段譽是真對茶花有所了解，便下令設宴款待。
先前押著那無量劍弟子而去的婢女回報：「那大理人姓唐的，已埋在‘紅霞樓’前的紅花旁了。」,他嘖嘖稱賞花旁的欄杆，於花朵本身卻不置一詞，就如品評名人書法，一味稱讚墨色烏黑、紙張古雅一般。,隨後段譽和王夫人到園中賞花，段譽對園中的山茶花一陣鄙視。
這株茶花有紅有白、有紫有黃，繁富華麗，王夫人向來視作珍品，這時見段譽頗有不屑之意，登時眉頭蹙起,不久開上了酒筵，王夫人請段譽上座，自己坐在下首相陪。,段譽對王夫人談起了茶花品貌基本認識，讓王夫人信服了他對山茶花的知識，甘願作陪。
這酒筵中的菜肴，與阿朱、阿碧所請者大大不同。朱碧雙鬟的菜肴以清淡雅致見長，於尋常事物之中別具匠心。,不料這話在王夫人聽來仍大為刺耳，厲聲道：「你說我不通情理嗎？」,在筵席中，段譽又談起了更深度的茶花品貌，聽到王夫人津津有味。怎料話鋒一轉地踩到了王夫人的地雷，頓時勃然大怒。
段譽道：「通不通情理，夫人自知，晚生何敢妄言。,王夫人只道不宜種花，因此上一株茶花也無。段譽大喜，說道：「這裡最妙不過。」,隨後王夫人便令段譽為他將那名貴的山茶花都培育出來，否則就是斷手腳、挖眼珠。段譽只好安慰自己，或許能見那嘆息美妙的少女一面，開始尋陰涼處種起茶花。
回到原地，將四盆白茶逐一搬到綠竹叢旁，相妥地形，以花鋤挖了孔穴，打碎瓷盆，連著盆泥一起移植在地。,「哼，就算不喜歡，終究是自己人。姑蘇慕容氏在外面丟了臉，咱們王家就好有光彩麼？」小茗不敢介面。,完畢之後，段譽便稍作歇息，恰巧聽見了那令他著迷的聲音主人和婢子那關於慕公子的談話內容，躲在暗處的段譽心中微微酸楚。
那少女在綠竹叢旁走來走去，忽然間看到段譽所種的三株白茶，又見到地下的碎瓷盆,拜見神仙姊姊的仙范，已然自慶福緣非淺，不意今日更親眼見到姊姊容顏。世間真有仙子，當非虛語也！」,轉瞬間，少女發現了段譽剛剛種下得山茶花，害怕錯過此次機會的段譽閃身而出，驚見那少女竟和自己心心念念的神仙姊姊極度相似不由地跪下。
那少女向小茗道：「他說什麼？他……他是誰？」小茗道：「他就是阿朱、阿碧帶來的那個書呆子。,但見到她藕色綢衫的下擺輕輕顫動，聽到她比洞簫還要柔和的聲調問道：「少林寺的和尚為什麼冤枉‘姑蘇慕容’？你可知道麼？你……你快跟我說。」,談話之後，少女只將段譽當作尋常花匠，而段譽只想和他的神仙姐姐多說幾句話，便透露了關於少林派誣陷慕容復的情況，引得少女的關注。
段譽聽她這般低語央求，心腸一軟，立時便想將所知說了出來，,只要夫人沒將我的舌頭割去，小姐但有所問，我自是知無不言，言無不盡。」,段譽聽到少女的央求便心軟，但又想起關於這件事情，自己所見並不深，若是錯過這次機會以後便見不到神仙姐姐。便想短話長說，爭取和少女相處的時光，而少女只覺段譽囉嗦。
那少女左足在地下輕輕一頓，轉過頭不再理他，問小茗道：「夫人還說什麼？」,我伯父和我爹爹叫我學武，我說什麼也不學，寧可偷偷逃了出來。」,少女從婢女小茗和段譽口中
那少女一聲長歎，說道：「我為了要時時見他，雖然討厭武功，但看了拳經刀譜，還是牢牢記在心中，,只有像王姑娘這麼，山茶朝露，那才美了。」,段譽得知了這曼陀山莊的與世隔絕，雖憐惜王姑娘寂寞的過去，但對王姑娘和慕容復之間的情感也感到吃味。
那少女等了一會，見他始終不答，伸手在他手背上輕輕一推，道：「你怎麼了？」,若不是為了他，我寧可養些小雞兒玩玩，或者是彈彈琴，寫寫字。」,談笑間，段譽知道原來那慕容復是五胡亂華時鮮卑人慕容氏的後代，至今仍不忘幾百年前的祖宗舊業。不願當中國人，也不願認字，因此漢字的書籍皆是王姑娘為他研讀再講解。
