此段落的最初2-5句話,此段落的最末2-5句話,段落大意
段譽隨即昏迷，也不知過了多少時候，才慢慢醒轉,我……我急得不得了，這就出來尋你。」,段譽中了鳩羅智的招後，在床上醒來，是鍾靈在照顧他。
段譽道：「我爹爹跟你媽的事，你媽媽沒跟你說嗎？」,問道：「你怎麼會到這裡來的？」,段譽不知如何跟鍾靈解釋他們的關係，鍾靈也有所誤會。
段譽睜大了眼睛，道：「我正要問你呢，,縱然是腐腸鴆毒，我卻也甘之如飴。」,鍾靈說起發現受傷的段譽的經過，並為了他昏迷時呼喊王語嫣的名字不高興。
鍾靈見他呆呆地望著自己，臉上顯得情意綿綿，,滿鼻塵灰，忍不住便要打噴嚏，好容易才強自忍住了。,段譽又在想王語嫣，被鍾靈發現，阿紫與游坦之來休息，鍾靈誤以為阿紫是王語嫣。
鍾靈往外瞧去，只見到一雙穿著紫色緞鞋的纖腳走進房內,段譽忍了多時的噴嚏已沒法再忍，「乞嗤」一聲，打了出來。,游坦之帶阿紫進屋後，丐幫的人便追了過來，阿紫指揮游坦之，叫他對丐幫的人下手，把他們趕走後去覓食，段譽打噴嚏洩漏蹤跡。
只聽得遊坦之叫道：「有人！」鍾靈見四下無處可躲，,她本將遊坦之負在背上，當即邁步，向段譽和鍾靈走去。,鍾靈被游坦之發現，阿紫命令他去把鍾靈的眼睛挖出來。
鍾靈聽了他二人的對答，心中怕極，發足狂奔，,兩個男人是蕭峰和虛竹，四個少女則是梅蘭竹菊四劍。,鍾靈因為害怕被挖演跑走，阿紫轉而
蕭峰一瞥間見段譽躺在地下，一個箭步搶過來，,你別想再碰她一碰，說什麼也不能讓你抱了。」,阿紫埋怨蕭峰沒有聽姊姊的話好好保護她，要蕭峰取出鍾靈的眼睛。
蕭峰對他並沒留神，說道：「那時你身受重傷，,他如何敢伸手去摸鍾靈的臉？至於摟摟抱抱，更加不必提了。,虛竹說出換眼睛或許可行後，阿紫便要他幫她，虛竹猜想鍾靈是他的夢姑。
一想到摟抱「夢姑」，臉上登時發燒，鍾靈的聲音顯然和「夢姑」,小哥哥，她到底是不是我嫂子？」,阿紫認出段譽，段譽說出鍾靈是他親妹子，被阿紫逼問是否為真。
虛竹斜眼向段譽看去，心中怦怦亂跳，實不知鍾靈是不是「夢姑」,但她想到若要雙目複明，唯有求懇虛竹，只得強抑怒火。,段譽沒說明，綁起兄長的架子教訓阿紫，蕭峰叫段譽到屋裡休息
蕭峰哪去理會阿紫是否在發脾氣，順手拉開炕邊桌子的一隻抽屜，,你劈爛的，是我義母的紡車。」,蕭峰在屋內看童玩木虎看得出神，阿紫因撞到紡車就隨手把它劈了，蕭峰對她生氣，之後又去哄她，等她情緒穩定後才說出這是他義母的紡車。
蕭峰手掌托著那只小小木虎，凝目注視。,但皇上如欲殺兵征宋，我自亦當極力諫阻。」,段譽是被蕭峰救來他義父、異母家的。蕭峰的父親與慕容博皆皈依佛門了，局勢暫時穩定。
正尋思間，只聽得腳步聲響，寺中出來七八名老僧，,更是悲傷，忍不住便滴下淚來。,蕭峰想起來的路上遇到虛竹，他說要一起去看段譽，順便說明靈鷲宮與丁春秋的現況。
蕭峰安慰他道：「二弟，世人不如意事，在所多有。,阿紫沒法挖到鍾靈的眼珠，便以言語相刺，總是要她大感傷痛，這才快意。,蕭峰安慰虛竹，梅
鍾靈聽了，甚是惱怒，但想她這幾句話倒也有理，惱怒之情登時變了愁悶。,「別起身，小心傷口破裂，又會流血。」,阿紫問段譽比較喜歡王語嫣還是鍾靈，想要挑起矛盾。
虛竹在側旁觀三人情狀，尋思：「鐘姑娘對三弟如此一往情深，,只要蕭大俠和段公子不來跟你爭奪，你做西夏國的駙馬爺可說易如反掌。」,回來報告已傳令尋找段正淳的蘭劍戳破阿紫會見到王語嫣的謊，梅劍開虛竹玩笑，說他可以去當西夏駙馬。
梅蘭竹菊四姝天性嬌憨，童姥待她們猶如親生小輩一般，雖有主僕之名，,和二哥兩個喝得爛醉如泥，好不快活！」,虛竹起先拒絕，又想起夢姑，段譽也建議虛竹可以去一趟西夏國。
蕭峰來到少室山時，十八名契丹武士以大皮袋盛烈酒隨行。,虛竹道：「我當盡力而為。」,阿紫也想跟去，想藉著與蕭峰的關係，讓虛竹從靈鷲宮得到資源醫治她的眼睛。
次日眾人相偕就道。虛竹又到少林寺山門之前叩拜，喃喃祝告,鐘姑娘，你想拉住我哥哥的心，得學學我媽。」,虛竹上路前，到少林寺叩謝。鎮南王轉告段譽，要他早日回到大理。
這兩天中，段譽一直在尋思，要不要說明鍾靈便是自己妹子,也不急著西行，受那風沙之苦。,段譽決定先隱瞞鍾靈與他的關係，虛竹為游坦之治療斷腿，他們緩慢的前進。
這日一行人來到同州一帶，段譽向蕭峰等述說當年劉、項爭霸的史跡。,頭臉雖然避開，但啪的一聲，已打中他肩頭。,巴天石與朱丹臣騎馬趕上他們，阿紫揮鞭打中巴天石。
段譽喝道：「紫妹，你又胡鬧！」,非做上西夏的駙馬不可。,他們帶來段正淳寫的家書，意思是要段譽去當西夏駙馬，由巴 天石、朱丹臣監視段譽。
段譽苦笑道：「我本就不會武藝，何況重傷未愈，,眾人一路向西北行，漸漸行近興州，道上遇到的武林之士便多了起來。,段正淳還給蕭峰與虛竹寶物，讓他們全力相助段譽。他們繼續西行，遇到的武林之士也跟著增加。
西夏疆土雖較大遼、大宋為小，卻也是西陲大國，,都道：「上去瞧瞧！」催馬疾馳。,武林中人許多都想碰碰運氣娶西夏公主，享受榮華。他們在路上看到很多受傷的人，引起虛竹、蕭峰的好奇心想去看看狀況。
一行人奔出七八裡，只見山道陡峭，一條僅容一騎的山徑蜿蜒向上，,那書生向他瞧也不瞧，挨著各人坐騎，搶到了前頭。,原來是兩名大漢擋在前面，已經傷很多要過去的人，忽然聽到驢蹄聲，段譽看到騎驢子的書生，大驚。
鍾靈奇道：「你認得這位相公？」段譽臉上一紅，,再上來一步，老子不將你打成肉醬才怪。」,原來那書生，是木婉清，大漢放木婉清過去，擋下段譽。
段譽道：「尊兄言之差矣！這是人人可行的大道，,「是，是……這個……這時候卻也不便細說……」,木婉清的毒箭傷不了大漢，大漢對段譽動手，蕭峰、虛竹本來要去幫他，但大漢已被段譽的「北冥神功」打敗。木婉清要段譽對鍾靈解釋他的身份。
本來為兩條大漢擋住的眾人，一個個從他身邊搶了過去，直奔興州。,你知道我要上興州去，因此跟著來瞧瞧我，是不是？」,段譽挽留木婉清，嘴硬的她稍微軟化。
木婉清臉上微微一紅，段譽這話正中了她的心事，,現下的年輕姑娘們哪，可再沒我媽這麼好了。」 ,段譽告訴木婉清自己並不想當西夏駙馬。木婉清挖苦她跟他爹一樣。
