此段落最初的2-5句話,此段落最末的2-5句話,段落大意
虛竹眼望深谷，也是束手無策，見到眾女焦急的模樣，心想：「她們都叫我主人，遇上了真正難題，我這主人卻一籌莫展，那成什麼話？,他轉過身來，說道：「大家且歇一歇，我去設法救人。」,虛竹憑藉內力渡過回宮的阻礙。
餘婆等又驚又佩，又是感激，齊道：「主人小心！」,虛竹閃身進門，穿過兩道庭院，只聽得大廳中傳來聲音，,虛竹回到靈鷲宮。
一人厲聲喝道：「賊婆子藏寶的地方，到底在哪裡？你們說是不說？」,虛竹跨進廳門，也有幾人向他瞧了一眼，見他不是女子，自不是靈鷲宮之人，只道是哪個洞主、島主帶來的門人子弟，誰也沒多加留意。,虛竹混入攻打靈鷲宮的人群。
虛竹在門檻上一坐，放眼四顧，見烏老大坐在西首一張太師椅上，臉色憔悴，但剽悍乖戾之氣仍從眼神中流露出來。,鈞天部諸女認明確是童姥的左腿，料想烏老大此言非虛，不禁放聲大哭。,烏老大證明天山童姥已死。
一眾洞主、島主大聲歡呼，都道：「賊婆子已死，當真妙極！」有人道：「普天同慶，薄海同歡！」,那胖子不住亂咬，便如瘋狗一般。他兄弟出力掙扎，卻哪裡掙得開，霎時間臉上給他咬下一塊肉來，鮮血淋漓，只痛得大聲慘呼。,中了生死符的病患發病，病況恐怖。
段譽向王語嫣道：「王姑娘，怎地想法子救他們一救？」,提起長鞭，啪的一揮，猛力向那女子打去，這一鞭力道沉猛，眼見那女子要給打得頭碎腦裂。,雲島主無法求得解藥，便欲擊殺靈鷲宮部屬。
忽然嗤的一聲，一件暗器從門口飛來，撞在那女子腰間。,眾人驚懼交集，但聽得風惡波和包不同兩人聲音一尖一沉，在廳外大聲向童姥挑戰，卻不聞有人答腔。,攻打靈鷲宮的人以為救下宮中部屬的人是天山童姥。
適才搭救黃衫女子這枚松球，卻是虛竹所發。,虛竹拱手答謝，說道：「不敢，不敢！相救各位的另有其人，只不過是假手在下而已。」他意思是說，他的武功內力得自童姥等三位師長，實則是童姥等出手救了諸女。,虛竹救下生死符病患與靈鷲宮部屬。
群豪見他隨手一拍，一眾黃衫女子的穴道立解，既不須查問何處穴道被封，亦不必在相應穴道處推宮過血，這等手法不但從所未見，抑且從所未聞，,各人七張八嘴地喝問：「小子，你是誰？怎麼來的？」「你叫什麼名字？你師長是誰？」「誰派你來的？童姥呢？她到底是死是活？」,攻打靈鷲宮的人以為虛竹被烏老大制服。
慕容複、段譽、王語嫣此時也已認出，這人正是珍瓏棋會所遇、後來出手救走啞巴女童的少林和尚虛竹。,童姥她老人家雖然武功深湛，到頭來仍不免功散氣絕，終須化作黃土。我佛慈悲，但願童姥投胎善道，不受大苦。,虛竹說明天山童姥已死的事實。
群豪聽他嘮嘮叨叨地說來，童姥已死倒是確然不假，登時都大感寬慰。,珠崖二怪搜查虛竹之時，群豪無不虎視眈眈地在旁監視，只要見到有什麼特異之物，立時擁上搶奪，不料什麼東西也沒搜到。,虛竹遭珠崖二怪搜身。
珠崖大怪罵道：「臭賊，老賊婆臨死之時，跟你說什麼來？」,虛竹道：「此事說來……說來……唉，總而言之，我不能說，你便殺了我，我也不說。」卓不凡道：「你當真不說？」虛竹道：「不說。」,珠崖二怪與卓不凡向虛竹探問生死符解法。
卓不凡向他凝視片刻，見他神氣十分堅決，突然間唰的一聲，拔出長劍，寒光閃動，,眾人心中一凜，均想：「此人到靈鷲宮來，原來是為報師門大仇。」,卓不凡說明自身來歷。
只見卓不凡長劍一抖，向虛竹道：「小兄弟，我這幾招劍法，便傳了給你如何？」,群豪中登時有十餘人回應：「辛洞主的話是極。」更有人道：「小子，童姥到底有什麼遺言，快快當眾說出來，否則大夥兒將你亂刀分屍，味道可不大妙。」,攻打靈鷲宮的人不願卓不凡得到解生死符的方法。
卓不凡長劍抖動，嗡嗡作響，說道：「小兄弟不用害怕，你在我身邊，瞧有誰能動了你一根寒毛？ ,虛竹不由得狼狽萬狀，連說：「這個……這個……不是的……」,卓不凡湊合王語嫣與虛竹，以取得生死符解法。
卓不凡長劍抖動，一招「天如穹廬」，跟著一招「白霧茫茫」，兩招混一，向王語嫣遞去，要將她圈在劍光之中拉過來，居為奇貨，以便與虛竹交換，要他吐露秘密。,虛竹出手如風，點了段譽胸腹間傷口左近的穴道，再看他傷口，登時放心，笑道：「段公子，你的劍傷不礙事，三四天便好。」,段譽檔下卓不凡的劍招後，虛竹為段譽止血。
段譽身子給王語嫣扶住，又見她為自己哭泣，早已神魂飄蕩，歡喜萬分，,卓不凡手上運勁，從石柱中拔出長劍，仗劍向虛竹趕去，喝道：「小兄弟，你能逃到哪裡去？」虛竹心下害怕，滑腳又再避開。,卓不凡發現虛竹身懷武功。
左側突然有人嘿嘿一聲冷笑，說道：「小和尚，躺下吧！」是個女子聲音。,虛竹想到不平道人死時的慘狀，心中抱憾萬分，不住討饒：「我做錯了事，當真後悔莫及。兩位儘管重重責罰，我心甘情願地領受，就是要殺我抵命，也不敢違抗。」,虛竹因為殺了不平道人的愧疚感而欲束手就擒。
卓不凡道：「你要我不傷你性命，那也容易，你只須將童姥臨死時的遺言，原原本本地說與我聽，便可饒了你。」,他奪下十三件兵刃，一抬頭見到卓不凡蒼白的臉色，回過頭來，再見到崔綠華驚懼的眼神，心道：「糟糕，糟糕，我又得罪了人啦。」忙道：「兩位請勿見怪，在下行事鹵莽。」俯身拾起地下十三件兵刃，雙手捧起，送到卓崔二人身前。,崔綠華為了報仇而想擊殺虛竹。
崔綠華還道他故意來羞辱自己，雙掌運力，猛向他胸膛上擊去。,但此後有人身上生死符發作，各人觸目驚心，物傷其類，跟著一連串變故接踵而來，竟沒想到身處險地，危機四伏，待得見到巨岩堵死了大門，心中均是一凜：「今日要生出靈鷲宮，只怕大大不易了。」,攻打靈鷲宮的人發覺被困在靈鷲宮中。
忽聽得頭頂一個女子聲音說道：「童姥姥座下四使婢，參見虛竹先生。」,二女一出手便斷了二人手腕，其餘各人雖頗有自忖武功比那兩條大漢要高得多的，卻也不敢貿然出手，何況眼見這座大廳四壁都是厚實異常的花崗岩，又不知廳中另有何等厲害機關，各人面面相覷，誰也沒做聲。,靈鷲宮部屬殺人立威。
寂靜之中，忽然人叢中又有一人「呵呵呵」地咆哮起來。眾人聽了，都知又有人身上的生死符催命來了。,虛竹喜道：「你自己知道，那就好了。」當即以童姥所授法門，用天山六陽掌的純陽之力，將他懸樞、氣海、絲空竹三處穴道中的寒冰生死符化去。,哈大霸的生死符發作，虛竹為其治療。
哈大霸站起身來，揮拳踢腿，大喜若狂，突然撲翻在地，砰砰砰地向虛竹磕頭，,群豪大聲歡呼，只震得滿廳中都是回聲。過了良久，歡呼聲才漸漸止歇。,虛竹答應攻打靈鷲宮的人，為他們治好生死符的毛病。
梅劍冷冷地道：「主人應允給你們取出生死符，那是他老人家慈悲。,梅劍臉一沉，說道：「那些殺過人的，快將自己的右臂砍了，這是最輕的懲戒了。」她話一出口，便覺自己發號施令，於理不合，轉頭向虛竹道：「主人，你說是不是？」,梅劍提出計策，欲為天山童姥報仇。
虛竹覺得懲罰太重，卻又不願得罪梅劍，囁嚅道：「這個……這個……嗯……那個……」,段譽拍了拍手，笑道：「沒有了！」轉頭向虛竹道：「小弟這三條罰章定得可對？」,段譽訂下補償靈鷲宮的罰則。
虛竹拱手連說：「多謝，多謝，對之極矣。」,烏老大大聲道：「尊主有令：靈鷲宮屬下一眾兄弟，今後不得妄殺無辜，胡亂殺生，否則重重責罰。」群豪又齊聲應道：「遵命！」,虛竹提出自己出手治療的先決條件。
虛竹連連拱手，說道：「我……我當真感激不盡，話又說回來，各位多做好事，不做壞事，那也是各位自己的功德善業，必有無量福報。」,他適才見過門口的機關，倘若那巨岩再移過來擋住了大門，那便只有任人宰殺了。,包不同誤解虛竹想法，慕容複向虛竹辭別。
虛竹忙道：「公子慢走，決不……不是這個意思……我……」,囁嚅問道：「段……段公子，你卻又如……如何得知？」,段譽以為虛竹也喜歡王語嫣，虛竹以為段譽知道自己與夢姑的事。
段譽道：「不知子都之美者，無目者也。不識彼姝之美者，非人者也。,聽段譽沒口子誇獎這位姑娘，正合心意，便也隨聲附和，其意甚誠。,段譽跟虛竹在宴中雞同鴨講，但也能溝通。
兩人各說各的情人，纏夾在一起，只因誰也不提這兩位姑娘名字，言語中的榫頭居然接得絲絲入扣。,段譽道：「人生得意須盡歡，莫使金樽空對月，哈哈，會須立盡三百杯！」兩人越說越迷糊，終於都醉得人事不知。,段譽與虛竹相談甚歡而結拜。
