此段落最初的2-5句話,此段落最末的2-5句話,段落大意
喬峰運功良久，忽聽得西北角上高處傳來格格兩聲輕響，知有武林中人在屋頂行走，跟著東南角上也這麼兩響。,這薛神醫不但醫道如神，武功也頗了得。他愛和江湖上的朋友結交，給人治了病，往往向對方請教一兩招武功。對方感他活命之恩，傳授時自然決不藏私，教他的都是自己最得意的功夫。,喬峰聽到屋頂有聲音，知道有武林中人到屋頂上聚合。他繞到後院窗外，偷聽對方的對話。
只聽得快刀祁六問道：「鮑老闆，這幾天做了什麼好買賣啊？」喬峰心道：「難怪房中那人的聲音聽來耳熟，原來是‘沒本錢’鮑千靈。此人劫富濟窮，頗有俠名，當年我就任丐幫幫主，他也曾參與典禮。」,喬峰心想，他們就是說到明朝天亮，也不過是將我加油添醬地臭駡一夜而已，當下不願再聽，回到阿朱房中。,喬峰聽到他們正在罵他「殺父、殺母、殺師」，覺得這冤屈再也洗不掉了，還是以後都隱姓埋名過生活好了，不禁覺得萬念俱灰。
阿朱見他臉色慘白，神情難看，問道：「喬大爺，你遇上了敵人嗎？」心下擔憂，怕他受了內傷。喬峰搖了搖頭。阿朱仍不放心，問道：「你沒受傷，是不是？」,阿朱見黯淡的燈光照在他臉上，過了一會，聽得他發出輕輕鼾聲，臉上的肌肉忽然微微扭動，咬著牙齒，方方的面頰兩旁肌肉凸了出來。阿朱忽起憐憫之意，只覺得眼前這個粗壯的漢子心中很苦，比自己實在不幸得多。,喬峰回到房裡，阿朱關心喬峰是不是遇到敵人了，擔心他受傷。
次日清晨，喬峰以內力替阿朱接續真氣，付了店賬，命店伴去雇了一輛騾車。他扶著阿朱坐入車中，然後走到鮑千靈的房外，大聲道：「鮑兄，小弟喬峰拜見。」,鮑千靈回頭向祁六和向望海兩人瞧了一眼，兩人緩緩點頭。鮑千靈道：「既是如此，我們三人在聚賢莊上恭候喬兄大駕。」,喬峰找上鮑千靈，請他帶路到薛神醫那裡去。
鮑、祁、向三人匆匆結了店賬，跨上坐騎，加鞭向聚賢莊進發。一路催馬而行，時時回頭張望，只怕喬峰忽乘快馬，自後趕到，幸好始終不見。鮑千靈固是個機靈之極的人物，祁六和向望海也均閱歷豐富、見聞廣博。但三人一路上商量推測，始終捉摸不透喬峰說要獨闖英雄宴有何用意。,過不多時，少林派的玄難、玄寂兩位高僧也到了。薛神醫和游氏兄弟一一歡迎款接。說起喬峰為惡，人人均大為憤怒。,三人在路上不斷猜測喬峰要到英雄會的目的。這次的英雄會有非常多武林名士前來參與。
忽然知客的管家進來稟報：「丐幫徐長老率同傳功、執法二長老，以及奚宋陳吳四長老齊來拜莊。」,游驥接著說起喬峰也要來赴英雄大宴。諸長老聽了都不勝駭異，各人跟隨喬峰日久，知他行事素來有勇有謀，倘若當真單槍匹馬闖到聚賢莊來，那就奇怪之至了。,丐幫的人也陸續抵達，大家以為他們是來幫喬峰聲援，迎接時發現丐幫只有十二三人前來，大家都鬆一口氣。
向望海忽道：「我猜想喬峰那廝乃故布疑陣，讓大夥兒在這裡空等，他卻溜了個不知去向。這叫做金蟬脫殼之計。」吳長老伸手重重在桌上一拍，罵道：「脫你媽的臭殼！喬峰是何等樣人物，他說過了的話，哪有不作數的？」,吳長老等一聽，更加惱怒，只聽得刷刷之聲不絕，刀光耀眼，不少人都抽出了兵刃。其餘賓客只道丐幫眾人要動手，也有許多人取出兵刀，一片喝罵叫嚷之聲，亂成一團。薛神醫和游氏兄弟勸告大家安靜，但他三人的呼叫只有更增廳上喧嘩。,向望海認為喬峰故意佈局讓大家空等，吳長老非常生氣，與他大吵，甚至拔刀準備過招。遊驥和徐長老連忙勸架。
便在這紛亂之中，一名管家匆匆進來，走到遊驥身邊，在他耳邊低聲說了一句話。遊驥臉上變色，問了一句話。那管家手指門外，臉上充滿驚駭和詫異的神色。,群豪一見騾車，早就在疑神疑鬼，猜想其中藏著什麼古怪，有的猜是毒藥炸藥，有的猜是毒蛇猛獸，更有的猜想是薛神醫的父母妻兒，給喬峰捉了來作為人質，卻沒一個料到車中出來的，竟是個十六七歲的小姑娘，而且是來求薛神醫治傷，無不大為詫異。,一位管家前來通報喬峰抵達的消息，大家頓時鴉雀無聲，非常驚訝，沒想到喬峰真的來英雄會了。
只見這少女身穿淡黃衫子，顴骨高聳，著實難看。原來阿朱想起姑蘇慕容氏在江湖上怨家太多，那薛神醫倘若得知自己來歷，說不定不肯醫治，因此在許家集鎮上買了衣衫，在大車之中改了容貌，但醫生要搭脈看傷，要裝成男子或老年婆婆，卻是不成。,玄難道：「不管怎樣，這小姑娘總不是我方丈師兄所傷。想我方丈師兄乃有道高僧，一派掌門之尊，如何能出手打傷這樣一個小姑娘？這小姑娘再有千般不是，我方丈師兄也決計不會和她一般見識。」,薛神醫幫阿朱把脈，知道她是被少林寺的大金剛拳所傷。大家都覺得奇怪，玄難、玄寂二僧也覺得方丈不可能傷害一個小姑娘。
喬峰心念一動：「這兩個和尚堅決不認阿朱為玄慈方丈所傷，那再好沒有。否則的話，薛神醫礙于少林派的面子，無論如何是不肯醫治的。」當下順水推舟，便道：「是啊，玄慈方丈慈悲為懷，決不會以重手傷害這樣一個小姑娘。多半是有人冒充少林寺的高僧，招搖撞騙，胡亂出手傷人。」,喬峰心下欽佩：「玄慈方丈這一拳確是我用銅鏡擋過了，消去了大半拳力。這位薛神醫當真醫道如神，單是搭一下阿朱的脈搏，便將當時動手過招的情形說得一點不錯，看來他定有治好阿朱的本事。」言念及此，臉上露出喜色，說道：「這位小姑娘倘若死在大金剛拳拳力之下，于少林派的面子須不大好看，請薛神醫慈悲。」說著深深一揖。,喬峰擔心薛神醫不肯為阿朱治傷，於是順手推舟說有人冒充少林寺的高僧招搖撞騙。
玄寂不等薛神醫回答，問阿朱道：「出手傷你的是誰？你在何處受的傷？此人現下在何處？」他顧念少林派聲名，又想世上居然有人會使大金剛拳，急欲問個水落石出。,阿朱忙道：「那青年公子傷我之後，喬大爺十分氣惱，問她：‘閣下是少林派的麼？’那公子道：‘天下什麼門派，我都算上一份，你說我是少林派，也無不可。’他這麼說，我瞧多半是冒充少林派。不過真正冒充少林高僧之人，也是有的，我就瞧見兩個和尚自稱是少林僧人，卻去偷了人家一條黑狗，宰來吃了。」她自知謊話中露出破綻，便東拉西扯，換了話題。,玄寂擔心少林派的名聲，連忙詢問阿朱是誰出手傷她。阿朱故意誇大說是一個相貌瀟灑英俊、二十七八歲的青年公子。其實這是阿朱擔心喬峰一個人勢單力薄，故意說一個「姑蘇慕容」出來，來幫喬峰壯大聲勢。
薛神醫也知她的話不盡不實，一時拿不定主意是否該當給她治傷，向玄寂、玄難瞧瞧，向游驥、遊駒望望，又向喬峰和阿朱看看。,喬峰心念一動：「不錯，這些人都是俠義之輩，決不會無故加害於她。我還是及早離開這是非之地為妙。」但隨即又想：「大丈夫救人當救徹。薛神醫尚未答允治傷，不知她死活如何，我喬峰豈能貪生怕死，一走了之？」,薛神醫拿不定主意要不要幫阿朱治傷，喬峰向他請求醫治。薛神醫卻說，只要是喬峰帶的人就不肯治。
