此段落最初的2-5句話,此段落最末的2-5句話,段落大意
 慕容複向丁春秋舉手招呼，說道：「請了，當真是人生何處不相逢，, 豈能同你這等後生小子談文論武？你又有什麼資格來跟我師父談論？」, 慕容複招丁春秋一起喝酒。
又有一人喝道：「你恭恭敬敬地磕頭請教，星宿老仙喜歡提攜後進， , 「慕容公子，你我當真有緣。」說著飄身而前，揮掌便劈。, 丁春秋暗中向慕容複下「三笑逍遙散」，結果被他轉向星宿弟子身上。丁春秋揮掌欲劈慕容複。
 慕容複久聞他「化功大法」的惡名，斜身閃過。, 攻勢中雖仍以攻敵右側為主，但內力的運用，卻全是攻他左方。, 丁春秋連劈三掌都被慕容復躲掉了，丁春秋知道慕容復不願與自對掌，故意裝作左手不便。
 又拆了二十余招，丁春秋左手縮入袖內，右掌翻掌成抓，向慕容複臉上抓去。, 他轉是轉了，移也移了，不過是轉移到了另一人身上。, 慕容複中計，終於與丁春秋對到掌，中了化功大法，慕容複的「鬥轉星移」之術移到了別人身上。
 這時慕容複受困於「化功大法」，, 另一個是阿紫，面色蒼白，縮在另一個角落中觀鬥。,慕容復靠著這招把毒素都轉移到星宿弟子身上，弟子們皆驚惶亂竄。 
丁春秋喝道：「阿紫！」阿紫正看得出神，冷不防聽得師父呼叫 , 救了阿紫那人，正是聚賢莊的少莊主游坦之。, 丁春秋與慕容複交手之際，呼喚阿紫，結果被阿紫的表現激怒，就毒瞎她的眼睛。阿紫被游坦之救走。
 阿紫道：「原來是莊……莊前輩，多謝你救我。」, 「只要我能握著她小手，這樣慢慢走去，便走到十八層地獄裡，我也歡喜無限。」, 阿紫拿游坦之來開玩笑，又要他送她去寮國南京，她姊夫的身邊。游坦之答應要陪她回去。
剛走到大路上，迎面過來一群乞丐。當先一人身材高瘦，相貌清秀， , 「大家別說話，誰也不可開口。」遊坦之心中更喜，又向他拱手為禮。,游坦之帶著阿紫，遇到全冠清，游坦之為了不讓自己鐵頭的事被阿紫發現，一不小心又出手傷到人。全冠清看到他的武功，想把他收為己用。 
阿紫問道：「莊大哥，是些什麼人？你打死了幾個人嗎？」 , 說道：「做哥哥的叨長你幾歲，便不客氣稱你一聲‘兄弟’了。」, 阿紫看不到只能問游坦之發生什麼事。全冠清發向對方竟然認得自己，也明白游坦之不想被阿紫發現自己是鐵頭的事，開口說要幫他去除頭上的東西。兩人結文金蘭。
 當丁春秋和蘇星河打得天翻地覆之際，段譽的眼光始終沒離開王語嫣身上，, 他身在馬背之上，目光卻兀自瞧著王語嫣的去路。, 段譽一直盯著王語言的事，在他們離去時，包不同特別告訴他這樣很失禮。分開後段譽坐上馬，卻還是望著王語嫣離去的方向。
段譽那日將書信交與全冠清後，便即馳去回稟段正淳，待得棋會之期將屆，得了父親允可， , 「小丫頭和公子爺青梅竹馬倒也猶可，又怎會有中表之親？」哪想得到他是扯到了王語嫣身上。, 朱丹臣悄悄向範驊等三人說知，段譽在棋會中如何見到姑蘇慕容家的一位美貌姑娘，如何對她目不轉睛地呆視，如何失魂落魄，又想跟去。
崔百泉問道：「范司馬、巴司空想到那番僧要去祭慕容先生的墓，不知這中間有什麼道理？ ,眾人面面相覷，過了半晌，一齊緩緩搖頭。 , 範驊向崔百泉和過彥之說慕容博的棺木裡面是空的，他們推測他沒死。又討論起又什麼他要留下記號又為什麼要裝死。
 阿紫雙眼為丁春秋毒瞎，遊坦之奮不顧身地搶了她逃走。, 這聲音忽高忽低，若斷若續，鑽入耳中令人極不舒服，但每個字都聽得清清楚楚。, 與丁春秋纏鬥的慕容複抓到他為阿紫分心的時機溜走了。他們在逃走的時候發現山裡有燈，以為是家人，卻發現是綠色燈火。
 慕容複哼了一聲，知道包不同所說「邪魔外道，在此聚會」, 既然幹了，便幹到底。」六人向那綠火奔去。, 有個聲音出現不但挑釁他們，還污辱王語嫣，鄧百川用內力震傷對方。六人向綠火奔去
