此段落最初的2-5句話,此段落最末的2-5句話,段落大意
游坦之見蕭峰等一行直向北去，始終不再回轉，才知自己不會死了,於是遊坦之到十二歲上，便不再學武，遊駒請了個宿儒教他讀書。,游坦之站了一會，確定蕭峯不會再回來，便拿起石灰包要離開，看到蕭峯落下的易筋經。
但他讀書也不肯用心，老是胡思亂想。,不知什麼時候，能再見到這臉色雪白、纖弱秀美的小姑娘。」,游坦之讀書也不太用心，文武都不行，父親死後心中所想便是找蕭峯報仇。一想到阿紫容貌，胸口竟莫名一熱。
他低了頭大步而行，不多時便越過了那羣喬峯放回的難民。,進城之時，遊坦之已全身是血，只盼快快死去，免得受這許多苦楚。,游坦之走了沒多久，竟又被契丹兵抓了回去，以為是蕭峯指使的，進城時他已傷痕累累。
三名契丹兵在城中又行了好幾裡地，將他拉入了一座大屋。,身子在空中飄飄蕩蕩，實在也無法思想。,契丹兵將他拉進一座大屋，拖著他在地上要放人鳶子，阿紫在一旁拍手叫好。
那美貌少女正是阿紫。她見游坦之暗算蕭峰，蕭峰卻饒了他不殺，心中不喜，,眾官兵齊聲答應，將滿身是血的遊坦之架了出去。,原來是阿紫叫人把他抓回來的，想要好好折磨他，親自去放人鳶，但因重傷初癒，手上一軟，將游坦之重重摔下，待玩得夠了，便要將游坦之架了出去。
游坦之醒過來時，一陣黴臭之氣直沖鼻端，睜開眼來，一團漆黑，什麼也瞧不見，,尋思：「想個什麼新鮮法兒來折磨他才好？」,次日游坦之又被帶去見阿紫，他看到阿紫的腳如花瓣般美，阿紫見到卻是個滿身血污的醜陋少年，又在想方法折磨他。
突然之間，遊坦之喉頭發出「呵呵」兩聲，也不知從哪裡來的一股力道,心中盤算：「想些什麼法子來折磨他才好？」,游坦之不知哪來的力氣，竟上前抱住阿紫的雙腳，又吻又咬，阿紫嚇壞了，契丹兵急忙將他拉走，狠狠打他，阿紫又在盤算要如何折磨游坦之。
阿紫一抬頭，見遊坦之目不轉瞬地瞧著自己，便問：「你瞧著我幹什麼？」,阿紫聽到他叫喊，笑眯眯地瞧著他背影，想著自己的聰明主意，越想越得意。,阿紫見游坦之一直看自己，問他為何，游坦之說她好看，阿紫暗自歡喜，並想出一個主意和那士兵說。
遊坦之又給架回地牢，拋在乾草堆上。,身上雖多受苦楚，卻可再見到她秀麗的容顏，臉上不禁帶了一絲苦澀的笑容。,游坦之被架回大牢，晚上有人來在他臉上東弄西弄，游坦之以為他們要把他弄死，但過了數日也沒事，後來他們又來，游坦之以為要去見阿紫而心喜。
三個契丹人帶著他走過幾條小巷，走進一間黑沉沉的大石屋。,五個人按手撳腳，遊坦之哪裡還能動得半分？,他們帶游坦之到一鐵匠處，游坦之看到鐵匠對著他比劃，便想到是要做面具給他，嚇得驚聲尖叫。
