此段落最初的2-5句話,此段落最末的2-5句話,段落大意
烏老大臉色立變，待要說話，不平道人向他使個眼色，,不怕各位見笑，我是自己嚇自己，這女娃兒軟倒了，我這不成器的烏老大，險些兒也軟倒了。,烏老大說明查探靈鷲宮時的一場虛驚。
他說到這裡，人群中發出一陣笑聲，各人心情為之一鬆。,我們拷打、浸水、火燙、餓飯，一切法門都使過了，看來她不是倔強，而是真的不會。,烏老大刑求得知俘虜既啞且不會寫字。
段譽忍不住道：「以這等卑鄙手段折磨一個小姑娘，好不害羞！」,慕容複和鄧百川等均想：「此人號稱‘劍神’，未免也太狂妄自大。你劍法再高，又豈能自稱為‘神’？江湖上沒聽過有這麼一號人物，卻不知劍法到底如何高明？」,段譽斥責烏老大的刑求手法，以及劍魚島區島主叛逃立遭斬殺。
烏老大自愧剛才心中疑神疑鬼，大聲道：「眾家兄弟，請大家取出兵刃，每人向這女娃娃砍上一刀，刺上一劍。,段譽跟著叫道：「虛竹師兄，姓段的向你合十頂禮！你少林寺是武林中的泰山北斗，果然名不虛傳！」,烏老大提議砍俘虜身軀用以歃血為盟，但是被少林寺虛竹意外救走。
眾人見那人一掌便將烏老大推開，腳步輕捷，武功著實了得，又聽慕容複和段譽說他是少林寺的和尚，少林寺盛名之下，人人心中存了怯意，不敢過分逼近。,他於江湖上諸般恩怨過節全然不懂，待見烏老大舉刀要砍死一個全無抗拒之力的啞巴女孩，不由得慈悲心大動，心想不管誰是誰非，這女孩非救不可，當即從岩石後面沖出，搶了布袋便走。,不平道人指揮群眾圍守虛竹。旁白說明虛竹救人緣由。
他上峰之後，提氣直奔，眼見越奔樹林越密，追趕者叫嚷呐喊之聲漸漸輕了。,那聲音冷笑道：「你做事不自量力，便有苦頭吃了。」,虛竹逃命時聽見神秘人聲。
這聲音仍是在他背後耳根外響起，虛竹更加驚訝，急忙回頭，背後空蕩蕩的，卻哪裡有人？,虛竹道：「這一跳下去，小僧固然死了，連小僧救了出來的那個女孩也同時送命。一來救人沒有救徹，二來小僧佛法修為尚淺，清淨涅槃是說不上的，勢必又入輪回，重受生死流轉之苦。」,神秘人聲向虛竹分析情勢。
那聲音問道：「你和縹緲峰有甚淵源？何以不顧自己性命，冒險去救此人？」,虛竹也「啊喲」一聲，說道：「小姑娘，原來是你，怎麼你的口音這般老？」當即打開布袋口，扶了一人出來。,神秘人聲向虛竹探問救命緣由，虛竹發覺神秘人聲由自身所救的女童發出。
只見這人身形矮小，便是那個八九歲女童，但雙目如電，炯炯有神，向虛竹瞧來之時，自有一股淩人的威嚴。,本來這全是僥倖，可是小僧一時胡亂妄行，此後罪業非小。唉，真是罪過，我佛慈悲。」說著雙手合十，連宣佛號。,女童向虛竹詢問虛竹為何擁有七寶指環。
那女童將信將疑，道：「這般說，倒也有幾分道理……」,虛竹道：「是，是！是小僧的不是。」又再依法提氣上躍，輕輕落在一根樹枝之上，那樹枝晃了幾下，卻未折斷。,女童傳授虛竹飛躍手法。
