此段落最初的2-5句話,此段落最末的2-5句話,段落大意
這人背上負著五隻布袋，是丐幫的五袋弟子。他逃得十分匆忙，不問可知，自是假傳號令、騙呂長老上船去之人了。,他一聲歎息，拋下手中麻袋，讓兩名執法弟子在手腕上和腳踝上都綁上了牛筋。,吳長風坦承與其他三位長老背叛丐幫，密謀廢去喬峰幫主一職，陳長老感嘆錯失良機，四人束手就擒。
此時天已全黑，傳功長老呂章吩咐弟子燃起火堆。火光照在被綁各人臉上，顯出來的盡是一片沮喪陰沉之意。,這等耿直漢子，均會參與其事？難道自己無意之中做了什麼對不起眾兄弟之事，竟連自己也不知麼？,段譽與王語嫣、阿朱、阿碧四人不巧遇見丐幫內亂，又因尷尬場面不敢離去，四人為喬峰平安感到高興，但喬峰本人十分不解和遺憾。
呂章朗聲道：「眾位兄弟，喬幫主繼任上代汪幫主為本幫首領，並非巧取豪奪，用什麼不正當手段而得此位。,他這句話說得滑稽，各人心中卻均感沉痛，誰都不露絲毫笑容。,呂章為喬峰申述指問全冠清，喬峰為其解穴，向其探聽事由，由其言推敲丐幫眾人心中早對自己有極大的不滿。
呂章道：「幫主吩咐得是。全冠清，你說吧。」,奚宋陳吳四長老，哪一位不是名重武林的前輩？丐幫和四位長老的名聲，你不愛惜，幫中眾兄弟可都愛惜！」,喬峰向眾人解釋自己與段譽四人之關係，並強調是為了丐幫、四長老的名譽，而避免以多欺少的狀況。
眾人聽了這幾句話，又向王語嫣等三個姑娘瞧了幾眼，都覺極為有理，倘若大夥和這三個嬌滴滴的姑娘為難，傳了出去，確是大損丐幫的名聲。,段譽卻眉頭微蹙，心道：「非也，非也！未必，未必！慕容複不見得是什麼大英雄、好漢子。」,吳長風想盡早了事，免得丐幫聲譽受損，也令喬峰更為不解，自己只是救兩人，和相信慕容復，為何招致眾人如此鄙棄。
全冠清道：「這幾個月來，江湖上被害的高手著實不少，都是死於各人本身的成名絕技之下。人人皆知是姑蘇慕容氏所下毒手。,吳長風大聲道：「這公冶乾是好漢子，好朋友！幫主，什麼時候你給我引見引見，讓我跟他對三掌試試。」,喬峰講述遇到自誇江南掌法第二的公孫乾，與其對掌又相約去赤霞莊大飲。
他也不想自己犯上作亂，已成階下之囚，轉眼間便要受刑處死，聽到有人說起英雄好漢，不禁便起結交之心。,不料丐幫數百名幫眾，人人都肅靜傾聽，沒一人以喬峰的言語為無聊。,喬峰與公孫乾分離後，又遇黑衣漢與挑糞擔的鄉下人，二人互不讓道的事情，段譽四人對於此刻說此事感到奇妙，但丐幫眾人卻聽得專注。
喬峰又道：「我看了一會，漸漸驚異起來，發覺那黑衣漢子穩穩站在獨木橋上，身形不動如山，竟是一位身負上乘武功之士。,突然間手掌停在半空，不再落下，哈哈一笑，說道：‘老兄，你跟我比耐心，到底是誰贏了？,黑衣漢實為武林高手，卻不用武力而是與他人說理，但挑糞擔的鄉下人一氣用糞水潑他，本想出手的黑衣漢又停了下來。
那鄉下人也真憊懶，明明是他輸了，卻不肯承認，說道：‘我挑了糞擔，自然是你占了便宜。,自因朱碧二女熟知風波惡的性情，既知莫名其妙與人鬥氣者必是此君，而此君又決不會濫殺無辜。,黑衣漢一展神功，讓鄉下人心服口服，並且飄然離去，讓喬峰以及丐幫眾人敬佩，而此黑衣漢正是風波惡。
只聽喬峰說道：「陳長老，咱們丐幫自居為江湖第一大幫，你是本幫的首要人物，身份名聲，與江南一個武人風波惡自不可同日而語。,人人說我丐幫行事魯莽，冤枉無辜，胡亂殺人。眾兄弟走到江湖之上，給人當面譏笑，背後嘲罵，滋味好得很嗎？,喬峰以理說服桀驁不馴的陳孤雁，以義打動丐幫眾人，強調關於馬副幫主的事情要再詳加調查。
丐幫群雄聽了，盡皆動容。呂章伸手摸著頷下稀稀落落的鬍子，說道：「這話有理。當年我錯殺了一個無辜好人，至今耿耿，唔，至今耿耿！」,武林中好漢誰都將名聲看得極重，不肯令自己死後的名字尚受人損辱，奚山河見喬峰不許他自行了斷，不禁愧惶交集。,丐幫叛變眾人心服口服，就在準備行刑之際，喬峰出面阻止。
喬峰不答，走到法刀之前，說道：「十五年前，契丹國入侵雁門關，奚長老得知訊息，三日不食，四晚不睡，星夜趕回，,喬峰道：「白長老，本幫幫規之中，有這麼一條：‘本幫弟子犯規，不得輕赦，幫主欲加寬容，亦須自流鮮血，以洗淨其罪。’是也不是？」,喬峰寧願受傷流血，也願意用幫規的方式，替奚山河擋罪。
白世鏡臉容仍僵硬如石，緩緩地道：「幫規是有這麼一條，但幫主自流鮮血，洗人之罪，亦須想想是否應當，是否值得。」,我也不喜馬副幫主的為人，見他到來，往往避開，寧可去和一袋二袋的低輩弟子喝烈酒、吃狗肉。,喬峰接著赦免宋、陳兩位長老。
我這脾氣，大家都知道的。但如你以為我想除去你和馬副幫主，可就大錯而特錯了。,說著拔起一柄法刀，先割斷了吳長風腕上的牛筋，跟著插入自己左肩。,喬峰說到吳長風當年獨守鷹愁峽之事，本可將功折罪，但吳長風弄丟紀念金牌，喬峰二話不說再刺左肩為吳擋罪。
吳長風大聲道：「幫主，你大仁大義，吳長風這條性命，從此交了給你。人家說你這個那個，我再也不信了。」,心下更加起疑，向那執法弟子道：「將法刀給我。」那執法弟子雙手捧刀，躬身呈上。,四長老之罪皆被赦免，矛頭接著指向全冠清，全一心等死，但喬峰不准，要問出叛變一事的真相。
喬峰接過法刀，說道：「全舵主，你說知道我身世真相，又說此事與本幫安危有關，到底真相如何，卻又不敢吐實。」,片刻之間，北方那乘馬已奔到了林外，一人縱馬入林，翻身下鞍。,全冠清不肯言明事實真相，喬峰欲將其逐出丐幫，全冠清解袋之際，突然東、北兩方有馬奔馳而來。
那人寬袍大袖，衣飾甚是華麗，他極迅速地除去外衣，露出裡面鶉衣百結的丐幫裝束。,不料這時候他突然趕到，而且制止喬峰閱看西夏軍情，眾人無不驚訝。,來者是丐幫信使，欲傳達緊急軍情給丐幫，正當喬峰欲查閱西夏軍情時，徐長老出現喝止喬峰。
喬峰立即左手一緊，握住紙團，躬身施禮，道：「徐長老安好！」跟著攤開手掌，將紙團送到徐長老面前。,段譽見了這等情狀，料知這譚公、譚婆必是武林中來頭不小的人物。,徐長老是丐幫退隱前輩，喬峰也須對他行禮，徐說明馬大元之遺孀有關係重大的話要說，要眾人稍候，此時又來一個老翁、一個老嫗。
喬峰站起相迎，說道：「太行山沖霄洞譚公、譚婆賢伉儷駕到，有失遠迎，喬峰這裡謝過。」徐長老和傳功、執法等六長老一齊上前施禮。,只聽得蹄聲得得，一頭驢子闖進林來，驢上一人倒轉而騎，背向驢頭，臉朝驢尾。譚婆登時笑顏逐開，叫道：「師哥，你又在玩什麼古怪花樣啦？我打你屁股！」,兩人正是譚公、譚婆，譚婆見喬峰身上有傷，為其醫治，喬峰隱瞞眾人叛變的事情。
眾人瞧那驢背上之人時，只見他縮成一團，似乎是個七八歲的孩童模樣。譚婆伸手一掌往他屁股上拍去。,除了親生的五個兒子外，又廣收門徒，徒子徒孫共達二百余人，「泰山單家」的名頭，在武林中誰都忌憚三分。,譚婆、譚公更顯神通，這時又來一母同胞五兄弟的泰山五雄。
跟著一騎馬馳進林中，泰山五雄一齊上前拉住馬頭，馬背上一個身穿繭綢長袍的老者飄身而下，向喬峰拱手道：「喬幫主，單正不請自來，打擾了。」,譚公尚未答話，那騎驢客搶著說道：「我姓雙，名歪，外號叫做‘鐵屁股判官’。」,緊接著馬夫人也登場，一時之間丐幫群雄聚集，但喬峰心知徐長老以及泰山「鐵面判官」的出現，其中必有蹊蹺。
鐵面判官單正涵養再好，到這地步也不禁怒氣上沖，心想：「我姓單，你就姓雙，我叫正，你就叫歪，這不是沖著我來麼？」,那是不給主人面子，待此間事了之後，自當再來領教閣下的高招。伯山，你自管說吧！,騎驢客趙孫錢，處處針對鐵面判官單正，言詞之中無不得罪，雙方一觸即發。
趙錢孫又學著他道：「咱們在丐幫是客，爭鬧起來，那是不給主人面子，待此間事了之後，自當再來領教閣下的高招。伯山，老子叫你說，你自管說吧！」,我‘趙錢孫李，周吳鄭王’又是什麼人？難道我們說話之時，也容你隨便打斷的麼？,原來趙錢孫認為泰山五雄的到來打斷小娟(譚婆)的話語，因此令他不滿。
單正聽了這番似通非通的言語，心想這人果然腦筋不大靈，說道：「兄弟有一事不明，卻要請教。」,譚婆滿臉皺紋，白女蕭蕭，誰也看不出這又高又大的老嫗，年輕時能有什麼動人之處，竟使得趙錢孫到老不能忘情。,趙錢孫原與譚婆有段情史，但後來譚婆與譚公結婚，趙錢孫傷心至極，甚至捨棄姓名。
譚婆神色忸怩，說道：「師哥，你盡提這些舊事幹什麼？丐幫今日有正經大事要商量，你乖乖地聽著吧。」,若不是眾人親眼見到他張口結舌、滿臉詫異的神情，誰都以為定是出於他的親口。各人循聲望去，見這聲音發自一個身穿淡紅衫子的少女。,眾人從譚公、譚婆及趙錢孫的背景情事，話鋒一轉準備開始進入正題馬副幫主時，又來一人身穿淡紅衫子的少女，模仿趙錢孫剛剛的話語。
那人背轉了身子，正是阿朱。段譽和阿碧、王語嫣都知道她模擬別人舉止和說話的神技,眾人聽她語氣有異，既說「幸好」，又說「虧得」，都不自禁向喬峰瞧去。,來者正是阿朱，在此經波折之後，馬夫人開始講述自己的收拾夫君遺物得到的書信。
喬峰從今晚的種種情事之中，早察覺到有一個重大之極的圖謀在對付自己,不是君子，便是小人。既是小人，便是卑鄙混蛋，那就該殺！」,馬夫人提到當初自己怕耽誤時機便拿著馬大元的遺書前往尋找徐長老，也有單正作證，且單正因為好奇也看到了署名之人。遭趙錢孫痛罵單正怎麼隨意偷看他人信件。
單正向五個兒子擺了擺手，示意不可輕舉妄動，且讓他胡說八道，一筆賬最後總算。,趙錢孫哈哈笑道：「教訓教訓你這臭丫頭，誰叫你這般多嘴多舌！」,單正不明白那趙錢孫為何針對自己，便且走且看。此時譚婆出言聲援趙錢孫，阿朱反譏，被譚婆甩了一巴掌，此時譚公出手為阿朱抹藥。
徐長老不再理會譚婆如何嘮嘮叨叨地埋怨譚公，低沉著嗓子說道：「眾位兄弟，到底寫這封信的人是誰，我此刻不便言明。,徐長老請他千里迢迢地前來分證一件大事，眼見此人癡癡迷迷，說出話來，也不知到底有幾分可信。,徐長老認為寫信之人的身分還不能說出來，但單正、譚公潭婆和寫信之人都和其相熟，可為證人。
