此段落最初的2-5句話,此段落最末的2-5句話,段落大意
太湖中的小舟無篷無帆，甚是簡便，木槳兼作舵用，船身趨向，東南西北,你對我表妹有意，可不是癩蛤蟆想吃天鵝肉嗎？你竟不覺得可恥可笑嗎？」,阿朱見他如此，便笑著說沒關係，最後還是由阿碧為段譽盪舟。段譽躺在船上回想過去的遭遇，無論是親人還是敵人，都是極為重視他的。如今他深慕的王語嫣心中完全無他，阿朱阿碧甚至是包不同，對他雖有禮，卻是不把他當一回事，不免對慕容複起了少有的嫉妒。
想起自己給鳩摩智擒了東來，伯父、爹媽，以及高叔叔、朱丹臣等一定記掛得緊，,段譽受人淩辱欺侮不要緊，卻受不了給人輕視，渾不把他放在心上。,想完了慕容複，段譽又想起大理的家人和木婉清、鍾靈兩個妹子，還有王語嫣、朱碧二女，胡思亂想，總歸而言是他受不了別人不把他放在心上。
轉念又想：「要是我一生一世跟一個姑娘在太湖中乘舟蕩漾，若跟王姑娘在一起，我會神不守舍，,我在夢裡叫你小妹子，你就答應。我如不叫，你就不答應。」阿碧點點頭，微笑道：「好，就是這樣。」,思緒飛過，段譽想自己竟然想認阿碧當妹子，且徵求了阿碧的同意。 
段譽認木婉清、鐘靈為妹，那是無可奈何，把原先的妻子變作了妹子；這次在太湖中認阿碧為妹，卻是一心所願，,充沛的內力緩緩發勁，竟越劃越覺精神奕奕，心中的煩惡鬱悶也漸消減。將近午時，到了無錫城畔。,認了阿碧為妹子後，不久，便和送他一程的阿碧道別，最後便剩段譽一人划著船，到了無錫城畔。
進得城去，行人熙來攘往，甚是繁華，比之大理別有一番風光。,段譽有心要和他攀談幾句，以解心中寂寞，卻不得其便。,進了無錫城，段譽先到一家酒樓覓食，見店裡一位英姿勃勃的漢子，是在江南或大理都未見過的好漢，便想結交。
又喝了三杯酒，只聽得樓梯上腳步聲響，走上兩個人來。,他在大理之時，只不過偶爾喝上幾杯，哪裡見過這般大碗的飲酒，不由得皺起眉頭。,那二人向大漢稟報，有人和他們今晚三更相約惠山。段譽耳力好，將對話全聽了去，同時對方也有所察覺，心中不快，便邀段譽一同拚酒，遂了段譽結交的心願。
那大漢笑道：「咱兩個先來對飲十碗，如何？」段譽見他眼光中頗有譏嘲輕視之色，,暗暗可笑，知他這第三碗酒一下肚，不出片刻，便要醉倒在地。,段譽看到大漢眼中的譏諷，以為大漢也是慕容複的人，又想到在聽香水榭所遭的冷遇，便豪情頓生與對方拚酒，結果是三杯倒。
段譽未喝第三碗酒時，已感煩惡欲嘔，待得又是半斤烈酒灌入腹中，五臟六腑似乎都欲翻轉。,片刻之間，他喝下去的四大碗酒已然盡數逼出。,此時，段譽體內的真氣和酒氣相互作用，突然間丹田中一動，一股真氣沖將上來，段譽依照他師父所授的法門。讓酒在穴道中運行，最後由左手小指排出，他這時所運的真氣線路，便是六脈神劍中的「少澤劍」。
那大漢見段譽漫不在乎地連盡四碗烈酒，甚是歡喜，說道：「很好，很好，酒逢知己千杯少，我先幹為敬。」,今日既不以姓氏身份，又不以文才武功，卻以無中生有的酒量結交了這條漢子，實是生平未有之奇。,大漢以為段譽能喝，又歡喜地灌了幾杯烈酒，就這樣拚了將近四十碗的烈酒，段譽除了擔心對方的身體，也擔心自己的錢包，便提議到此為止，但對能結交這名漢子，心中十分歡喜。
兩人下得樓來，那大漢越走越快，出城後更邁開大步，順著大路疾趨而前，,那大漢神色詫異，說道：「什麼？你……你不是慕容複慕容公子？」,出了酒樓後，兩人又比起了腳力，最後是段譽因內力深厚而略勝一籌。
段譽微笑道：「小弟來到江南，每日裡多聞慕容公子的大名，確然仰慕得緊，不過至今無緣得見。」,小弟雖然不會武功，卻也想去瞧瞧熱鬧。大哥能允可麼？」,段譽和喬峰兩人互相欣賞，便結為異姓兄弟。
喬峰向他查問了幾句，知他果真全然不會武功，不由得嘖嘖稱奇,兩人說著重回無錫城中，這一次不再比拼腳力，並肩緩步而行。,談笑中，段譽向喬峰坦承自己酒量並不好，以及六脈神劍之事。
段譽喜結良友，心情歡暢，但于慕容複及王語嫣兩人卻總是念念不忘，閒談了幾句，,蔣舵主見他們似乎來意不善，生怕抵擋不住，命屬下請‘大仁分舵’遣人應援。」,步行回無錫城中時，喬峰向段譽透露自已來到無錫的目的是查明究竟是不是慕容複殺害了他的朋友。
段譽聽那二人稱喬峰為「幫主」，神態恭謹之極，心道：「原來大哥是什麼幫會的一幫之主。」,段譽的目光一碰到其中一個女郎的臉，便再也移不開了。,交流完情報以後，一人稱喬峰幫主，並有事稟報，是那惠山之約的事情，喬峰順便邀請段譽一同前往。到了目的地，段譽看見了一個讓他無法移開目光的女人。
那少女自然是王語嫣，她輕噫一聲，道：「你也來了？」段譽道：「我也來了。」,大義分舵蔣舵主身後站著的六七個人或手按刀柄，或磨拳擦掌，都是躍躍欲動。,喬峰與包不同兩派人相見，言語間已經針鋒相對，唯喬峰較有氣度，神色淡然。
喬峰卻淡淡地道：「如何是在下的不是，請包三先生指教。」,忽然間半空中一人說道：「世間最愛打架的是誰？是包三先生嗎？非也，非也！那是江南一陣風風波惡。」,喬峰對待慕蓉幫的態度有理，而包不同言語則犀利許多。吵嘴間，一名男子的聲音傳來，原來是江南一陣風風波惡。
段譽抬起頭來，只見一株杏樹的樹枝上站著一人，樹枝不住晃動，那人便隨著樹枝上下起伏。,已然遲了一步，「啊」的一聲大叫，指根處已被他咬出血來。旁觀眾人有的破口而罵，有的哈哈大笑。,風波惡看到丐幫六位長老要偷襲包不同，便上前一起打成一團，風波惡更咬了其中一名長老一口。
包不同一本正經地道：「風四弟，你這招‘呂洞賓咬狗’，名不虛傳，果然已練到了出神入化的境地，,他還道自己隱瞞了數十年的舊事已為她所知，這麼一分心，被風波惡連攻數刀，竟有抵擋不住之勢。,雙方打鬥期間，喬峰在觀察慕容派的時候，慕容派又何嘗不是？過招間王語嫣已經將一名長老所學過的武功摸個徹底。
他連退三步，斜身急走，眼見風波惡揮刀砍到，當即飛起左足，往他右手手腕上踢去。,長臂叟也不追擊，收起了麻袋，不住向王語嫣打量，尋思：「這女娃兒如何得知我是湖北阮家的？」,風波惡越打越痛快，另一方面，六大長老之一放出五色斑斕的毒蠍，螫了風波惡的手。
包不同甚是關心，忙問：「四弟覺得如何？」風波惡左手揮了兩下，覺得並無異狀，,當時只消看上幾眼，多多少少能記得一些，此刻總不至束手無策，眼睜睜地讓風四哥死於非命。」,剛螫到雖無異樣，但蠍子的毒性快又猛，一下子，風波惡便倒在地，包不同一陣悲憤，撲向長老們要搶解藥。
喬峰見包不同與矮長老勢均力故，非片刻間能分勝敗，向長臂叟道：「陳長老，請你給這位風四爺解了毒吧！」,阿朱叫道：「三哥，暫且罷鬥，且回來救了四爺再說。」,此時喬峰出言，要長老拿出解藥解救風波惡，長老雖不願也只能照做。
但包不同的武功和那矮老者在伯仲之間，一交上了手，要想脫身而退，卻也不是數招內便能辦到。,彩蠍的毒質遠遠不如，一吸之下，便順勢流出。突然風波惡身子一動，說道：「多謝！」,阿朱見狀，便馬上呼喚包不同來幫風波惡吸毒。喬峰看包不同那邊的混戰暫時解決不了，便說由他來吸毒，此時段譽想到王語嫣的愁容，便自己先向前為風波惡吸毒。
阿朱等盡皆大喜。阿碧道：「四爺，你會說話了。」心裡感激，,這時心下一怯，功夫減了幾成，變成了只有招架之功，而無還手之力。,解毒後的風波惡又繼續向其他長老挑戰。
喬峰眉頭微皺，心想：「這位風朋友太也不知好歹，我段兄弟好意救了你性命，怎地不分青紅皂白地又去亂打？」,但包不同、風波惡和二長老兀自激戰不休，王語嫣等又在一旁，當著外人之面，不便出言詢問。,此時喬峰皺眉，認為風波惡未免太不識好歹，此時周遭出現了不少腳步聲。原以為是慕容的人馬，沒想到卻是丐幫人士，且見了喬風也不行禮，喬峰懷疑丐幫裡忽生內亂。
陳長老忽然高聲叫道：「結打狗陣！」東南西北四面的丐幫幫眾之中，每一處都奔出十餘人、二十餘人不等，,江湖上有道是‘北喬峰，南慕容’，可是……可是我表哥的武功，怎能……怎能……」,其中陳長老忽喊結陣，將包不同等幾人從東南西北團團圍住。
風波惡搖了搖頭，道：「我打你不過，強弱相差太遠，打起來縛手縛腳，興味索然，喬幫主，再見了！」,咱們先前的想法只怕未必盡然，這中間說不定另有曲折。」全冠清道：「眾兄弟都願聞其詳，請幫主開導。」,風波惡見打不過喬峰，便無趣地道別。
喬峰見他辭意不善，又察覺到諸幫眾的神氣大異平常，幫中定已生了重大變故，,他膝間酸軟，不由自主地跪倒在地。諸幫眾無不失色，人人駭惶，不知如何是好。,喬峰問，幾位重要的長老及舵長是否在場，下面的人竟說不知道。
原來喬峰察言辨色，料知此次叛亂，全冠清必是主謀，若不將他一舉制住，禍亂非小，,蔣舵主躬身答應，領了本舵幫眾，自行去了。,原來喬峰已知全冠清是主謀，便直接擒住他，更吩咐一同叛亂的幫眾去救其他舵主，方可減刑。一旁沒有叛變的蔣舵主也跟著前去。
喬峰口中說得輕描淡寫，心下卻著實擔憂，,各人都有無數言語要說，但在幫主跟前，誰也不敢任意開口。,而喬峰這邊則開始跟段譽引薦幫中重要的長老。等候其他未到舵主。
喬峰說道：「大夥兒分別坐下，我有話說。」眾人齊聲應道：「是！」,突然之間，人叢中一人躍起身來，向林外急奔。,等到眾人到齊，喬峰便開始和大夥開會，商討叛亂之事。由執法長老白世鏡首先問四大長老為何將假傳幫主指示，騙他們上船，且若不從便引火燒船？其中李春來不願說出真相，便直接被白世鏡處死。此時一人躍起，向林中奔去。 
