此段落最初的2-5句話,此段落最末的2-5句話,段落大意
阿朱來到門外，見蕭峰已站在遠處等候，兩人對望一眼，一言不發的向來路而行。,阿朱眉毛一軒，輕聲道：「大哥，聚賢莊是不同的。」蕭峰問：「怎麼不同？」阿朱道：「你忘了嗎？去聚賢莊，是送阿朱去治傷啊，就算龍潭虎穴，那也去了。大哥，那時你心裡有沒有已經有點兒喜歡阿朱呢？」蕭峰呵呵大笑，道：「已經有點兒了吧？」阿朱側頭道：「我要你說不是有點兒，是已經很多很多！」蕭峰微笑道：「好，已經很多！」阿朱道：「他們不知，我大哥第一愛喝酒，第二愛打架。」蕭峰搖頭道：「錯了，你大哥第一愛阿朱，第二才愛喝酒，第三愛打架！」阿朱笑道：「好，多謝你啦。」,阿朱還擔憂帶頭大哥一事，並且覺得馬夫人的神情很奇怪。喬峰安撫她說，他不會讓她孤零零一個人，讓她安心。
兩人到得信陽城客店之中，天已微明，蕭峰立即要了十斤酒，在大堂中開懷暢飲，心中不住盤算如何報仇，想到大理段氏，自然而然記起了那個新結交的金蘭兄弟段譽，不由得心中一凜，呆呆地端著酒碗不飲，臉上神色漸變。,阿朱雖不知蕭峰心中所想的詳情，也料到他總是為報仇之事發愁，便道：「大哥，報仇大事，不爭一朝一夕。咱們謀定而後動，就算敵眾我寡，不能力勝，難道不能智取麼？」蕭峰心頭一喜，想起阿朱機警狡猾，實是個大大的臂助。當即倒滿一碗酒，一飲而盡，說道：「父母之仇，不共戴天。報此大仇，已不用管江湖上的什麼規矩道義，多惡毒的手段也使得上。對了，不能力勝，咱們就跟他智取。」,喬峰思考復仇的事情，並想起了段譽。
阿朱又道：「大哥，除了你親生父母的大仇，還有你養父養母喬家老先生、老太太的血仇，你師父玄苦大師的血仇。」蕭峰伸手在桌上一拍，沉聲道：「是啊，仇怨重重，豈止一端？」,阿朱「啊喲」一聲，說道：「原來都是梵文，這就糟糕了。我本想這本書是要燒給老爺的，我做丫鬟的不該先看，因此經書到手之後，一直沒敢翻來瞧瞧。唉，無怪那些和尚給人盜去了武功秘笈，卻也並不如何在意，原來是本誰也看不懂的天書……」說著唉聲歎氣，極是沮喪。,阿朱告訴蕭峰，大理段氏最厲害的功夫，不是一陽指，而是六脈神劍。而少林派真正的絕學是《易筋經》。
蕭峰一笑，將小包收入懷中。他又斟了一大碗酒，正待再喝，忽聽得門外有人說道：「非也，非也！咱們倘若當真打不過，那就不如不打，何必多出一次醜？」阿朱一聽，不由得心花怒放，知道是「非也，非也」包不同包三哥到了。,阿朱笑道：「酒不大夠吧！」姚伯當二話不說，再買了四葫蘆好酒，和諸保昆分別負在背上，跟在包不同、蕭峰、阿朱三人之後。,蕭峰和阿朱在店裡遇到了包不同，阿朱介紹了蕭峰給包不同認識，並說這是她認定要跟的男人。
包不同道：「我本來是到河南府去接應公子爺的，卻在信陽城遇上了姚寨主和諸兄弟，他二位不打不成相識，結成了好朋友，那倒也挺好。」轉頭對姚諸二人道：「姚寨主，諸兄弟，你們兩位去那邊樹下喝酒去，我要跟蕭大爺商量些要緊事。」姚諸二人應了聲：「是！」站起身來，提了一個酒葫蘆，走得遠遠的，直到再也聽不到包不同說話之處，這才坐下。,包不同道：「阿朱妹子，多謝你啦！你三哥去把性命送了，報答公子爺也就是了，你不必去。」阿朱道：「勝負乃兵家常事，對方勢大，咱們暫且退讓一步，有何不可？」蕭峰忍不住插口道：「咱們明天一起去瞧瞧，叫他們不可欺人太甚！」包不同忙道：「蕭兄弟，對方惡毒之極，有如蛇蠍，咱們便讓一步罷。」說罷起身告辭，與姚諸二人逕自離去。,包不同把秦家寨的姚寨主和青城派的諸大爺支開，然後告訴喬峰關於星宿老怪丁春秋的事情。
蕭峰和阿朱回到客店，收拾了行李，下午便即乘馬趕往桐柏。第二日一早，來到桐柏東北的山下，見四下無人，便在一株大松樹下等候。阿朱道：「大哥，你大仇未報，不值得去碰這種毒蛇般的妖人，須當明哲保身。」蕭峰道：「我要帶你去塞外，從此不回中原，還欠了慕容公子一個情，今日如能小小作個報答，我二人此後在大草原上打獵牧羊，無虧無欠，那就自在得很了。,一個矮矮胖胖的弟子忽地搶出，問道：「二師哥，今日咱們出師不利，這就識時務者為俊傑麼？」獅鼻人道：「好！今日運氣不好，便讓一步，把司馬林放了！」那矮胖子手執鋼刀，過去割斷綁縛司馬林的繩索。司馬林怒不可遏，揮掌向他擊去，矮胖子回掌拍格，啪的聲響，雙掌相交。司馬林奔回本陣，只覺掌上疼痛之極，舉掌看時，但見掌心一片漆黑，卻是中了他的掌毒。,蕭峰希望藉著這個機會，報答慕容家的人情。
蕭峰喝道：「你還要害人！」揮掌從火堆中揚起一塊火頭，向矮胖子飛去。矮胖子避開了，躬身道：「這位大爺尊姓大名？今日我們星宿派暫且認輸，日後我師父星宿老仙再來向閣下領教！」蕭峰森然道：「那倒不必了。今日有什麼事還沒了斷？」矮胖子道：「是，是！」打了幾個手勢，幾名星宿弟子從大車中抬下好幾鞘銀兩，恭恭敬敬地放在蕭峰面前。,那矮胖子道：「這位大爺，這裡二萬兩銀子，是我們從秦家寨取來的，如今完璧歸趙。青山不改，綠水長流，大爺武功了得，佩服，佩服，不過恐怕還不及我們師父。這就再見了。」拱了拱手，扶起二師哥，另一名星宿派弟子扶起五師哥，拖拖拉拉，爬上大車，慢慢地去了。,星宿派向蕭峰認輸，並從大車中抬下好幾鞘銀兩，恭恭敬敬地放在蕭峰面前。
阿朱拉開包不同，輕聲問道：「王姑娘和阿碧妹子在哪裡？」包不同道：「她們早回蘇州了。我這個妹夫便是丐幫的喬峰嗎？」阿朱點了點頭，道：「三哥，慕容家待我和阿碧很好，從小把我們養大，就當自己女兒一樣，待你們也好，就像是自己兄弟。,阿朱道：「三哥，還請你對阿碧妹子說一聲，要她好好保重，也找個真正對她好的男人。」包不同哈哈一笑，手一揮，轉身揚長而去。姚伯當、諸保昆等率領部眾自去。,包不同認出這是前丐幫幫主喬峰，並稱讚他是武功高強的人，很放心阿朱跟他一輩子。
當下蕭峰和阿朱徑回桐柏城。到了中午，兩人在一處酒樓喝酒吃飯，忽聽得門外腳步聲響，有人大聲吼叫。蕭峰微感詫異，搶到門外，只見大街上一個大漢渾身是血，手執兩柄板斧，直上直下地狂舞亂劈。這大漢滿腮虯髯，神態威猛，但目光散亂，行若癲狂。蕭峰見他手中一對大斧系以純鋼打就，甚是沉重，使動時開闔攻守頗有法度，門戶精嚴，儼然是名家風範。,那大漢猛地站起，大聲道：「不，不！大惡人厲害得緊，快，快去稟告主公，請他急速避開。我來抵擋大惡人，你去報訊。」說著站起身來，搶過了板斧。,蕭峰和阿朱回到城裡，看到一位大漢受重傷，但仍揮舞手中的斧頭。
蕭峰伸手按住他肩頭，說道：「老兄，大惡人還沒到，你主公是誰？他在哪裡？」,過了小橋，一忽兒向西，一忽兒向北，一忽兒又向西，總之順著那條小路走，就錯不了。這麼走了二十一裡半，就看到鏡子也似的一大片湖水，那便是小鏡湖了。從這裡去，大略說說是四十裡，其實是三十八裡半，四十裡是不到的。」,大漢說主公在小鏡湖方竹林，要趕快去禀報主公，不能被 大惡人找到主公才好。
