此段落的最初2-5句話,此段落的最末2-5句話,段落大意
次日清晨，段正淳與妻兒話別。聽段譽說木婉清昨晚已隨其母秦紅棉而去，段正淳呆了半晌，歎了幾口氣,段譽叫聲：「啊喲！」全身劇震，顫抖難止。,次日清晨，崔百泉、過彥之已經北上，段正淳帶著巴天石等三公、褚萬里等四護衛，與慧真、慧觀二僧，往陸涼州而去。不久保定定接到段譽中邪的消息，便到鎮南王府探望。原來是眾高手的內力，在段譽體內亂竄，群醫以為他身中其毒，束手無策；保定帝探了段譽的脈象，發現段譽有吸人內力的情形。
保定帝退後兩步，說道：「譽兒，你遇過星宿海的丁春秋嗎？」段譽道：「丁……丁春秋？侄兒不知他是誰。」,這天龍寺乃保定帝常到之地，當下便去謁見方丈本因大師。,保定帝懷疑段譽身負「化功大法」，但段譽言明不曾遇過星宿海丁春秋，所以認為他不可能習得此法，便帶著他前往歷代段氏皇帝避位出家的所在──天龍寺。
本因大師若以俗家輩分排列，是保定帝的叔父，出家人既不拘君臣之禮，也不敘家人輩行，兩人以平等禮法相見。,只見那幾間大屋全以松木搭成，板門木柱，木料均不去皮，天然質樸，和一路行來金碧輝煌的殿堂全不相同。,天龍寺本因方丈按俗家輩分排列，是保定帝的叔父。本因方丈得知段譽情形後，引二人至「牟尼堂」，找三位師兄弟商量。
本因方丈雙手合十，說道：「阿彌陀佛，本因有一事疑難不決，打擾三位師兄弟的功課。」,如有劇痛奇癢，皆是應有之象，不必驚怖。」段譽答應了，依言坐定。,「牟尼堂」中有四個和尚，本因的師兄本觀、本相，師弟本參；另外還有一位面壁不動，並不理會眾人。本因等四名師兄弟將過一番討論，決定稍損內力為段譽治療。四人明知耗損內力，將使正在修練的「六劍神脈」進度落後，卻仍願為段譽治療，保定帝心中既感動又愧疚。
本觀和尚豎起右手拇指，微一凝氣，便按在段譽後腦的風府穴上，一陽指力源源透入。,保定帝道：「是。」心想：「大雪山大輪明王佛法淵深，跟咱們有何瓜葛？」,保定帝與四位和尚同使一陽指，要泄出段譽體內邪毒、邪功，沒想到卻被段譽吸走內力，五人面面相覷驚疑不定。面壁而坐的枯榮長老突然使出「獅子吼」喝斥五人：強敵大雪山大輪明王，近日將至天龍寺挑戰，他們不應在此時自損功力，並要求保定帝一起參詳。
本因方丈從懷中取出一封金光燦爛的信來，遞在保定帝手中。保定帝接了過來，著手重甸甸的，見這信奇異之極,正明，方丈師兄知道善者不來，來者不善，此事後果非小，自己做不得主，請枯榮師叔出來主持大局。」,本因取出吐蕃國國失大輪明王鳩摩智的黃金信箋給保定帝看，信中鳩摩智說要到天龍寺取《六脈神劍經》，焚化於慕容博墳前，一償慕容博的宿願，以此事報答知己。本因方丈認為此事非同小可，於是請出枯榮長老主持大局。
本因道：「本寺雖藏有此經，但說也慚愧，我們無一人能練成經上所載神功，連稍窺堂奧也說不上。,可是你乃世俗之人，如參與佛門弟子的爭端，難免令大輪明王笑我天龍寺無人。」,枯榮長老估量敵人勢力，便促眾人趕緊練成「六脈神劍」，以免日後經書被人所奪，天龍寺一敗塗地。但這門功夫以內功為主，無法速成，保定帝聽了，自知天龍寺是大理國的根本，段譽的病勢與之相比，孰輕孰重當下立判，於是主動詢問可否為天龍寺略盡棉薄之力。
枯榮忽道：「咱們倘若分別練那六脈神劍，不論是誰，終究內力不足，都是練不成的。,但保定帝受枯榮剃度，便成了本因的師弟。當下保定帝去換上了僧袍僧鞋，儼然便是一位有道高僧。,枯榮長老忽然提出取巧的方法，六個人各修習「六脈神劍」其中一脈，再一同出手，以六敵一保經護寺。於是要保定帝加入湊數，並要求他剃光頭、穿僧服。本因為保定帝解釋此套劍法的基本功夫，即是一陽指，只需將指力化作劍氣，從手上的六脈運走即可。保定帝欣然接受枯榮長老的要求，枯榮長老為其剃度，賜法名「本塵」，成了本因的師弟。而段譽看著《六脈神劍經》的圖譜，想起了自己撕爛的那個帛軸。
枯榮大師道：「那大輪明王說不定今晚便至，本因，你將六脈神劍的秘奧傳於本塵。」,每幅圖上都是縱橫交叉的直線、圓圈和弧形。六人專注自己所練一劍的劍氣圖，伸出手指在空中虛點虛劃。,枯榮大師要本因將六脈神劍的奧秘傳給本塵。本塵掌握之後，六人便分別修練六脈劍氣，各自專注圖譜，在空中指劃。
段譽緩緩坐起，只覺體內真氣鼓蕩，比先前更加難受。只因保定帝、本因等五人适才又以不少內力輸進了他體內。,段譽體內的真氣充沛之極，非一時三刻所能收藏得盡，但那法門越行越熟，到後來也越收越快。牟尼堂中七人各自行功，不覺東方之既白。,段譽看到「手太陰肺經」經脈穴道圖時，試著依圖順經行真氣，卻因與裸女帛軸中的圖示不同，覺得膻中穴鼓脹難受，保定帝見狀，便教他導氣歸虛之法，才獲得緩解，於是牟尼堂中的七個人，各自行功直到天亮。
