此段落最初的2-5句話,此段落最末的2-5句話,段落大意
丁春秋殺害玄痛、玄難二僧，乃少林派大仇。少林群僧聽說他到了少室山上，登時群相鼓噪。,這時慕容複、鄧百川等已殺傷了二十餘名星宿派門人，眼見大援到來，當即躍開數丈，暫且罷手不鬥。星宿派眾門人中心栗六，也不上前進迫。,丁春秋領著星宿派門人攻入少室山，各路英雄聚集在少室山，與少林派並肩殺敵。
段譽東一躥、西一晃，沖入人叢，奔到王語嫣身旁，說道：「王姑娘，待會倘若情勢兇險，我再負你出去。」,此刻雖身處星宿派的重圍之中，但得王語嫣與之溫言說笑，天大的事也都置之度外。,段譽關心王語嫣安危，但王語嫣怕慕容復多心，便與段譽保持距離。段譽仍是與王語嫣說笑。
少林群僧布就羅漢大陣，左右翼衛，前後呼應。有幾名星宿派門人向西方衝擊，稍一交峰，便即紛紛負傷。,眼見這四面黃旗傲視江湖的聲勢，擎旗人矯捷剽悍的身手，比之星宿派的自吹自擂，顯然更令人心生肅然之感。,少林群僧布下羅漢大陣，丁春秋按兵不動，但仍講究排場。此時，眾人見丐幫幫主騎馬現身，都道是莊聚賢來到。
黃旗剛豎起，一百數十匹馬疾馳上山，乘者最先的是百餘名六袋弟子，其後是三四十名七袋弟子、十余名八袋弟子。,說這些話的，都是星宿派新入門的弟子，至於摩雲子、追風子等舊人，自然均知阿紫的來歷，想起她背後有蕭峰撐腰，都不禁暗生懼意。,殊不知前來的人竟是阿紫，且丐幫新幫主莊聚賢正是游坦之。此時丐幫打著「星宿派掌門段」的大旗，星宿派門人見之大亂。
一眾僧侶和俗家英雄忽見多了個星宿派掌門人出來，既感駭異，也暗暗稱快，均想這幹邪魔窩裡反，那再好也沒有了。,你覬覦掌門大位，想必是有些真實功夫了，那便過來接我三招如何？」,丁春秋見阿紫打著星宿派掌門的旗號，忍不下這口氣，便欲挑釁阿紫單挑。
突然間眼前一花，身前三尺處已多了一人，正是遊坦之。,甚至閃身躲避，或是以劈空掌之類武功擊打，亦難免受到毒氣的侵襲。,游坦之和丁春秋打了起來，兩人不分高下，且均使出星宿派陰毒武功「腐屍毒」。
游坦之那日和全冠清結伴同行，他心無城府，閱歷又淺，不到一兩天便給全冠清套出了真相。,憑她聰明絕頂，也決計猜不到這位「武功蓋世的莊公子」，竟會來向自己偷學武藝。,游坦之的星宿派武功，原來是從阿紫身上偷學的。
阿紫每說一招，遊坦之便依法試習，他身上既有冰蠶寒毒，又有神足經的上乘內功，兼具正邪兩家之所長，內力非同小可，同樣的一招到了他手中，發出來時便斷樹裂石、威力無窮。,使丐幫幫主莊聚賢成為天下武林第一人，憑此功績威望，自可壓服丐幫中心懷不平之人。,游坦之雖當上丐幫幫主，但幫中不服游坦之的幫眾不少，故全冠清建議游坦之與少林派爭奪武林盟主之位，以便服人。
阿紫喜事好勝的性情，雖盲不改，全冠清這一獻議，大投所好。,這具屍首劇毒無比，這六七上臉上立時蒙上一片黑氣，滾倒在地，抽搐了幾下，便即斃命。,丁春秋與游坦之雙雙使出腐屍毒，星宿派弟子人人驚懼，丐幫弟子也不以為然。
阿紫聽了身旁全冠清述說情狀，只樂得格格嬌笑，,丁春秋正是要他閃避，左手一招，阿紫一聲驚呼，向丁春秋身前飛躍過去。,丁春秋發現游坦之並未習得星宿派的奧妙，故使出「連珠腐屍毒」，讓游坦之閃避，然後藉機擒拿阿紫。
旁觀眾人一見，無不失色。「擒龍功」、「控鶴功」之類功夫如練到上乘境界，原能淩空取物，但最多不過隔著四五尺遠近擒敵拿人，奪人兵刃。,遊坦之身在半空，已見阿紫被擒，驚惶之下向前急撲，六具毒屍已從足底飛過。他左足一著地，右掌便向丁春秋猛力擊去。,丁春秋的障眼術奏效，大笑聲中完成了擲屍、揮索、招手、擒人等招。
丁春秋左手向前探出，便以阿紫的身子去接他這一招開碑裂石的掌力。,各路英雄的俠義之士，都不忍這丐幫幫主如此死于丁春秋手下，呼喝聲中，紛紛搶出相救。,丁春秋趁機對游坦之下殺手，各路英雄紛紛出手相救。
不料丁春秋第五掌擊出，遊坦之回了一掌，丁春秋身形微晃，竟退開一步。,他語無倫次，顯是對阿紫關心已極，卻哪裡還有半分丐幫幫主的風度？,游坦之穩住陣腳，丁春秋落居下風，便以阿紫為人質，威脅游坦之。
丁春秋見他內力陰寒強勁，聽他說話聲音，實在與那鐵頭人十分相似，可是他明明頭上並無鐵罩，而且那鐵頭人又怎能是丐幫幫主？,他這一跪，群雄登時大嘩。丐幫自諸長老以下，無不憤慨莫名，均想：「我幫是天下第一大幫，素以俠義自居，幫主卻去拜邪名素著的星宿老怪為師。咱們萬萬不能再奉此人為幫主。」,游坦之驚懼阿紫性命安危，竟依丁春秋之意，拜丁春秋為師。
猛聽得鑼鼓絲竹響起，星宿派門人大聲歡呼，頌場星宿老仙之聲，響徹雲霄，種種歌功頌德、肉麻不堪的言辭，直非常人所能想像,丁春秋淡淡地道：「殺不殺玄慈，全在於你；殺不殺阿紫，權卻在我。」,丁春秋仍是不放阿紫，且命游坦之去殺少林寺方丈玄慈。
遊坦之轉過身來，大聲道：「少林寺玄慈方丈，少林派是武林中各門派之首，丐幫是江湖上第一大幫，向來並峙中原，不相統屬。今日咱們卻要分個高下，勝者為武林盟主，敗者服從武林盟主號令，不得有違。」,卻不知莊幫主何以今日忽興問罪之師，還盼見告。天下英雄，俱在此間，是非曲直，自有公論。」,玄慈念在丐幫與少林寺交情不淺，不欲和游坦之動手。但游坦之公然挑釁，又不得躲避，故想與游坦之講講理。
遊坦之年輕識淺，不學無術，如何能和玄慈辯論？,游坦之原已將這些話背得十分純熟，突然話到口邊，才覺不對，連說了幾個「星宿老」，卻「老」不下去了。,游坦之不擅言詞，引發眾人大笑。
