此段落最初的2-5句話,此段落最末的2-5句話,段落大意
虛竹吃了一驚，向前搶上兩步。童姥尖聲驚呼，向他奔來。,童姥不住催促虛竹：「快背了我走，離開這賊賤人越遠越好，姥姥不忘你的好處，將來必有重謝。」,天山童姥催促虛竹帶她離開。
那白衫人卻氣定神閑地站在一旁，輕風動裾，飄飄若仙。,姊姊如說妹子有什麼不良念頭，那真太過多心了。」她說得又恭敬，又親熱。,李秋水述說撲空天山童姥返童之日。
虛竹心想童姥乖戾橫蠻，這兩個女子一善一惡，當年結下嫌隙，自然是童姥的不是。,她一拿到寶石指環，語氣立轉，又變得十分的溫雅斯文。,李秋水強搶天山童姥手上的七寶指環。
虛竹忍不住道：「李姑娘，你們是同門師姊妹，出手怎能如此兇狠？無崖子老先生決不是童姥害死的。出家人不打謊話，我不會騙你。」,突然間又是白光一閃，童姥一聲慘呼，白雪皚皚的地上登時流了一大攤鮮血，童姥的一條左腿竟已從她身上分開。,李秋水向天山童姥進行初步報仇。
虛竹這一驚非同小可，怒喝：「同門姊妹，怎能忍心下此毒手？你……你……你簡直禽獸不如！」,虛竹眼望李秋水，尋思：「倘若此話非假，那麼還是這位女施主作惡於先了。」,李秋水與天山童姥互相揭露恩怨。
童姥又道：「今日既然落在你手中，還有什麼話說？這小和尚是‘他’的忘年之交，你可不能動小和尚一根寒毛。否則‘他’決計不能放過你。」說著雙眼一閉，聽由宰割。,李秋水顯是存心要童姥多受驚懼，這一次並不迅捷出手，拿匕首在她那條沒斷的右腿前比來比去。,李秋水向童佬進行進一步報仇。
虛竹大怒：「這女施主忒也殘忍！」心情激蕩，體內北冥真氣在各處經脈中迅速流轉，頓感雙腿穴道解開，酸麻登止。,他來不及細看，已向山坡俯衝而下。,虛竹救天山童姥逃生，中途遭李秋水雙雙擊落。
驀地裡聽得有人喝道：「什麼人？」一股力道從橫裡推將過來，撞在虛竹腰間。,虛竹想到李秋水的心狠手辣，不由得打個寒噤，抱了童姥，沖入樹林。,虛竹與天山童姥落地時受到三層緩衝因而不死。
李秋水從山坡上急奔而下，雖腳步迅捷，終究不能與虛竹的直墮而下相比，其實相距尚遠，但虛竹心下害怕，不敢有片刻停留。,童姥哼了一聲，恨恨地道：「這賤人耳目眾多，東南路上自然早就布下人馬了。」,虛竹與天山童姥分析逃生路線。
沉吟半晌，突然拍手道：「有了，小和尚，你解開無崖子那個珍瓏棋局，第一著下在哪裡？」,童姥罵道：「小和尚不中用，怕什麼？你聽她越叫越遠，不是往東方追下去了嗎？」,天山童姥從珍瓏棋局的解法中想出逃生路線。
果然聽叫聲漸漸遠去，虛竹很是佩服童姥的智計，,說著得意之極，又道：「小和尚，這是學了你的法子，一著最笨、最不合情理的棋子，到頭來卻大有妙用。」,天山童姥與虛竹抵達西夏國。
虛竹心下佩服，說道：「前輩神算，果然人所難測，只不過……只不過……」,但虛竹憑著一股毅力，不到天黑，居然將第一路掌法的口訣不論順念倒念，都已背得朗朗上口，全無窒滯。,天山童姥教導虛竹天山折梅手的口訣。
童姥很是喜歡，說道：「小和尚，倒也虧得你了……啊喲……啊喲！」突然間語氣大變，雙手握拳，在虛竹頭頂上猛擂，,童姥怒道：「我偏要想念你那沒良心的師父，偏要恨那壞心眼的賤人。我心中越煩惱，越開心。」虛竹搖了搖頭，不敢再勸了。,天山童姥發現無崖子與李秋水暗中有愛情往來。
次日童姥又教他第二路掌法的口訣。如此兩人一面趕路，一面練功不輟。到得第五日傍晚，但見前面人煙稠密，來到了一座大城。,你合眼歇一歇，天黑後，咱們便進興州城去吧！,天山童姥向虛竹傳授天山折梅手完畢。
到了二更時分，童姥命虛竹將她負在背上，奔到興州城外，躍過護城河後，翻上城牆，輕輕溜下地來。,虛竹聽她說練成神功之後要殺李秋水，更加不願陪著她造惡業，站起身來，說道：「前輩，小僧便要勸你，你也一定不肯聽的。何況小僧知識淺薄，笨嘴笨舌，也想不出什麼話來相勸，我看冤家宜解不宜結，得放手時且放手吧。」一面說，一面走向石階。,虛竹與天山童姥竊入西夏皇宮冰庫後，虛竹欲離開。
童姥喝道：「給我站住，我不許你走。」,突然想起：「我將這小和尚一掌擊斃，他無知無覺，仍道是他這片歪理對而我錯了，哼哼，豈有此理！」收回手掌，自行調息運功。,天山童姥強行將虛竹留下。
過得片刻，她跳上石階，推門而出，折了一根樹枝支撐，徑往御花園中奔去。,童姥笑道：「經云：有求皆苦，無求即樂。你一心要遵守佛戒，那便是‘求’了，求而不得，心中便苦。須得安心無為，形隨運轉，佛戒能遵便遵，不能遵便不遵，那才叫做‘無求’，哈哈，哈哈！」,天山童姥向虛竹強灌鶴血。
如此過了一個多月，童姥已回復到六十歲時的功力，出入冰庫和御花園時直如無形鬼魅，若不是忌憚李秋水，早就離宮他去了。,此後數日之中，童姥總是大魚大肉去灌他。虛竹逆來順受，除了念經，便即睡覺。,天山童姥向虛竹強灌葷食。
