此段落的最初2-5句話,此段落的最末2-5句話,段落大意
這聲音少說也在十餘丈外，但傳入王夫人和慕容複的耳鼓，卻如近在咫尺。,這情勢甚是明顯，段延慶如要取風波惡性命，簡直易如反掌，只暫且手下留情而已。,段延慶殺到，風波惡、包不同、鄧百川、公冶乾四人迎戰，慕容復隨後加入戰局。段延慶擊倒風波惡，並不痛下殺手。
慕容複倏地向後跳開，叫道：「且住！」鄧百川、公冶乾、包不同三人同時躍開。,慕容複、鄧百川、王夫人等分別縱高伏底閃避，均各駭然。,慕容復見狀叫停，向段延慶認輸，風波惡不甘心，再次舉刀攻擊，段延慶以內力震斷單刀，單刀四散飛開，慕容復、鄧百川、王夫人驚駭閃避。
慕容複拱手道：「段先生神功蓋世，佩服，佩服。咱們就此化敵為友如何？」,只怕慕容複大言炎炎，別輕易上了他當，說道：「你說能擒到段譽，豈不知空想無益、空言無憑？」,慕容復見風轉舵，改與段延慶合作，並說明自己是為了自己打算：一來要報當日段譽差點讓他自刎的仇，二來在段延慶登基後，有大事需要他的幫助。段延慶聽他說得坦率，信了七八成，再問慕容復打算如何制服段譽。
慕容複微微一笑，說道：「這位王夫人，是在下的舅母，段譽這小子已為我舅母所擒。,待閣下受禪大理國皇位之後，須將段正淳交與我舅母，那時是殺是剮、油煎火焚，一憑我舅母處置。」,慕容復告訴段延慶，段譽已被王夫人所擒，打算以段譽和他交換段正淳。
段延慶哈哈一笑，心道：「他禪位之後，我原要將他處死，你代我動手，那再好也沒有了。」,等殿下正位為大理國君之後，慕容複要向大理國主借兵一萬、糧餉稱足，以為興複大燕之用。」,段延慶欣然答應，詢問慕容復需要幫助的大事為何？慕容復便告訴段延慶，希望在他登基後，向他借兵借糧，作為復興大燕之用。
慕容複是大燕皇裔一事，當慕容博在少室山上阻止慕容複自刎之時，段延慶冷眼旁觀，已猜中了十之七八,段延慶喜道：「如此甚好。」突然之間，一陣尖嘯聲從他腹中發出。,段延慶經過一番思索計較，決定先假意接受條件，未來再將慕容復除去。雙方便準備開始交易。
王夫人一驚，只聽得遠處蹄聲隱隱，車聲隆隆，幾輛騾車向這邊馳來。,鬧得不可開交之時，只好來個不告而別，溜之大吉，萬沒想到自己正當處境最為窘迫之際，偏又遇上了她。,王夫人急著要見思念已久的段正淳，見面後眼淚奪空而出。段正淳見了王夫人卻是臉色大變，眾多風流債主中，她最為難纏，所以當初他才會不告而別，溜之大吉，沒想到會在自己最窘迫的時候與她重逢。
段正淳雖用情不專，但對每一個情人卻也都真誠相待，一凜之下，立時便為王夫人著想,王夫人冷笑道：「你認出來了麼？」段正淳低聲道：「認出來了。我恨不得當年便和你雙雙終老于姑蘇曼陀山莊……」,段正淳雖用情不專，但對情人全都是真誠相待，此時也對王夫人表現出關懷愛護之情。段正淳從莊子裡的茶花布置，看出這是王夫人的住所，想起從前在姑蘇曼陀山莊的日子
南海鱷神和雲中鶴將後面二輛大車中的俘虜也都引了進來。一輛車中是刀白鳳、鐘夫人甘寶寶、秦紅棉、阮星竹四個女子,但若以「狐狸精」、「賤女人」相稱，心中也覺不妥，一股「我見猶憐，何況老奴」之意，不禁油然而生。,二大車俘虜，除了段正淳的四個女人，還包括了華赫艮、傅思歸、崔百泉、過彥之等五人，全被段延慶點了穴。原來段正淳接到保定帝的諭旨，命他回大理登基接位，他當下立即帶著秦紅棉、阮星竹緩緩南歸，沒料到刀白鳳、甘寶寶先後趕到；其後又有靈鷲宮諸女傳訊示警，以為「厲害對頭」就是段延慶，沒想到其實是王夫人。段正淳一改道，反而落入段延慶手中，而段譽卻中了王夫人佈置的種種圈套。
段譽在隔室聽到父親和母親同時到來，卻又俱落大對頭之手，不由得又喜歡，又擔憂。,卻不知段譽服食莽牯朱蛤後，一時昏迷，不多時便即回復知覺，只是身處絏縲，和神智昏迷的情狀亦無多大分別。,王夫人與段延慶雙方開始交易，段延慶忌憚段譽的六脈神劍，於是手按在段正淳肩上，讓段譽有所顧忌。
段正淳苦笑道：「阿蘿，你拿住了我譽兒幹什麼？他又沒得罪你。」,王夫人全不理睬，只亂踢段譽。,慕容復擔心王夫人與段正淳舊情復燃壞他大事，首先發難，說段譽玷汙了王語嫣的清白，死有餘辜。此話一出，段正淳臉色慘白，王夫人忍不住怒氣，哭著將王語嫣是段正淳親骨肉的秘密全盤托出，並對段正淳亂踢，秦紅棉對她叫罵，她轉而亂踢段譽。
南海鱷神眼見地下躺著的正是師父，當下伸手在王夫人肩頭一推，喝道：「喂，他是我師父。你踢我師父，等如是踢我。,兇殘狠辣，當真世所罕見，「天下第一惡人」之名確非虛傳。眼看到這般情狀，無不惴惴。,南海鱷神眼見師父段譽躺在地下，伸手推了王夫人，段延慶喝斥他，他卻說非救師父不可，將綁縛段譽的牛筋扯斷，段延慶大吃一驚，立即以鋼杖貫穿南海鱷神的胸口，讓他當場斃命。
