此段落最初的2-5句話,此段落最末的2-5句話,段落大意
此刻室中的情景，蕭峰若非親眼所見，不論是誰說與他知，他必斥之為荒謬妄誕。,蕭峰心想：「聽她說話，倒跟秦紅棉、阮星竹差不多，莫非……莫非……她也是段正淳的舊情人麼？」,蕭峯看見段正淳和馬夫人四目相投，充滿濃濃愛意，想來她也是段正淳的情人之一。
段正淳低聲細氣地道：「我在大理，哪一天不是牽肚掛腸地想著我的小康？,這位馬夫人卻是柔到了極處，膩到了極處，又是另一種風流。,段正淳向馬夫人說多年未來的原因，馬夫人十分思念他。
段正淳眉花眼笑，伸手將她拉了過來，摟在懷裡。,段正淳卻道：「且不忙說，來，我給你脫衣衫，你在枕頭邊輕輕說給我聽。」,窗外阮星竹、秦紅棉等四人怒火中燒，蕭峯擔心她們壞事點了她們穴道，而窗內的兩人邊喝酒邊說著風情言語。
馬夫人白了他一眼，道：「你想呢！,當時她雖年幼不懂事，但渾不顧念自己父親，卻也不該。」,馬夫人說著她小時候的故事，想要有花衣花鞋卻一直沒有。
只聽她又說下去：「我爹說：‘小妹，咱們趕明兒再養幾頭羊，到明年賣了，一定給你買花衣服。,心中說不出的歡喜，比我自己有新衣服穿還痛快，也不去想明天大人們知道了之後會怎樣。」,隔壁江家姊姊的新衣新褲令馬夫人羨慕，趁著她熟睡時，馬夫人將那衣服褲子剪得粉碎，十分痛快！
段正淳一直臉蘊笑意，聽到這裡，臉上漸漸變色，頗為不快，說道：「小康，別說這些舊事啦，咱們睡吧！」,蕭峰雖對這婦人心下厭憎，燭光下見到她的眼波，聽到她「你來抱我」這四個字，也不自禁地怦然心動。,段正淳不想再聽下去，馬夫人繼續說，段正淳沒了性子，馬夫人微笑叫段正淳來抱她。
段正淳哈哈一笑，撐著炕邊，要站起來去抱她，卻是酒喝得多了，竟站不起身，,其實他一陽指是會的，六脈神劍可就不會，顯是在虛聲恫嚇。他若沒了內力，一陽指也使不出來。,段正淳要起身竟起不來，覺著奇怪，發現想提氣卻無法使力，連一陽指也使不出來了。
馬夫人軟洋洋地道：「啊喲，我頭暈得緊，段郎，莫非……莫非在這酒中，你做了手腳麼？」,段正淳寫道：「只盼藥性早過，敵人緩來。」說道：「是啊，有人肯來給咱們作耍，正求之不得。小康，你要不要瞧瞧我淩空點穴的手段？」,段正淳疑心是馬夫人下手，但聽到她的回答頓時消了戒心，和馬夫人一起嘴上說假話，實則在桌上寫字。
馬夫人笑道：「我可從來沒見過，你既內力未失，便使一陽指在紙窗上戳個窟窿，好不好？」,言念及此，便即寬心。,馬夫人對段正淳故意裝傻，確定他真的沒有內力後，便原形畢露，說出是自己「不小心」下的毒！
果然聽得馬夫人問道：「段郎，你肯不肯和我做長久夫妻？」,笑道：「段郎，剛才我說那個故事給你聽，你明白了我的意思吧？」,段正淳裝鎮定，對於馬夫人提的要求都一一答應，但馬夫人已然不相信他了。
段正淳額頭冷汗涔涔而下，勉力鎮懾心神。,說著拉開炕旁抽屜，取出一根纏著牛筋的絲繩。,馬夫人為段正淳擦汗，回憶起往年，馬夫人覺著段正淳不真誠，拿起繩子要綁住他的手腳。
段正淳心下更驚：「原來她早就一切預備妥當，我卻一直給蒙在鼓裡,換作了第二個男人，就算給你滿床珠寶，你也決計不肯在他身上咬上一口。你說是不是呢？」,馬夫人兌現當年的誓言，真的咬了段正淳的肉下來！段正淳即使大叫，還是撐著。
秦紅棉和阮星竹早嚇得六神無主，均知段正淳已命在頃刻，但見蕭峰仍蹲在窗下觀看動靜，並不出手相救，心中千百遍地罵他。,凡是妻子謀害了丈夫，死了的丈夫總是陰魂不散，纏在她身邊，以防第二個男人來跟她相好。,蕭峯不知馬夫人會做到何種地步，若真的危害段正淳性命，便會出手相救。
