此段落最初的2-5句話,此段落最末的2-5句話,段落大意
 猛聽得山腰裡一人叫道：「使不得，千萬不可傷了王姑娘，我向你投降便是。」, 段譽立足不定，一跤往左便倒，額頭撞上一塊岩石，登時鮮血長流。, 段譽出面阻止有人傷害王語嫣，但是被揍了一拳。
 那頭陀見他奔來的輕功，只道他武功甚強，反手這一拳虛招，, 段譽急沖搶前，反手將王語嫣負在背上，叫道：「逃命要緊！」,頭陀要慕容復投降否則要對王語嫣不利 ，段譽使出了「六脈神劍」功夫後帶王語嫣逃走。
 那頭陀在地下抄起戒刀，猛吼一聲，向段譽砍去。, 說道：「此地危險，不能久耽，我還是先給你解開穴道，再謀脫身的為是。」, 段譽帶著王語嫣逃走，王語嫣被點穴，穴位不方便游段譽來解開。
 王語嫣紅著臉道：「不好！」一抬頭，見慕容複與鄧百川等仍在人叢之中衝殺，, 蹲下身來，又將她負在背上。, 王語嫣跟段譽說必須回去救慕容複，段譽本來要一人前往，最後還是帶著王語嫣一起。
段譽初次背負她時，一心在救她脫險，全未思及其餘， , 雖在性命相搏的險境，卻覺風光旖旎，實為生平從所未曆的豔遇。, 段譽背著王語嫣，卻有了不良念頭，打自己，還被王語嫣發現。
他又打倒兩人，距慕容複已不過二丈，驀地裡風聲響動，兩個身材矮小的青衫客躥縱而至， , 再見他鋼錘打來，便即閃避，不敢硬接。,段譽背著王語嫣往慕容複的方向又更接近了 ，但被手持活蛇的人困住了，想要點穴卻被避開了。
 忽聽得王語嫣叫道：「表哥，使‘金燈萬盞’，轉‘披襟當風’。」,「各位瞧貧道薄面，暫且罷鬥，慢慢再行分辨是非如何？」, 王語嫣對慕容復大喊可以使出的招術，在她分心看慕容複的時候，段譽被毒蛇咬了。
 慕容複見他露了這手輕功，已知此人武功甚為了得，說道：, 生出反激，托住他身子緩緩而落，這拂塵上真氣反激之力，委實厲害。, 有人出聲想制止這場亂鬥，被烏老大詢問名字，有另一個口吃的人替他說話，那人被稱作不平道長。
烏老大脫口叫道：「‘憑虛臨風’，好輕功！」他叫聲甫歇， , 言下之意，果是不願他在此多所逗留。,
 不平道人卻道：「烏老大，你知慕容公子是什麼人？」, 王語嫣素知他說話前言不對後語，微微一笑，也不理會。, 不平道人向烏老大介紹慕容複，語中提及天山童姥，四周群豪頗為驚懼。
 只聽不平道人續道：「各位受盡天山童姥的淩辱荼毒，實無人生樂趣，, 我最多不過給你通風報訊，要救你性命可沒這份能耐。」這聲音少說也在三四裡外。,不平道人作勢要將烏老大等人反叛之事告知天山童姥，其他人意欲滅口。 
 這人剛說完，北邊山峰上有個女子聲音清脆爽朗地響起：「牛鼻子，誰要你多管閒事？, 他求慕容複相助，明明是迫於無奈，非出本心，但這幾句話卻顯然說得十分誠懇。, 烏老大請劍神與芙蓉仙子共商大計，即便迫於無奈仍誠懇地開口請求慕容複留下相助。
 慕容複道：「諸位此間高手如雲，如何用得著在下……」他已想好了一番言語，, ，簡直是結成了生死之交，不禁驚喜交集。, 慕容複出於利益考量答應幫助烏老大等人。
 鄧百川等四人卻均愕然。他們向來聽從慕容複的號令，即令事事喜歡反其道而行的包不同，, 王語嫣隨即也明白了他吟這兩句詩的含意，臉上又是一紅，只想立時便走到慕容複身邊，苦於穴道未解，沒法移步。, 段譽放下王語嫣，想像她隨慕容複離去；王語嫣明白段譽之意，因而臉紅。
不平道人道：「烏老大，恭喜恭喜，慕容公子肯出手相助，大事已成功了九成， , 只怕眼前這福報立時便即享盡……唉，她是再也不願我伸手扶她的了。」, 慕容複想向段譽引薦不平道人和烏老大，但段譽一心注意王語嫣，在意王語嫣和他的關係
 不平道人和烏老大見他雙眼無神，望著空處，對慕容複的引見聽而不聞，再加以雙眉緊蹙，, 每日裡觀身不淨，作青瘀想，作膿血想，從此六根清淨，一塵不染……」, 
慕容複不知段譽武功的真相，見不平道人與烏老大齊受困厄，臉色大變，只道段譽存心反擊， , 若是敵人，你武功雖高，說不得只好決一死戰了。」說著斜眼相視，神色凜然。, 
段譽為情所困，哪裡有烏老大半分的英雄氣概？垂頭喪氣地道：「我自己的煩惱多得不得了， , 這些洞主島主之中，有四人适才在混戰中為慕容複所殺，這四人的下屬見到慕容複時，自是氣憤恨惡。,烏老大質疑段譽是敵是友，而不平道人利用王語嫣將段譽留下，後烏老大引見各洞主島主 
 慕容複朗聲道：「在下失手誤傷貴方數位朋友，好生過意不去，今後自當盡力，,「各位請就地坐下吧，由在下述說我們的苦衷。」,各路高手約定暫時放下私怨，共同對付天山童姥。 
包不同突然插口：「你們這些人物，殺人放火、下毒擄掠， , 見他正全神貫注地凝視烏老大，全沒留意段譽吟詩，這才放心。, 烏老大正要述說其苦衷，卻遭段譽吟詩興感打斷。
 烏老大道：「慕容公子和不平道長等諸位此刻已不是外人，說出來也不怕列位見笑。, 他手腕只須輕輕一動，便即牽動琵琶骨，疼痛可想而知。, 眾人述說遭天山童姥欺壓的慘況。
 段譽怒極，大叫：「反了，反了！天下竟有如此陰險狠惡的人物。, 包不同伸了伸舌頭，道：「渾蛋，渾蛋！厲害，厲害！」, 縹緲峰的景況向來無人得知，曾偷看過天山童姥的人遭刺瞎並割舌斷臂。
 烏老大道：「我和安洞主、欽島主等上縹緲峰之時，九個人都怕得要命。, 另一處劍傷，當是在背心‘懸樞’穴，一劍斬斷了脊椎骨，不知是也不是？」, 烏老大和安洞主、欽島主當初上縹緲峰交付採購之物時並未湊齊物品，下峰卻發現九翼道人死於兩處劍傷。
 烏老大一驚非小，說道：「當時姑娘也在縹緲峰下麼？怎地我們都……都沒瞧……瞧見姑娘？」, 以九翼道人武功之強，用劍本不易傷他，最好是用判官筆、點穴橛之類短兵刃克制，既用了劍，那麼當以這一招最具靈效。」, 王語嫣分析打敗九翼道人的過程及九翼道人的劍傷從何而來。
烏老大長籲了一口氣，如釋重負，隔了半晌，才大拇指一豎， , 「如果你要殺……殺……殺烏老大，那便如……如……如……」, 烏老大因王語嫣能一口道出九翼道人的死法而對王語嫣感到震驚，一旁的口吃之人也想探探她的虛實
 烏老大聽他問王語嫣如何來殺自己，怒從心起，喝道：「你問這話，是什麼居心？」,務請從實相告，此事非同小可，兒戲不得。」,面對眾人及擔心被人得知其作為的烏老大輪番逼迫下，王語嫣告知慕容復攻略的法門，但他卻礙於面子不願聽取
 段譽當王語嫣走到慕容複身邊之時神貫注地凝，全視，, 向段譽的背影連望數眼，驚疑不定。, 段譽在側，偷聽得王語嫣所說，便輕功一轉溜進烏老大身後，不待他回擊便捉住其要害，雖無心無力致其於死，卻也讓烏老大膽顫心驚，連連求饒
 不平道人道：「烏老大，你有這樣大本領的高人拔刀相助，當真可喜可賀。」, ‘莫……莫非老夫人……生了……生了……’」,烏老大道出天山童姥功夫之高強，卻引起眾人懷疑，也不禁讓大家猜測起擊斃九翼道人的究竟是何人，這時，口吃的安洞主開口了。
慕容複知他指的是那個口吃之人，心道：「原來這人便是安洞主。」, 四下打量，果見辛雙清遠遠倚在一塊大岩之旁，低頭沉思，臉上深有憂色。,安洞主推測天山童姥生了病。至於天山童姥的年紀，無人知曉。
 烏老大續道：「大夥兒隨即想起：‘人必有死，童姥本領再高, 島主之時，並無安洞主在內。,眾人原想確認天山童姥生病後再做打算，但因害怕生死符落入他人手中，只能一探究竟。
烏老大道：「安洞主喜歡清靜，不愛結交,就是商議此事，但聽烏老大提及，仍不禁喝彩。,安洞主探得天山童姥生病離峰。
段譽搖了搖頭，說道：「聞病則喜，幸災樂禍！」,別說我沒高見，就是有高見，我也不說了。」,烏老大再次印證天山童姥生病屬實，欲與眾人商議日後打算，段譽卻不願乘人之危。
