此段落的最初2-5句話,此段落的最末2-5句話,段落大意
天色一明，倒為木婉清解開了難題，反正逃不走了,雲中鶴道：「老大來了怎麼辦？」葉二娘叫道：「你別多管閒事，我很快就回來。」,南海鱷神捉了木婉清當人質，以逼迫段譽當他的弟子。
木婉清走向崖邊，只見一個人影捷如飛鳥般向山下馳去，一起一落，形如鬼魅，,這雲中鶴偏偏跟你為難，你還不為你的乖徒兒報仇？」,木婉清挑撥南海鱷神和雲中鶴，讓這兩個人內訌。
南海鱷神聽到這裡，目中凶光大盛，呼的一聲，縱身向雲中鶴撲去。,南海鱷神狂笑聲中，鱷尾鞭疾卷而上。,南海鱷神與雲中鶴各自使出獨門兵器對戰。
突然間一條青影從二人之間輕飄飄地插入，正是葉二娘到了。,只將山山略加移動，這四下淩厲狠辣的劍招便都只使得半招而止。山山卻已嚇得放聲大哭。,葉二娘拐了左子穆的小兒歸來，無量劍掌門人左子穆追上山來救兒子，不敵葉二娘。
雲中鶴給南海鱷神追得繞山三匝，鋼抓又斷了二指，一口怒氣無處發洩，,南海鱷神贊道：「老四，這兩下子不壞，還不算丟臉。」,雲中鶴被南海鱷神追打落敗，一怒之下用鋼爪重傷左子穆。
葉二娘笑吟吟地道：「左大掌門，你見到我們老大沒有？」,左子穆戀戀不捨，向兒子瞧了幾眼，左手按著肩頭傷處，轉過頭來，慢慢向崖下走去。,左子穆答應葉二娘會下山找八個孩兒來換回他的兒子。
木婉清見到那孩兒淒苦的情狀，心想：「這葉二娘沒來由的強要他們父子分離,兩人縱身而起，一溜煙般向鐵哨聲來處奔去，片刻間便已隱沒在岩後。,山峰後響起鐵哨子聲，南海鱷神和雲中鶴去迎接老大。
葉二娘卻漫不在乎，仍慢條斯理地逗弄孩兒，向木婉清斜看一眼，,勢頭帶得他向後跌出兩步。三人都是一驚，不約而同地抬頭向長劍瞧去。,葉二娘發現木婉清眼睛長得很美。要求左子穆把她的眼珠子挖掉。
只見劍身被一條細長軟索卷住，軟索盡頭是根鐵杆，持在一個身穿黃衣的軍官手中,那持判官筆的護衛朱丹臣抱拳還禮，其餘三人並不理會。,左子穆正要動手挖木婉清的眼珠，大理國四大護衛及時趕到出手相救。
那最先趕到的護衛褚萬里抖動鐵杆，軟索上所卷的長劍在空中不住晃動，,小心！傅兄，你這一棍打得偏高了。古兄，你的斧頭別……別往我孩兒身上招呼。」,木婉清說段譽已經給惡人們害死了，大理國四大護衛悲憤交加，決心向葉二娘報仇，雙方交戰，葉二娘拿左子穆的小兒當盾牌。
正混亂間，山背後突然飄來一陣笛聲，清亮激越，,此害不除，大理國中不知更將有多少小兒遭殃。」,高君侯突然出現，救下左子穆的小兒，葉二娘逃逸。
褚萬里揮動鐵杆，軟索上卷著的長劍托地飛出，倒轉劍柄，向左子穆飛去,木婉清微笑道：「我幹嗎要賴？」段譽大喜，抱得她更加緊了。,段譽突然出現，苦等他七天七夜的木婉清心力交瘁昏厥，甦醒後言歸於好。
那日南海鱷神擄了木婉清而去，段譽獨處高崖，焦急萬狀,「啟稟聖使，這小子不會半點武功，卻老是亂七八糟地瞎搗亂。」,段譽描述這七天內的經歷。困處高崖時遇到了神農幫幫主司空玄、無量劍掌門左子穆、西宗掌門辛雙清參見靈鷲宮聖使。
那女子道：「你們說見到那兩個冒充我姊姊的賤人逃到了這山峰上，卻又在哪裡？,說罷，再也不向眾人多瞧一眼，逕自下峰，她屬下八名女子跟隨在後。,靈鷲宮聖使追究兩個被冒充的姐妹的下落，責怪司空玄太糊塗，威脅不給他生死符的解藥，並交待辛雙清把段譽帶下山。
司空玄一直跪在地下，見九女下峰，忙躍起身來奔到崖邊，,這位司空玄幫主之死，跟我的干係可著實不小。」心下甚覺歉仄。,司空玄見聖使離開，跳崖自殺。
辛雙清指著無量劍東宗的兩名男弟子道：「你們照料著段相公下去。」,錢光勝打開房門，鬱游標將他推進門內，關上木門，只聽得喀喇一聲響，外面已上了鎖。,辛雙清命令郁游標和錢光勝帶段譽下山，但是卻不放他走，挾持段譽到無量洞監禁。
段譽大叫：「你們無量劍講理不講？這可不是把我當做了犯人嗎？,記住了像上的經脈和穴位，便照著卷軸中所記的法門練了起來。,段譽被監禁，又被禁止出聲，百無聊賴。從懷中摸出秘笈開始研究北冥神功，一下就記住了所有經脈和穴位。
文中言道：本門內功，適與各家各派之內功逆其道而行，,單是貪多務得，便非好事，當下暫不理會。,段譽背下“手太陰肺經”的所有經脈穴道，認為這門功夫雖然取人內力損人利己，但只要用之為善，也不至於太不應該。
卷到卷軸末端，又見到了「淩波微步」那四字，登時便想起《洛神賦》中那些句子來,腦子中來來去去的不是少商、膻中、關元、中極諸穴道，便是同人、大有、歸妹、未濟等易卦方位。,段譽翻到卷軸末端的淩波微步，發現這是逃命的妙法，練起來百利而無一害，於是在屋子裡鑽研練習，一日過去已學了三成。
睡到中夜，猛聽得「江昂、江昂、江昂」幾下巨吼，,聽得吼聲停歇，便也不以為意，著枕又睡。,段譽睡到半夜，突然聽到江昂幾下巨吼，原來是無量山中的奇獸出現了。
