此段落的最初2-5句話,此段落的最末2-5句話,段落大意
段譽回過頭來，只見一個身穿家人服色的漢子快步走來，便是先前隔著板壁所見的來福兒。,他不住吆喝「快跑」，黑玫瑰四蹄猶如離地一般，疾馳而歸。,段譽借得良馬直奔大理途中，發現有人欲加害馬主人，便返回通報。
將到屋前，忽地兩條杆棒貼地揮來，直擊馬蹄。黑玫瑰不等段譽應變，自行縱躍而過，後腿飛出，砰的一聲，將一名持杆棒的漢子踢得直摜了出去。,頭髮花白，滿臉橫肉，說話聲音比尋常男子還粗了幾分，左右腰間各插兩柄闊刃短刀，一柄刀上沾滿了鮮血，來福兒顯是她殺的。,段譽返回借馬處，被瑞婆婆逮個正著。
段譽見到這柄血刃，氣往上沖，大聲道：「聽你們口音都是外路人，竟來到大理胡亂殺人，要知道大理雖是小邦，卻也有王法。瑞婆婆什麼來頭，在下全然不知，她就算是大宋國的皇太后，也不能來大理擅自殺人啊！」,段譽道：「在下騎了黑玫瑰，途中遇到伏擊，有兩個強徒誤認在下便是姑娘，口出不遜之言，在下覺得不妥，非來向姑娘報個訊息不可。」,段譽被瑞婆婆、平婆婆質問來意，段譽表明是為了要通報借馬人家將有危難。
那女郎道：「報什麼訊？」,黑衣女子尖聲叫道：「我師父就在你背後！」,原來黑衣女郎與瑞婆婆等人早有恩怨。
瑞婆婆、平婆婆等都吃了一驚，一齊轉頭，背後卻哪裡有人？,那老者一跤摔倒，在地下爬了丈許，這才死去。,段譽為了幫助黑衣女郎脫身，將自己的任務交代給黑衣女郎，並把鈿盒交給女郎。
段譽怒道：「喂，胖婆婆，這位老爺子是你們自己人啊，你怎地忽下毒手？」,那女郎全身黑衣，黑夜中一團漆黑，睜眼什麼都瞧不見，惟有一股芬馥之氣繚繞鼻際，更增幾分詭秘。,黑衣女郎將段譽搭救出來，一同騎著黑玫瑰狂奔離去。
黑玫瑰奔了一陣，敵人喧叫聲已絲毫不聞。段譽道：「姑娘，沒料到你這麼好本事，請放我起來吧。」,段譽道：「我……我……對你……對你……一片好心……」突然腦袋撞上路邊一塊突出的石頭，登時昏了過去。,段譽與黑衣女郎鬥嘴，黑衣女郎便把段譽拖行在馬後。
也不知過了多少時候，只覺頭上一陣清涼，便醒了過來，接著口中汩汩進水，他急忙閉口，卻忍不住咳嗽起來。,段譽忙道：「我信，我信！那倒不用試了！」,黑衣女郎逼段譽認錯求情，段譽不服，便繼續折磨段譽。
那女郎見他開口說話，算是服了自己，也就不再折磨他了，提起他放上馬鞍，自己躍上馬背，這一次居然將他放得頭高腳低，優待了些。,正遲疑間，忽聽得身後遠遠傳來一聲清嘯。,段譽趁解手時，跨上黑玫瑰奔逃。
黑玫瑰聽得嘯聲，立時掉頭，從來路奔回。段譽大吃一驚，忙叫：「好馬兒，乖馬兒，不能回去。」,鐘姑娘苦待救援，度日如年，她見我既不回去，她父親又不來救，只道我沒給她送信，以為我是個無情無義之人。好歹我得趕到無量山去，跟她死在一塊，也好叫她明白我決不相負之意。」,黑衣女郎放走段譽，段譽卻不敢向黑衣女郎拿回鈿盒。又無馬可以趕路，決定返回無量山。
心意已決，當即辨明方向，邁開大步，趕向無量山去。,段譽苦笑道：「幹老兄、幹大嫂，恭喜你二位百年好合，白頭偕老，無量劍東宗西宗合併歸宗。」,段譽在小飯店吃飯，不料又被干光豪、葛師妹兩人撞見。
干光豪哈哈大笑，回頭向那葛師妹望了一眼，段譽順著他目光瞧去，見那葛師妹一張鵝蛋臉，左頰上有幾粒白麻子，倒也頗有幾分姿色。,段譽朗聲道：「若不是你發了這兩枚短箭，我這當兒腦袋已不在脖子上啦。」那女郎仍不理睬。,干光豪拔劍想殺段譽，黑衣女郎現身相救。
店主人追將出來，叫道：「相……相公，出……出了人命啦！可不得了啊！」,居中一人喝道：「你們兩個，便是無量劍的干光豪與葛光佩，是不是？」,段譽與黑衣少女兩人，被刺客誤認為是干光豪和葛光珮。
段譽道：「不是，不是。干光豪和葛姑娘，早已那個……那個了。」,段譽將屍體逐一拖入草叢，說道：「本來該當替你們起個墳墓才是，可惜這裡沒鏟子。唉，四位姑娘年紀輕輕，容貌雖不算美，也不醜陋……」,段譽與黑衣女郎聯手擊退四名刺客。
那女郎聽他說到容貌美醜，問道：「喂，你怎知道我臉上沒麻子，又是什麼花容月貌了？」段譽笑道：「這是想當然耳！」,說著走到黑玫瑰之旁，躍上馬背，手指西北方，道：「無量劍的劍湖宮是在那邊，是不是？」段譽道：「好像是的。」,黑衣女郎展現潑辣性格，一邊和段譽鬥嘴，一邊前往無量山劍湖宮。
兩人一個乘馬，一個步行，緩緩向西北方行去。走了一會，那女郎問道：「金盒子裡的時辰八字是誰的？」,段譽指著火頭，道：「神農幫就在那邊。咱們悄悄過去，搶了鍾靈就逃，好不好？」,段譽要黑衣女郎去救鍾靈，他自己要去騙取斷腸散的解藥。
那女郎冷冷地道：「怎麼逃法？」段譽道：「你和鐘靈騎了黑玫瑰快奔，神農幫追你們不上的。」,那兩人應道：「是，是！」站起身來，倒退幾步，這才轉身向大火堆奔去。,神農幫眾將段譽、黑衣女郎誤以為是靈鷲宮聖使，畢恭畢敬。
段譽向那女郎低聲道：「靈鷲宮是他們的頂頭上司。」扯下斗篷頭罩，圍住了口鼻，只露出一對眼睛。,鍾靈急道：「什麼這個那個的？你解不了他的毒，我叫爹爹也不給你解毒。」,兩人假冒聖使，向司空玄騙回鍾靈以及斷腸散解藥。
那黑衣女郎忍不住喝道：「鍾靈，別多嘴！你段大哥死不了。」,司空玄一聽之下，只覺這句反話煞是厲害，嚇得魂不附體，險些暈倒。他身後兩人見幫主簌簌發抖，生怕他掌中的靈丹聖藥跌落，急忙搶上扶住。,司空玄被段譽二人騙得團團轉，不疑有他。
段譽和二女行出數十丈，再也聽不到神農幫的聲息。,但心中欣喜，也不以為意，說道：「木姊姊，你兩個怎地會遇見的？」那女郎哼了一聲，不加理睬。,段譽成功救出鍾靈，並卸除偽裝，和鍾靈重逢。
段譽道：「咱們一路走，一路說。」,跟著左邊右邊又各到了一人，左邊是個白須老者，手中橫向執一柄鐵鏟，右首那人是個年紀不大的漢子，手持長劍。段譽依稀記得，這兩人都曾參與圍攻木婉清。,黑衣女郎才剛自我介紹，叫做木婉清。瑞婆婆等人卻又追上來。
木婉清冷笑道：「你們陰魂不散，居然一直追到了這裡，能耐倒也不小。」,段譽叫道：「我不走，我不走！」但他沒鐘靈力大，給她拉著，踉蹌而行。,鍾靈拉著段譽要逃，段譽卻要陪同木婉清。
忽聽木婉清尖聲叫道：「鐘靈，你自己給我快滾，不許拉他。」鐘靈拉得段譽更快，突然間嗤的一聲，她頭髻一顫，一枚短箭插上了她髮髻。木婉清喝道：「你再不放手，我射你眼睛。」,平婆婆大叫：「小賤人受了傷，不用拿活口了，殺了便算。」,木婉清受傷，段譽於情急之中加入混仗。
段譽見木婉清受傷，心中大急，待要依樣葫蘆，搶過去抱起那老者的屍體衝撞,幸虧黑玫瑰神駿，在滿山亂石的山坡上仍奔行如飛。又馳了一陣，黑玫瑰前腳突然一跪，右前膝在岩石上撞了一下，賓士登緩，一跛一拐地顛蹶起來。,木婉清不敵眾人追殺，任由黑玫瑰疾奔。
段譽心中焦急，說道：「木姑娘，你讓我下馬吧，你一個人容易脫身。他們跟我無冤無仇，便拿住了我也不打緊。」,段譽吃痛，忙道：「好啦，好啦，我不開口便是。」,兩人暫時脫身。
