此段落的最初2-5句話,此段落的最末2-5句話,段落大意
段譽等一行人馬不停蹄，在道非止一日，自興州而至皋蘭、秦州，東向漢中，經廣元、劍閣而至蜀北。,人多勢眾，就算殺不了段延慶，總不能讓他欺侮了咱們。」段譽點頭道：「正是這個主意。」,段譽一行人連日趕路要追上鎮南王段正淳，沿途有靈鷲宮玄天、朱天兩部傳書，向鎮南王示警。半路上段譽與巴天石、朱丹臣猜想要對付段正淳的對頭，應該就是段延慶，共同商議應對之策。
眾人將到綿州時，只聽得前面馬蹄聲響，兩騎並馳而來。,「王爺既已繞道東行，咱們便逕自南下，想來在成都一帶，便可遇上王爺。」段譽點頭道：「甚是。」,到了綿州，靈鷲宮玄天部部屬來告訴段譽：鎮南王接到示警後，已經改道東行，要繞路回大理。段譽得知消息來源是義妹阿碧，心裡感激。其後一行人便直接南下，預估在成都一帶可以與鎮南王相遇。
一行人南下過了綿州，來到成都。錦官城繁華富庶，甲於西南。,二女改口以姊妹相稱，雖見段譽和王語嫣言笑晏晏，神態親密，卻也無可奈何，亦只黯然惆悵而已。,一行人到了成都，閒逛了數日，不見段正淳到來，心裡都明白，鎮南王有兩位夫人相陪，自然是沿途遊山玩水，緩慢前進了。木婉清與鍾靈改以姐妹相稱，兩人看著段譽和王語嫣神態親密，卻也無可奈何，只能黯然惆悵。
這日傍晚，將到楊柳場時，天色陡變，黃豆大的雨滴猛灑下來。,鐘靈拍手笑道：「你這麼一填，一幅畫就完完全全，更無虧缺了。」,傍晚突然降下了大雨，一行人到一位老漢家中躲雨，為求謹慎，朱丹臣報了假姓，眾人提高警覺。段譽看屋中一副畫裡的題字缺了幾字，便提筆補上。
段譽放下筆不久，賈老者推門進來，又順手掩上了門，見到畫中缺字已然補上，當即滿臉堆歡,酒飯罷，眼見大雨不止，賈老者又誠懇留客，段譽等當晚便在莊中借宿。,賈老者進門看見畫上的缺字已經補上，滿臉堆歡，又出去準備豐盛的飲食招待眾人。席間老者說著自己的遭遇，眾人半信半疑。吃飽後大雨仍然不止，老者便留他們在莊中過夜。
臨睡之時，巴天石悄悄跟木婉清道：「木姑娘，今晚警醒著些兒，我瞧這地方總是有些兒邪門。」,大筆一揮，便騙得兩餐酒飯，一晚住宿，卻不花半文錢。」眾人都笑了起來。,當夜巴天石提醒木婉清提高警覺，但卻一夜平安無事。隔日告別老者時，他還堅決不接受朱丹臣給的銀兩小費，並且恭謹送客，眾人都覺得奇怪，鍾靈開起玩笑，希望沿途都有這樣的便宜可佔。
說也奇怪，鐘靈說的是一句玩笑言語，不料旅途之中，當真接二連三地出現了圖畫。,對方若是下毒，須瞞不過他的眼去，然始終見酒飯一無異狀，且主人總是先飲先食，以示無他。,旅途中當真如鍾靈所說，接連出現有缺誤的圖畫題字，經段譽修補後，圖畫主人總會殷勤接待，且分文不收；無論巴天石與朱丹臣如何套問，都問不出實情來，酒飯也查絕不出有下毒的情形。
漸行漸南，天時也漸溫暖，一路上山深林密，長草叢生，與北國西夏相較，景象大不相同。,「靈妹，幸好得你見到了這燒飯……燒飯的炊煙，免了大家在樹頂露宿。」,一行人漸行漸南，途經一片樹林，朱丹臣為大夥解釋各時節的瘴氣，鍾靈誤把燒飯的炊煙看成瘴氣，一行人才得以循著炊煙，找到落腳過夜的地方。
一行人朝著炊煙走去，來到近處，見林中搭著七八間木屋，屋旁堆滿了木材，當是伐木工人的住所。,眾人待那婆婆煮好飯後，向她討了些米做飯，木屋中無酒無肉，大夥兒吃些乾菜，就著白米飯，也就抵過了肚饑。,一行人來到一處木場，遇見一個聾啞老婆婆，經王語嫣耐心打交道，老婆婆提供眾人吃食，吃過之後，眾人便在屋中分邊睡下。
各人剛睡下，忽聽得中間房嗒嗒幾聲，有人用火刀火石打火，但打來打去打不著。,兩人回進木屋，段譽、王語嫣、鐘靈也都已聞聲而起。,晚間，老婦不斷打火，逐次遍取巴天石、朱丹臣、木婉清的打火石，眾人覺得蹊蹺，聞聲而起。
