此段落最初的2-5句話,此段落最末的2-5句話,段落大意
虛竹一驚之下，叫道：「啊喲，不好了，她……她……」,虛竹一怔，道：「我不肯助前輩害人，卻更加不願別人加害前輩。」,李秋水欲逼出虛竹與天山童姥。
童姥道：「你心地倒好。這件事我早已千百遍想過了。,虛竹忍不住想起前幾日和那少女歡會的情景，欲念大興，全身熱血流動，肌膚發燙。,李秋水假裝與無崖子交談。
但聽得童姥喘息粗重，罵道：「賊賤人，師弟從來沒真心喜歡你，你這般無恥勾引他，好不要臉！」,哈哈，你喜歡倚多為勝，不妨便叫幫手進來。你動手搬開冰塊啊！你傳音出去啊！」,天山童姥將李秋水引進冰庫。
一霎時間，虛竹心中轉過了無數念頭：童姥激怒了李秋水，引得她進了冰窖，隨即投擲大冰塊，堵塞大門，決意和她拼搏生死。,虛竹見二人身手之快，當真匪夷所思，哪裡分得出誰是童姥，誰是李秋水？,虛竹見到天山童姥與李秋水相鬥。
火折燃燒極快，片刻間便燒盡了，一下輕輕的嗤聲過去，冰窖中又是一團漆黑，但聞掌風呼呼。,虛竹勸道：「師伯、師叔，你們兩位既是一家人，又何必深仇不解，苦苦相爭？過去的事，大家揭過去就算了。」,虛竹發現化解生死符的手法就是天山六陽掌。
李秋水道：「夢郎，你年紀輕，不知道老賊婆用心的險惡，你站在一邊……」,虛竹又驚惶，又傷心，緊緊抱住童姥，叫道：「師叔，你……你……你將師伯打死了，你好狠心！」忍不住哭了出來。,天山童姥假裝戰死。
李秋水道：「這人奸詐得緊，這一掌未必打得死她！」,虛竹又驚又喜，叫道：「前輩，你沒死麼？好……好極了！」,天山童姥成功反殺李秋水。
原來童姥功虧一簣，終於沒能練成神功，而在雪峰頂上又給李秋水斷了一腿，重傷後功力大損，,虛竹瞧瞧李秋水，又瞧瞧童姥，見她受傷顯然也極沉重，伏在石階上呻吟出聲。虛竹但覺越瞧越清楚，似乎冰窖中漸漸亮了起來，側頭往光亮射來處望去，見第一層冰窖中竟有一團火光，脫口叫道：「啊喲！有人來了！」,天山童姥與李秋水兩敗俱傷。
童姥吃了一驚，心想：「有人到來，我終究栽在這賤人手下了。」,她這一下摔跌，正好碰在虛竹身上，彈向李秋水右側。積水之中，三人竟擠成了一團。,天山童姥、李秋水、虛竹困於冰庫。
童姥身材遠比虛竹及李秋水矮小，其時冰水剛浸到李秋水胸口，卻已到了童姥頸中。,兩人都心高氣傲，怨毒積累了數十年，哪一個肯先罷手？再者內力離體他去，精力雖越來越衰，這散功之苦卻也因此而得消解。,虛竹的身體成為天山童姥與李秋水比較內力的戰場。
又過一頓飯時分，冰水漲到了李秋水口邊，她不識水性，不敢學童姥這麼浮在水面，當即停閉呼吸，以「龜息功」與敵人相拼，任由冰水漲過了眼睛、眉毛、額頭，渾厚的內力仍不絕發出。,原來三層冰窖中堆滿冰塊，極是寒冷，冰水流下之後，又慢慢凝結成冰，竟將三人都凍結在冰中了。,虛竹三人被凍結在冰中。
堅冰凝結，童姥和李秋水的內力就此隔絕，不再傳到虛竹身上， ,門外明月在天，花影鋪地，卻是深夜時分。,虛竹成功逃出冰庫。
他心頭一喜：「黑暗中闖出皇宮，可就容易得多了。」,奔了一會，到了城牆腳下，他又一提氣上了城頭，翻城而過，城頭上守卒只眼睛一花，什麼東西也沒看見。,虛竹逃出西夏城。
虛竹直奔到離城十餘裡的荒郊，四下更無房屋，才停了腳步，將兩團冰塊放下，,心道：「師伯今年已九十六歲，師叔少說也有八十多歲了。二人都是這麼一大把年紀，竟然還這等看不開，火氣都這麼大。」,天山童姥與李秋水醒來後，又開始打鬥。
他擠衣擰水，突然啪的一聲，一物掉在地下，卻是無崖子給他的那幅圖畫。,虛竹見二人神疲力竭，轉眼都要虛脫，勸道：「師伯、師叔，你們兩位還是好好休息一會兒，別再勞神了。」童姥怒道：「不成！」,天山童姥與李秋水鬥嘴。
便在這時，西南方忽然傳來叮噹、叮噹幾下清脆的駝鈴。,虛竹驚叫：「師叔，師叔！」輕輕推了推她肩頭，想推她醒轉，不料李秋水應手而倒，斜臥於地，竟已死了。,李秋水利用重傷樣貌詐死。
童姥哈哈大笑，說道：「好，好，好！小賤人嚇死了，哈哈，我大仇報了，賊賤人終於先我而死，哈哈，哈哈……」,屬下無能，追隨來遲，該死，該死！」說著連連磕頭。,天山童姥的部下到場。
童姥道：「你們個個衣衫破爛，這三個多月之中，路上想來也吃了點兒苦頭。」,虛竹雙手亂搖，道：「罷了，罷了！我怎能做你們的主人？」,天山童姥將靈鷲宮主的位置傳給虛竹。
