此段落最初的2-5句話,此段落最末的2-5句話,段落大意
單正聽到喬峰這震耳欲聾的怒吼，腦中陡然一陣暈眩，腳下踉蹌，站立不定。群雄也都不由自主地退了幾步。單小山自旁搶上，挺刀刺出。,那大漢夾著喬峰，從旗鬥中蕩出，頃刻間越過那株大樹，已在離旗杆十餘丈處落地。他跟著又甩長索，再繞遠處大樹，如此幾個起落，已走得無影無蹤。,正當喬峰快被刀子刺穿胸膛時，一名臉蒙黑布，只露出了兩隻眼睛的黑衣大漢用長索繩子救出喬峰，大家都追不上他們。
喬峰受傷雖重，神智未失，這大漢以長索救他脫險，一舉一動，他都看得清清楚楚，自是深感他救命之恩，,又想：「這甩索的準頭膂力，我也能辦到，但以長索當做兵刃，同時揮擊數十人，這一招‘天女散花’的軟鞭功夫，我就不能使得如他這般恰到好處。」,喬峰雖然受了重傷，但神智非常清醒，他知道黑衣大漢救他的經過，也非常感謝黑衣大漢的救命之恩。
那黑衣大漢將他放上馬背，兩人一騎，徑向北行。那大漢取出金創藥來，敷上喬峰三處傷口。,那大漢一對晶光燦然的眼光在他臉上轉來轉去，過得半晌，說道：「山洞中有足用半月的乾糧，你在此養傷，敵人沒法到來。」,黑衣大漢帶著喬峰來到一個偏僻的山洞，並在山洞裡準備了半個月的糧食，讓喬峰安心養傷。
那大漢又向他打量了一會，忽然右手揮出，啪的一聲，打了他一記耳光。這一下出手奇快，喬峰一來絕沒想到他竟會擊打自己，二來這一掌也當真打得高明之極，竟然沒能避開。,那大漢使滿第二十招，見喬峰雖在重傷之餘，仍變招奇快，認穴奇准，陡然間收掌後躍，說道：「你這人愚不可及，我本來不該救你！」喬峰道：「謹領恩公教誨。」,那位黑衣大漢突然向喬峰出招，喬峰只守不攻，不敢對救他的恩人出手攻擊。
那人罵道：「你這臭騾子，練就了這樣一身天下無敵的武功，怎地去為一個瘦骨伶仃的女娃子枉送性命？她跟你非親非故，無恩無義，又不是什麼傾國傾城的美貌佳人，只不過是一個低三下四的小丫頭而已。天下哪有你這等大傻瓜？」,峰歎了口氣，說道：「恩公教訓得是。喬峰以有用之身，做此莽撞之事，原是不當！只是一時氣憤難當，蠻勁發作，便沒細思後果。」,黑衣大漢罵喬峰武功高強，卻為了救一個普通女子而差點送命。
喬峰只覺他長笑聲中大有悲涼憤慨之意，不禁愕然。驀地裡見那大漢拔身而起，躍出丈餘，身形一晃，已在一塊大岩之後隱沒。喬峰叫道：「恩公，恩公！」但見他接連縱躍，轉過山峽，竟遠遠地去了。喬峰只跨出一步，便搖搖欲倒，忙伸手扶住山壁。,那大漢給他敷的金創藥極具靈效，此時已止住了血，幾個時辰後，疼痛漸減。他身子壯健，內功深厚，所受也只皮肉外傷，雖然不輕，但過得七八天，傷口已好了小半。,黑衣大漢大笑幾聲之後，就離開山洞。
,仇人無法猜到，那也罷了，這位恩公卻和自己拆過二十招，該當料得到他的家數門派，可是他一招一式全是平平無奇，於質樸無華之中現極大能耐，就像是自己在聚賢莊中所使的「太祖長拳」一般，招式中絕不洩漏身份來歷。,在養傷期間，喬峰不禁思索誰是殺害自己父母和師父的兇手，那位救他的黑衣大漢又是誰？
那一壇酒在頭兩天之中，便已給他喝了個壇底朝天，堪堪到得二十天上，自覺傷口已好了七八成，酒癮大發，再也忍耐不住，料想躍峽逾谷，已然無礙，便從山洞中走了出來，翻山越嶺，重涉江湖。,心下尋思：「阿朱落入他們手中，要死便早已死了，倘若能活，也不用我再去管她。眼前第一件要緊事，是要查明我到底是何等樣人。爹、娘、師父，于一日之間逝世，我的身世之謎更加難明，須得到雁門關外，去瞧瞧那石壁上的遺文。」,喬峰在傷口好了七八成之後，離開山洞。
盤算已定，徑向西北，到得鎮上，先喝上了二十來碗酒。只過得三天，身邊僅剩的幾兩碎銀便都化作美酒，喝得精光。,這日來到梁縣，身邊銀兩已盡，當晚潛入縣衙，在公庫盜了幾百兩銀子。一路上大吃大喝，雞鴨魚肉、高粱美酒，都是大宋官家給他付錢。不一日來到河東路代州。,喬峰身上的錢都拿去買酒、用光了。他來到梁縣，晚上潛入縣衙拿走了幾百兩銀子，一路上當做盤纏，大吃大喝。
雁門關在代州之北三十裡的雁門險道。喬峰昔年行俠江湖，也曾到過，只是當時身有要事，匆匆一過，未曾留心。他到代州時已是午初，在城中飽餐一頓，喝了十來碗酒，便出城向北。,喬峰想起當年過雁門關時，曾聽同伴言道，戰國時趙國大將李牧、漢朝大將郅都，都曾在雁門駐守，抗禦匈奴入侵。倘若自己真是匈奴、契丹後裔，那麼千餘年來侵犯中國的，都是自己的祖宗了。,喬峰來到雁門關，為了避免官兵的盤查，他從關西的高嶺繞道而行。
向北眺望地勢，尋思：「那日汪幫主、趙錢孫等在雁門關外伏擊契丹武士，定要選一處最占形勢的山坡，左近十餘裡之內，地形之佳，莫過於西北角這處山側。十之八九，他們定會在此設伏。」,回過頭來，往右首山壁上望去，只見那一片山壁天生的平淨光滑，但正中一大片山石上卻盡是斧鑿的印痕，顯而易見，是有人故意將留下的字跡削去了。,喬峰找到了智光大師說的那塊大岩石，卻發現山石上面刻的字都被斧鑿削掉了，有人故意把刻字清除了。
喬峰呆立在石壁之前，不禁怒火上沖，只想揮刀舉掌亂殺，猛然間想起一事：「我離丐幫之時，曾斷單正的鋼刀立誓，說道，我是漢人也好，是契丹人也好，決計不殺一個漢人。可是我在聚賢莊上，一舉殺了多少人？此刻又想殺人，豈非大違誓言？唉，事已至此，我不犯人，人來犯我，倘若束手待斃，任人宰割，豈是男子漢大丈夫的行徑？」,喬峰心中郁怒難申，仍一掌掌地劈去，似要將這一個多月來所受的種種委屈，都要向這塊石壁發洩。到得後來，手掌出血，一個個血手印拍上石壁，他兀自不停。,喬峰發現有人故意清除了刻字，不禁覺得怒火中燒，一掌又一掌地往山壁上劈去，發洩心中的委屈和鬱悶。
