此段落最初的2-5句話,此段落最末的2-5句話,段落大意
鳩摩智明知跟這小僧動手，勝之不武，不勝為笑，但情勢如此，已不由得自己避戰，,虛竹右臂橫格，鳩摩智和他手腕相交，驀地裡手臂劇震，跟著一陣酸麻，急運小無相功抵禦時，竟為對方手臂「臂臑穴」上傳來的小無相功化去。,虛竹與鳩摩智過招。
鳩摩智一驚非同小可，背上冒出冷汗，想起了那日在蘇州曼陀山莊中的往事：,鳩摩智知「琅嬛」是仙人藏書之所，心念一動，莫非這些櫃中所藏，皆是武學珍籍？,鳩摩智陷入回憶，並於回憶中摸進小樓。
只見那人手持燭臺，在書櫃前一隻只地瞧去。,丁春秋道：「不用心急，你每日讀上一個時辰，順讀倒背都純熟了，再照書上法門練氣，練得兩冊，我再教你。」兩人說了幾句閒話，王夫人下樓而去。,鳩摩智聽到小無相功典籍的讀法。
丁春秋練完功之後，將書冊放入書櫃，吹滅燭火離房。,他回到吐蕃後，先依照功訣，練成了第八本中所載的奇經四脈，再轉回頭練所缺第七本中所載的奇經四脈時，竟遇上了若干阻滯，好在沖脈、帶脈的功行不常使用，他也不以為意，心想其餘常奇十六脈的功行融會貫通之後，這餘下奇經四脈的功行水到渠成，自能融通。,鳩摩智偷到小無相功並開始練功。
這次他得到訊息，丐幫向少林寺發了戰書，要爭為中原武林盟主。,鳩摩智心驚之下，見虛竹又是一招「黑虎偷心」打到，突然間掌一沉，雙手陡探，已抓住虛竹右拳，正是少林絕技「龍爪功」中的一招，左手拿著虛竹的小指，右手拿住他拇指，運力急拗，准擬這一下立時便拗斷他兩根手指。,鳩摩智偷學到的小無相功不全，被虛竹抓到弱點。
虛竹兩指受拗，不能再使「黑虎偷心」，手指劇痛之際，自然而然地使出「天山折梅手」來，右腕轉個小圈，翻將過來，拿住了鳩摩智左腕。,旁觀群僧齊聲驚呼。神山、觀心等都不自禁地搖頭，均想：「以鳩摩智如此身份，鬥不過少林寺一個青年僧人，已然聲名掃地，再使兵刃偷襲，簡直不成體統。」,鳩摩智不敵虛竹，便以兵刃偷襲虛竹。
突然人叢中搶出四名僧人，青光閃閃，四柄長劍同時刺向鳩摩智咽喉。,神山、觀心、道清、融智等諸高僧陡見少林寺中竟會有僧裝女子出現，無不大感驚訝。聽到玄慈方丈一個「請」字，都站了起來。知客僧分別迎入客舍，供奉齋飯。,梅蘭竹菊四人出現在少林寺，使少林寺聲譽遭受質疑。
一眾外客剛轉過身子，還沒走出大殿，梅劍便道：「主人，咱姊妹私自下山，前來服侍你，你可別責怪。」,虛竹溫和謙遜，遠不如童姥禦下有威，她們對之就不怎麼懼怕，只知對主人忠心耿耿，渾不知這些胡鬧妄為有什麼不該。,梅蘭竹菊四人說明緣根態度轉變的緣由。旁白說明梅蘭竹菊四人不黯世事的緣由。
玄慈說道：「除玄字輩眾位師兄弟外，余僧各歸僧房。慧輪留下。」,眾僧适才見到了他劇鬥鳩摩智的身手，對他所述均無懷疑，都想：「若非他一身而集逍遙派三大高手的神功，又在靈鷲宮石壁上領悟了上乘武技，如何能敵得住吐蕃國師的絕世神通？」,虛竹向方丈說明自身在近日的經歷。
虛竹說罷，向著佛像五體投地，稽首禮拜,若對虛竹責罰不嚴，天下勢必都道少林派護短，但重門戶，不論是非，只講武功，不管戒律。這等說法流傳出外，卻也是將少林寺的清譽毀了。,少林寺討論對虛竹的處罰。
便在此時，一位老僧在兩名弟子攙扶之下，從後殿緩步走了出來，正是玄渡。,群僧一齊躬身說道：「方丈高見，願遵法旨。」,少林寺討論出解決寺難的方針。
玄慈向玄寂道：「師弟，請你執行本寺戒律。」玄寂道：「是！」,過不多時，鳩摩智、神山、觀心等客寺高僧來到大殿。鐘聲響起，慧字輩、虛字輩、空字輩群僧又列隊而入，站立兩廂。,少林寺在客人面前公開處置虛竹。
玄慈合十說道：「吐蕃國國師、列位師兄請了。,說到後來，言語慈和懇切，甚有殷勤勸誡之意。,少林寺方丈公布對虛竹的具體罰則。
