此段落的最初2-5句話,此段落的最末2-5句話,段落大意
遊坦之提了葫蘆，快步而行，回到南京，向阿紫稟報，說已捉到冰蠶。,室裡帶了幾名契丹兵，將遊坦之的屍身放入馬車，拖到城外。阿紫既沒吩咐好好安葬，室裡也懶得費心挖坑埋葬，見道旁有條小溪，將屍體丟入溪中，便即回城。,阿紫得到冰蠶後捉了毒蛇、毒蟲來相鬥，發現沒有毒蟲能擋，阿紫叫游坦之來讓蠶吸血，游坦之被凍僵，阿紫搗碎冰蠶，運功吸收漿血，欲練毒掌，並以為游坦之死了，託人將他埋葬。
室裡這麼一偷懶，卻救了遊坦之的性命。原來遊坦之手指一給冰蠶咬住，當即以《欲三摩地斷行成就神足經》中運功之法，,心道：「她一見到我，定是拿我來試她的毒掌。倘若毒掌練成，自然一掌將我打死了。倘若還沒練成，又會叫我去捉毒蛇毒蟲，直到她毒掌練成、能將我一掌打死為止。始終是死，我回去做什麼？」,游坦之被當作屍體扔進溪裡，不過因為被冰蠶咬時有運功，不但沒死還將冰蠶的寒毒吸進體內。他雖死裡逃生，冷靜分析過決定不再回去找對他無情的阿紫。
他站起身來，抖去身上的冰塊，尋思：「卻到哪裡去好？」,漸行漸南，這一日已到了中州河南地界。他自知鐵頭駭人，白天只在荒野山洞樹林中歇宿，一到天黑，才出來到人家去偷食。其實他身手已敏捷異常，始終沒給人發覺。,游坦之不知道要去哪裡，在荒野中遊蕩，第二日晚上拿出一易筋經來做，發現書上有隱藏圖形，遇濕即顯，也在照做的過程中發現像有冰蠶在他體內爬行。幾個月後他已掌力高強，但他卻不知道這是易筋經與冰蠶的毒加成後的功力。
這一日他在路邊一座小破廟中睡覺，忽聽得腳步聲響，有三人走進廟來。,大聲道：「眾位兄弟，大理段家是著名的武林世家，段王子親自過訪，大夥兒一齊迎接。」當即率領幫眾，迎到山坳口。,游坦之在廟中休息時聽見丐幫三人在討論事情，跟蹤他們回去，偷聽丐幫聚會，討論推選幫主一事。
只見一位青年公子笑吟吟地站在當地，身後帶著七八名從人。那青年公子正是段譽。,他聽朱丹臣說聾啞先生的「心聰」、「筆辯」，勝過常人的「耳聰」、「舌辯」，不禁想到王語嫣的「口述武功」勝過常人的「拳腳兵刃」。,段譽帶來段王爺的信交給全冠清。段譽要離去時遇到兩名漢子遞上邀請帖，來自武功高強的聾啞先生廣招下棋能士，同樣收到帖子的全冠清婉拒了。
那日段譽在無錫和阿朱救出丐幫人眾後，不久包不同、風波惡二人趕來和王語嫣、朱碧雙姝會合。,在大理過得年余，段譽每日裡只念念不忘王語嫣的一顰一笑，雖知這番相思總歸沒有善果，但心念難以割捨，不免日漸憔悴。,段譽回想在無錫救出丐幫眾人，卻因包不同阻止無法一同北上尋找慕容公子，便與王語嫣分手，之後便常常想念到日漸憔悴。
段正淳那日在馬大元家中與馬夫人私會，險些喪命，丐幫呂長老等人闖來，將他送出。,這日奉了父命，帶同古篤誠、傅思歸、朱丹臣三人，去向丐幫賠禮致謝。,段正淳為馬夫人所傷，段譽隨傅思歸回中與父親相聚，段譽簡述別來情形，之後奉命向丐幫賠禮致謝。
朱丹臣見段譽長籲短歎，不知他思念王語嫣，還道他是記掛木婉清，此事無可勸慰，心想最好是引他分心,怨憎會，愛別離，求不得，五陰熾盛，此人生大苦也。」,段譽一行人縱馬向西北方而行，遇到聾啞先生的使者，被毒死在馬上，黑暗中有人說這是出於星宿門派的人之手，勸他不要多管，趕緊離開。
遊坦之伏在岩石後的草叢之中，見段譽等一行來了又去，隨即聽到前面有人呼喝之聲。,,星宿派之人毒殺兩名使者之事傳到全冠清耳中，後來星宿派的天狼子現身，還弄死丐幫的人。
全冠清笑道：「大仙要毒蛇毒蟲，那是小事一樁，不必掛懷。」,群丐轟然稱是，當即四下散開，在火堆外數丈處布成陣勢，各人盤膝坐下。,全冠清加裝尊敬的遞出天狼子所要的毒蛇、毒蟲，天狼子中計被毒蟲螫，又摔入河。全冠清命丐幫成員布毒蛇陣應對。
游坦之見全冠清用布袋打走了天狼子，心想：「這人的布袋之中原來裝有毒物，他們這許多布袋，都裝了毒蛇毒蟲嗎？, 一片歌功頌德之聲，洋洋盈耳，絲竹簫管也跟著吹奏搭配。, 星宿老仙出場，一下子就用毒粉輕鬆擊倒丐幫六、七個人，他身後的人皆對他歌功頌德。
這個童顏鶴髮的老翁，正是中原武林人士對之深惡痛絕的星宿老怪丁春秋。, 幸好星宿老怪正在用人之際，將責罰暫且寄下，要各人戴罪立功。, 星宿派與丐幫結怨，原因為星宿派女弟子阿紫偷走神木王鼎，倚賴丐幫幫主喬峰，將大弟子摘星子死打得半死不活，又被眾地子侮辱，丁春秋想要奪回他的神木王鼎，用人之際大家都想有所表現。
眾人一路上打探丐幫的消息。一來各人生具異相，言語行動無不令人厭憎，誰也不肯以消息相告；, 有的給幾尾毒蛇躍起咬中，登時中毒倒地，大聲呻吟呼痛。餘人便遠遠避開，再也不敢走近。, 丁春秋向丐幫問喬峰下落，丁春秋放毒攻擊丐幫的人，一時短兵相接，全冠清中了毒，丐幫弟子皆嚇得四散。
游坦之驚駭之餘，從草叢中站起身來，眼見此處不是善地，便欲及早離去。, 不料遊坦之經過這幾個月來的修習不輟，冰蠶的奇毒已與他體質融合無間，丁春秋沾在群丐身上的毒質再也害他不得。, 游坦之被丁春秋叫去試探倒地丐幫們的氣息，卻沒有被毒死。
丁春秋尋思：「瞧他手上肌膚和說話聲音，年紀甚輕，不會有什麼真實本領，,星宿派群弟子都是「啊」的一聲，駭然變色。,丁春秋想了解實情，游坦之在想離之際，不慎殺了一名來抓他的星宿派大漢。
丁春秋見他摔死自己弟子這一下手法毛手毛腳，並非上乘功夫，但膂力異常了得，心想此人天賦神力，武功卻是平平，, 丁春秋哈哈大笑，道：「很好，很好。你將一生經歷，細細說給我聽。」, 丁春秋與游坦之掌對掌，使出化功大法，游坦之僅受輕傷，丁春秋藉游坦之怕死的心理，收游坦之到自己們下
游坦之不願向他詳述身世以及這些日子來的諸般遭遇，, 我拜了這樣一位了不起的師父，真是前生修來的福份。」, 游坦之，向丁春秋說明自己的經歷，但有所隱瞞跟撒謊，丁春秋聽完也想獲得冰蠶，一行人便上路。
一行人折而向東北行。游坦之跟在丁春秋之後，見他大袖飄飄，步履輕便，有若神仙，, 見星宿派群弟子手執兵刃，顯是武林中人，當可從這些人中找幾個對手來打上一架。, 姑蘇慕蓉氏的四位手下在涼亭遇到少林寺要去發英雄帖的虛竹，得知帖狀內容，談話後轉而打量丁春秋一行人。
遊坦之自見風波惡等四人走入涼亭，便即縮在師父身後。, 雖久知丁春秋與曼陀山莊王家的關係，卻從未見過其人，今日皆乃首次會面。, 正要問丁春秋適合人時兩名少林老僧走來，游坦之認出其中躺在擔架上正是捉到冰蠶的慧淨和尚，丁春秋報上姓名，眾人皆驚。
玄難頃刻間便即寧定，說道：「原來是星宿海丁老先生，久仰大名，當真如雷貫耳。」, 忙從懷中取出個小瓶，拔開瓶塞，倒出一顆解毒藥塞入風波惡口中。, 風波惡對游坦之的鐵頭感到好奇，想要幫他取下來，游坦之要掙脫，卻不慎傷害風波惡。
鄧百川和包不同兩人身形晃處，攔在丁春秋和遊坦之身前。, 玄難左手一揮，帶同眾弟子趕去應援。, 服下解毒丸的風波惡傷勢依舊沒有起色，他們欲向丁春秋討公道，他卻放毒逃走，順便帶走了慧淨和尚。
公冶乾留在坍了半邊的涼亭中照料風波惡，兀自眼目刺痛，流淚不止。, 過得一頓飯時分，玄痛等三人寒戰漸止。, 包不同和玄痛和尚與游坦之對過手，皆被其所傷。少林寺的老僧玄難出手相救，讓他們服了少林的丹藥「六楊正氣丹」看到了起色。
包不同破口大駡：「這鐵頭人，他……他媽的，那是什麼掌力？」,武林中於這種事情頗有犯忌。,玄難有心要幫助慕蓉手下包不同，但對方沒有相求，不敢毛遂薦。
突然之間，玄痛身子晃了兩晃，牙關又格格響了起來,「只怕就再服上一百顆，也……也未必……」,玄痛身上的寒毒又發作了，丹藥僅剩一顆，包不同不願分食。
玄難束手無策，說迫：, 鄧百川取出銀兩，買了幾匹馬讓少林僧騎乘。, 玄難束手無策，建議去找薛神醫醫治三個傷者。
一行人行得兩三個時辰，便須停下來助玄痛等三人抗禦寒毒。, 捶胸說道：「老爺是昨天下午故世的，你們……你們見他不到了。」, 到了薛神醫的居處卻發現薛神醫突然過世了。
玄難合十問道：「薛先生患什麼病逝世？」, 鄧百川道：「使不得，說什麼薛先生總是少林派的朋友，沖著玄難大師的金面，可不能胡來。」, 公冶前發現其中有異，他們借住下來，僕童卻全部不見蹤影，風波惡拔刀要開棺來確認，棺木上被人下了劇毒，令母雞驟死而脫毛。
玄難道：「鄧施主，那是什麼緣故？薛神醫真是詐死不成？」, 使不得，說什麼薛先生總是少林派的朋友，沖著玄難大師的金面，可不能胡來。」, 玄難與包不同及公冶乾在討論薛神醫為何詐死。
這時天色已然全黑，廳上也不掌燈，各人又饑又渴，卻均不敢動用宅子中的一茶一水。, 但過了良久，不見敵人動靜。, 一夥人正愁要出去覓食，發現有人在放煙花，那是敵人大舉來襲的訊號，大家準備作戰，敵方卻沒有動靜。
各人屏息凝神，又過了一頓飯時分，忽聽得東邊有個女子的聲音唱道：, 頃刻之間，四下裡又萬籟無聲。, 這時有位伶人出聲，分飾兩角的唱起唐明皇與梅妃的故事，包不同大叫，使伶人大驚就沒有再發出聲音了。
