此段落最初的2-5句話,此段落最末的2-5句話,段落大意
眾人回過頭來，只見杏子樹後轉出一個身穿灰布衲袍的老僧，方面大耳，形貌威嚴。,他抬起頭來，但見一鉤眉月斜掛天際，冷冷的清光瀉在杏樹梢頭。,一名老僧從杏子樹後走出來，原來是智光大師。原來智光大師亦是來為那封信件作證的人。
智光向趙錢孫瞧了一眼，說道：「好，老衲從前做錯了的事，也不必隱瞞，照實說來便是。」,「諸位前輩英風俠烈，喬某敬仰得緊，恨不早生三十年，得以追隨先賢，共赴義舉，手刃胡虜。」,於是智光大師便為眾人道出三十年前，在雁門關中原豪傑們為防止契丹偷走少林秘笈一戰。
智光向他深深瞧了一眼，臉上神氣大是異樣，緩緩說道：「當時大夥兒分成數起，趕赴雁門關。,眾人聽到這裡，明知是三十年前之事，卻也不禁心中怦怦而跳。,當時這一場戰役，是由一位武功甚高的領頭大哥帶領，也如收到的情報所說，來了一群契丹人，敵在明，我在暗。
智光向喬峰道：「喬幫主，此事成敗，關連到大宋國運，中土千千萬萬百姓的生死，,那男子立時神色十分兇猛，向我們大聲喝問，嘰哩咕嚕的契丹話說了一大串，也不知說些什麼。,當年的中原豪傑們，以暗器殺得那群契丹措手不及，十九武士無一活口。
「山西大同府的鐵塔方大雄方三哥舉起一條鑌鐵棍，喝道：‘兀那遼狗，納下命來！’揮棍便向那契丹男子擊去。,本來他除了對譚婆講話之外，說話的語調中總是帶著幾分譏嘲和滿不在乎，這兩句話卻深含沉痛和歉仄之意。,此時山西大同府的鐵塔方大雄，二話不說便向男子揮棍。那男人回擊，雖想辯解，但是語言不通根本聽不懂。
智光道：「那一場惡戰，已過去了三十年。但這三十年之中，我不知曾幾百次在夢中重曆其境。,說著望向趙錢孫，續道：「……身子一晃，倒在血泊之中，只道他也送了性命。」,男子看見妻子被殺，也紅了眼，片刻之間將中原豪傑們殺得不到五、六人。
趙錢孫搖頭道：「這種醜事雖然說來有愧，卻也不必相瞞，我不是受了傷，而是嚇得暈了過去。,眾人聽得這裡，都「啊」的一聲，誰也料想不到竟會有此變故。,中原豪傑們見同伴慘死，也心生害怕，便問男子：「你是誰！」但男子不答。見強敵已滅，便衝去抱起一旁妻子和兒子的屍體痛哭，喊著：「你們為什麼殺我老婆？」然後拿起短刀在石壁上刻下契丹文字，便抱著妻子孩子的屍體跳下山崖。
智光大師道：「眾位此刻聽來，猶覺詫異，當時我親眼瞧見，更加驚訝無比。,心思固轉得極快，而使力之准更不差厘毫，這樣的機智武功，委實可怖可畏。,男子跳下去後，眾人不解，明明已經獲得勝利，若是要侵略中原為何不是繼續往前而是跳崖？
「我眼看眾兄弟慘死，哀痛之下，提起那個契丹嬰兒，便想將他往山石上一摔，撞死了他。,趙錢孫苦笑道：「其中一具屍骸活了轉來，自行走了，至今行屍走肉，那便是我‘趙錢孫李，周吳鄭王’區區在下」。,智光大師雖然本想殺了嬰兒，但還是下不了手。便帶著倖存的領頭大哥和汪幫主以及嬰兒到山下求助。
智光道：「但那時咱三人也不以為異，心想混戰之中，這位仁兄掉入了亂石穀內，那也甚是平常。,我們這才料定訊息是假，大夥兒是受人之愚。雁門關外這一戰，雙方都死了不少人，當真死得冤枉。,三人不解為何契丹男子僅留下他們三人不殺，只封穴道，便回去拓下當日男子刻在石壁上的契丹文字，詢問通商的商人。便明白他們當日所做之事，大錯特錯，事隔三十年，智光大師也不想透露那石壁上的訊息。
