此段落最初的2-5句話,此段落最末的2-5句話,段落大意
慕容復緊急中接過鄧百川擲來的長劍，精神一振，使出慕容氏家傳劍法，招招連綿不絕，猶似行雲流水一般，瞬息之間，全身便如罩在一道光幕之中。,你不妨只使一門劍法試試。」段譽道：「是，多謝大哥指點！」側眼看去，只見蕭峰負手旁站，意態閒逸，莊聚賢卻躺在地下，雙足斷折，大聲呻吟。,慕容復和段譽僵持不下，蕭峰在一旁出聲指點。
原來蕭峰少了慕容復一個強敵，和游坦之單打獨鬥，立時便大占上風，,群雄既震于蕭峰掌力之強，又見慕容復應變無窮，鉤法精奇，忍不住也大聲喝彩，都覺今日得見當世奇才各出全力相拼，確然大開眼界，不虛了此番少室山一行。,蕭峰打敗游坦之，丐幫幫眾無一個上來相助。段譽和慕容復拆招不斷，蕭峰在一旁適時替段譽解圍。
段譽逃過了飛筆穿胸之險，定一定神，大拇指按出，使動「少商劍法」。,這些豪客也紛紛呼叫：「主人，給他種下幾片‘生死符’！」「對付星宿老怪，生死符最具神效！」,段譽經蕭峰指點，連續使出少商劍法和商陽劍法，慕容復暫居下風。蕭峰見到此種神奇劍法，想起了阿朱的情深義重。
虛竹的武功內力均在丁春秋之上，本來早可取勝，只是一來臨敵經驗實在太淺，本身功力發揮不到六七成；,有人眼見虛竹相助蕭峰，而他有大批男女部屬到來，蕭峰陡增強助，要殺他已頗不易，不由得擔擾。,虛竹和丁春秋相持不下之時，靈鷲宮幫手到來。
星宿派門人見到靈鷲八部諸女中有不少美貌少婦少女，言語中便不清不楚起來。,「神道穴」要穴被抓，登時雙手酸麻，再也抓不住判官筆和鋼鉤，只聽得蕭峰厲聲喝道：「人家饒你性命，你反下毒手，算什麼英雄好漢？」,慕容復雖不敵段譽，王語嫣出言求情，段譽手下留情未下殺手。慕容復卻礙於自尊，拉不下面子，要與段譽同歸於盡。
原來蕭峰見慕容復猛撲而至，門戶大開，破綻畢露，料想段譽無形劍氣使出，一招便取了他性命，萬沒想到段譽竟會在這當兒住手，慕容復來勢奇速，雖以蕭峰出手之快，竟也不及解救那一筆之厄。,他臉如死灰，一伸手，從包不同腰間劍鞘中拔出長劍，跟著左手劃個圈子，將鄧百川等擋在數尺之外，右手手腕翻轉，橫劍便往脖子中抹去。王語嫣大叫：「表哥，不要……」,蕭峰看不慣慕容復作為，便將慕容復狼狽地擲了出去。慕容復不堪羞辱，欲拔劍自刎。
便在此時，猛聽得破空聲大作，一件暗器從十餘丈外飛來，橫過廣場，撞向慕容復手中長劍，錚的一聲響，慕容復長劍脫手飛出，手掌中滿是鮮血，虎口已然震裂。,不由得背上額頭全是冷汗，當即拜伏在地，說道：「慕容復識見短絀，得蒙高僧指點迷津，大恩大德，沒齒難忘。」,灰衣僧人現身，阻止慕容復自殺，並且曉以大義，阻止了慕容復的念頭。
灰衣僧坦然受他跪拜，說道：「古來成大功業者，哪一個不歷盡千辛萬苦？漢高祖有白登之困，漢光武有冀北之厄，倘若都似你這麼引劍一割，只不過是個心窄氣狹的自了漢而已，還說得上什麼中興開國？你連勾踐、韓信也不如，當真無知無識！」,只人人心中奇怪：「這灰衣僧是誰？他和慕容氏又有什麼干係？」,灰衣僧人使出姑蘇慕容家的神功「參合指」，讓段正淳和眾人都大為驚駭。
灰衣僧轉過身來，向著蕭峰合十說道：「喬大俠武功卓絕，果然名不虛傳，老衲想領教幾招！」,二人這幾句話一出口，少林群僧自玄慈方丈以下，無不大感詫異：「這兩人怎麼互指對方偷盜本寺的武功秘本？難道真有此事？」,灰衣僧正想挑戰蕭峰，又有一名黑衣僧現身，蕭峰認出黑衣僧曾經搭救過自己，感激之情溢於言表。
只聽灰衣僧道：「我藏身少林寺旁，為了借閱一些東西。」,灰衣僧道：「既然如此，你我不用再較量了。」黑衣人道：「甚好。」二人點了點頭，相偕走到一株大樹之下，並肩而坐，閉上了眼睛，便如入定一般，再不說話。,灰衣僧與黑衣僧都是高手，言談之中已經知道彼此能耐，便相偕走到大樹下，並肩坐下，入定不再說話。
